model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traCA,slow,866.5,2005.5,0.4,15,5,5,23.986062336400103,-0.05481880399848292,1235,"['12_lag_cetTSjfm', '5_lag_7_median_tripol1', '5_lag_13_median_stratZ50ndj01', '5_lag_10_median_stratZ50ndj03', '11_lag_labSSTjfm', '5_lag_7_median_naoPSLjfm', '5_lag_7_median_pdoSSTjfm', '5_lag_9_median_stratZ50ndj01', '5_lag_14_median_wnorPRjfm', '5_lag_6_median_neurTSjfm', '6_lag_stratZ50ndj03', '11_lag_traDP', '5_lag_9_median_amo3', '9_lag_gyreSSTjfm', '5_lag_13_median_mhfATL45', '5_lag_nchinaPRjja', '5_lag_10_median_traCA', '11_lag_traDS', '13_lag_cetTSjfm', '5_lag_11_median_nppc3SSTjfm', '6_lag_gyreSSTjfm', '8_lag_glTSjfm', '7_lag_amo3', '5_lag_6_median_yrvPRjja', '5_lag_9_median_samPSLann', '11_lag_nppc2SSTjfm', '5_lag_8_median_seurTSjfm', '5_lag_7_median_labSSTjfm', '12_lag_eapPSLjfm', '8_lag_satlSSTjfm']","[1.4949636745983135, 7.821794600458811, 0.055540108378757225, 7.511158313498516, 1.005573452263599, 1.8911265552413443, 6.882972570124368, 8.162222655754407, 7.767843412841657, 2.5721927203101096, 3.027716109851215, 1.8328502196017116, 1.690597237213984, 6.093186327750937, 3.296808692031611, 3.6838560424440647, 2.138940929807072, 6.156575959961941, 3.718752888093446, 5.560894952306263, 4.783129259842611, 5.984060206318029, 0.9004097957619877, 6.707085843765242, 7.736284367745601, 4.052721051275952, 8.317966491633255, 3.3685821096025954, 4.063466730802445, 2.4834178305336447]","12_lag_cetTSjfm, 5_lag_7_median_tripol1, 5_lag_13_median_stratZ50ndj01, 5_lag_10_median_stratZ50ndj03, 11_lag_labSSTjfm, 5_lag_7_median_naoPSLjfm, 5_lag_7_median_pdoSSTjfm, 5_lag_9_median_stratZ50ndj01, 5_lag_14_median_wnorPRjfm, 5_lag_6_median_neurTSjfm, 6_lag_stratZ50ndj03, 11_lag_traDP, 5_lag_9_median_amo3, 9_lag_gyreSSTjfm, 5_lag_13_median_mhfATL45, 5_lag_nchinaPRjja, 5_lag_10_median_traCA, 11_lag_traDS, 13_lag_cetTSjfm, 5_lag_11_median_nppc3SSTjfm, 6_lag_gyreSSTjfm, 8_lag_glTSjfm, 7_lag_amo3, 5_lag_6_median_yrvPRjja, 5_lag_9_median_samPSLann, 11_lag_nppc2SSTjfm, 5_lag_8_median_seurTSjfm, 5_lag_7_median_labSSTjfm, 12_lag_eapPSLjfm, 8_lag_satlSSTjfm_1235_5"
LRforcedPSO,1,30,traCA,slow,867.5,2005.5,0.4,16,6,6,27.056082762609247,-0.0889257008119604,1235,"['12_lag_amo1', '6_lag_10_median_traFS', '6_lag_13_median_amo2', '6_lag_7_median_mhfATL30', '6_lag_14_median_tripol1', '6_lag_7_median_ismPRjja', '6_lag_8_median_traBO', '6_lag_10_median_samPSLann', '7_lag_amo1', '6_lag_seurTSjfm', '12_lag_shSICmar', '6_lag_14_median_traEU', '6_lag_11_median_traBO', '10_lag_nchinaPRjja', '6_lag_7_median_mhfIP30', '6_lag_traBO', '6_lag_8_median_shSICsep', '12_lag_seurTSjfm', '9_lag_nhTSjfm', '6_lag_atlSICjfm', '11_lag_glTSjfm', '14_lag_amoSSTmjjaso', '6_lag_nppc2SSTjfm', '6_lag_nhTSjfm', '9_lag_nhSICjfm', '14_lag_traTLS', '6_lag_11_median_atlSICsep', '6_lag_11_median_stratZ50ndj03', '6_lag_7_median_cetTSjfm', '6_lag_12_median_nppc3SSTjfm']","[2.660731263325098, 7.302599616937318, 3.0835365686351457, 7.6085312358158035, 7.627849724933102, 3.8484384611082127, 9.200583561518798, 0.20722751414248997, 5.592861366230584, 4.617433946184864, 7.038135067371243, 1.2354967533864638, 0.12812780313269378, 1.444960860908246, 1.504720541956635, 9.060011659846431, 7.037645846178949, 0.5041115964496239, 6.80293598695263, 0.2136069201087345, 1.289431088796814, 2.813966161917209, 4.094945889456486, 2.9489168284199625, 3.41859816551686, 5.329671733567118, 5.285519928181039, 1.665408476371164, 4.129651206926038, 8.492790279050265]","12_lag_amo1, 6_lag_10_median_traFS, 6_lag_13_median_amo2, 6_lag_7_median_mhfATL30, 6_lag_14_median_tripol1, 6_lag_7_median_ismPRjja, 6_lag_8_median_traBO, 6_lag_10_median_samPSLann, 7_lag_amo1, 6_lag_seurTSjfm, 12_lag_shSICmar, 6_lag_14_median_traEU, 6_lag_11_median_traBO, 10_lag_nchinaPRjja, 6_lag_7_median_mhfIP30, 6_lag_traBO, 6_lag_8_median_shSICsep, 12_lag_seurTSjfm, 9_lag_nhTSjfm, 6_lag_atlSICjfm, 11_lag_glTSjfm, 14_lag_amoSSTmjjaso, 6_lag_nppc2SSTjfm, 6_lag_nhTSjfm, 9_lag_nhSICjfm, 14_lag_traTLS, 6_lag_11_median_atlSICsep, 6_lag_11_median_stratZ50ndj03, 6_lag_7_median_cetTSjfm, 6_lag_12_median_nppc3SSTjfm_1235_6"
LRforcedPSO,2,30,traCA,slow,868.5,2005.5,0.4,17,7,7,22.81503320325109,0.05866245044002451,1235,"['7_lag_8_median_shSICsep', '13_lag_traIT', '11_lag_traFB', '7_lag_10_median_solFORC', '13_lag_ormenSSTjfm', '7_lag_16_median_neurTSjfm', '7_lag_14_median_nhTSjfm', '16_lag_nhSICjfm', '7_lag_14_median_shSICsep', '10_lag_pdoSSTjfm', '7_lag_16_median_traBO', '16_lag_mhfATL45', '11_lag_eapPSLjfm', '7_lag_10_median_satlSSTjfm', '7_lag_ensoSSTjfm', '7_lag_8_median_traEC', '12_lag_mhfATL45', '7_lag_12_median_scpPSLjfm', '15_lag_stratZ50ndj03', '12_lag_stratZ50ndj01', '11_lag_ismPRjja', '9_lag_nppc2SSTjfm', '14_lag_yrvPRjja', '7_lag_12_median_gyreSSTjfm', '11_lag_tripol3', '7_lag_15_median_shTSjfm', '11_lag_traEU', '15_lag_nhSICsep', '7_lag_9_median_samPSLann', '7_lag_14_median_mhfATL60']","[1.2049882596613255, 4.923459049785466, 4.362301265085544, 0.6469851425731061, 6.87928417292232, 5.346153649459524, 2.02636442123751, 0.6475241595748464, 0.6081942085996488, 2.1111967222429477, 3.460172912264966, 1.8952693943688441, 1.0367949336415059, 9.199090090209975, 5.351969592997975, 4.878016264349254, 7.539194835681329, 2.8943462376187217, 1.2480872810643717, 5.745922520037947, 2.9603344821335824, 5.436660818663805, 2.333568547966573, 2.807642740097074, 7.108758115271829, 2.574796373042423, 9.58129888829265, 6.007468297107387, 6.155145273721652, 6.46664856012298]","7_lag_8_median_shSICsep, 13_lag_traIT, 11_lag_traFB, 7_lag_10_median_solFORC, 13_lag_ormenSSTjfm, 7_lag_16_median_neurTSjfm, 7_lag_14_median_nhTSjfm, 16_lag_nhSICjfm, 7_lag_14_median_shSICsep, 10_lag_pdoSSTjfm, 7_lag_16_median_traBO, 16_lag_mhfATL45, 11_lag_eapPSLjfm, 7_lag_10_median_satlSSTjfm, 7_lag_ensoSSTjfm, 7_lag_8_median_traEC, 12_lag_mhfATL45, 7_lag_12_median_scpPSLjfm, 15_lag_stratZ50ndj03, 12_lag_stratZ50ndj01, 11_lag_ismPRjja, 9_lag_nppc2SSTjfm, 14_lag_yrvPRjja, 7_lag_12_median_gyreSSTjfm, 11_lag_tripol3, 7_lag_15_median_shTSjfm, 11_lag_traEU, 15_lag_nhSICsep, 7_lag_9_median_samPSLann, 7_lag_14_median_mhfATL60_1235_7"
LRforcedPSO,3,30,traCA,slow,869.5,2005.5,0.4,18,8,8,28.593043424355464,0.030634864072794123,1235,"['8_lag_12_median_traDP', '8_lag_16_median_traMC', '15_lag_shSICmar', '8_lag_15_median_labSSTjfm', '9_lag_mhfATL45', '8_lag_12_median_traWP', '8_lag_10_median_glomaSSTjfm', '8_lag_17_median_nhTSjfm', '8_lag_16_median_nhSICjfm', '12_lag_atlSICsep', '9_lag_traCA', '14_lag_ensoSSTjfm', '8_lag_13_median_traMC', '8_lag_14_median_traBO', '16_lag_ginwSSTjfm', '11_lag_mhfATL45', '8_lag_12_median_wnorPRjfm', '8_lag_10_median_traWP', '10_lag_traFSC', '8_lag_12_median_tripol2', '8_lag_15_median_traBS', '8_lag_14_median_traEU', '8_lag_10_median_stratZ50ndj02', '11_lag_labSSTjfm', '10_lag_mhfATL30', '8_lag_traMC', '8_lag_17_median_pdoSSTjfm', '8_lag_14_median_atlSICsep', '8_lag_14_median_glTSjfm', '10_lag_traEU']","[9.975234266208393, 0.3862092734752878, 0.18441151909197373, 3.525595968648778, 8.972157764057782, 2.1910673848544837, 3.2646672240671464, 0.00399289688885851, 6.36415161763032, 2.1330472898240203, 5.753225151784809, 4.7281051626280295, 6.71849052762623, 1.039239762356388, 1.752161711234045, 2.2656130567472825, 2.5320566144689494, 2.0768958829564843, 6.83756140999267, 1.6338443887125838, 6.398501525842892, 4.487288447989638, 2.2735555777306775, 1.4380688515924707, 8.205480861135278, 1.6172933543377077, 1.5913180955575328, 1.9667715421902976, 2.873126806033518, 3.319537957578566]","8_lag_12_median_traDP, 8_lag_16_median_traMC, 15_lag_shSICmar, 8_lag_15_median_labSSTjfm, 9_lag_mhfATL45, 8_lag_12_median_traWP, 8_lag_10_median_glomaSSTjfm, 8_lag_17_median_nhTSjfm, 8_lag_16_median_nhSICjfm, 12_lag_atlSICsep, 9_lag_traCA, 14_lag_ensoSSTjfm, 8_lag_13_median_traMC, 8_lag_14_median_traBO, 16_lag_ginwSSTjfm, 11_lag_mhfATL45, 8_lag_12_median_wnorPRjfm, 8_lag_10_median_traWP, 10_lag_traFSC, 8_lag_12_median_tripol2, 8_lag_15_median_traBS, 8_lag_14_median_traEU, 8_lag_10_median_stratZ50ndj02, 11_lag_labSSTjfm, 10_lag_mhfATL30, 8_lag_traMC, 8_lag_17_median_pdoSSTjfm, 8_lag_14_median_atlSICsep, 8_lag_14_median_glTSjfm, 10_lag_traEU_1235_8"
LRforcedPSO,4,30,traCA,slow,870.5,2005.5,0.4,19,9,9,23.04751037576998,0.02871391292413469,1235,"['15_lag_atlSICsep', '9_lag_10_median_amo3', '9_lag_14_median_ensoSSTjfm', '10_lag_stratZ50ndj03', '11_lag_traFSC', '10_lag_traEU', '18_lag_mhfIP30', '9_lag_18_median_glomaSSTjfm', '9_lag_18_median_atlSICsep', '16_lag_tripol2', '11_lag_traFS', '18_lag_stratZ50ndj03', '9_lag_15_median_traMC', '12_lag_traDP', '9_lag_14_median_traWP', '9_lag_13_median_atlSICjfm', '11_lag_eurPSLjfm', '9_lag_11_median_amo2', '9_lag_11_median_shSICsep', '9_lag_12_median_amo3', '11_lag_traTLS', '10_lag_nppc3SSTjfm', '9_lag_11_median_eurPSLjfm', '9_lag_14_median_ormenSSTjfm', '16_lag_yrvPRjja', '16_lag_neurTSjfm', '9_lag_13_median_amoSSTmjjaso', '9_lag_14_median_tripol3', '12_lag_mhfATL60', '9_lag_17_median_nppc3SSTjfm']","[7.5493250746458465, 9.611631945398237, 7.620270512947261, 1.398164385907915, 1.9750515221027847, 7.650501328921951, 1.2796401472707348, 4.674182370523383, 3.8602626987345943, 5.924523053675794, 0.2733572819013048, 7.561680067394594, 8.135577598303556, 3.877339517354404, 3.706443033775157, 3.01366535643227, 3.1309412875435587, 0.9697575013577548, 2.571651395086416, 5.1285436024380004, 0.27574889009580517, 2.5175248418985436, 1.5342008794930688, 7.206130407148834, 5.746422925824753, 2.7643220504838126, 3.46749844093043, 3.7923891911580263, 1.8536180931720772, 5.180926888617403]","15_lag_atlSICsep, 9_lag_10_median_amo3, 9_lag_14_median_ensoSSTjfm, 10_lag_stratZ50ndj03, 11_lag_traFSC, 10_lag_traEU, 18_lag_mhfIP30, 9_lag_18_median_glomaSSTjfm, 9_lag_18_median_atlSICsep, 16_lag_tripol2, 11_lag_traFS, 18_lag_stratZ50ndj03, 9_lag_15_median_traMC, 12_lag_traDP, 9_lag_14_median_traWP, 9_lag_13_median_atlSICjfm, 11_lag_eurPSLjfm, 9_lag_11_median_amo2, 9_lag_11_median_shSICsep, 9_lag_12_median_amo3, 11_lag_traTLS, 10_lag_nppc3SSTjfm, 9_lag_11_median_eurPSLjfm, 9_lag_14_median_ormenSSTjfm, 16_lag_yrvPRjja, 16_lag_neurTSjfm, 9_lag_13_median_amoSSTmjjaso, 9_lag_14_median_tripol3, 12_lag_mhfATL60, 9_lag_17_median_nppc3SSTjfm_1235_9"
LRforcedPSO,5,30,traCA,slow,871.5,2005.5,0.4,20,10,10,24.039509143688477,0.11347819994557035,1235,"['19_lag_ensoSSTjfm', '10_lag_16_median_tripol3', '12_lag_ormenSSTjfm', '19_lag_tripol2', '11_lag_ginwSSTjfm', '10_lag_13_median_traWP', '10_lag_12_median_stratZ50ndj01', '10_lag_13_median_pdoSSTjfm', '10_lag_19_median_mhfIP30', '10_lag_16_median_shTSjfm', '16_lag_traEC', '17_lag_eurPSLjfm', '10_lag_16_median_AMOCann', '10_lag_19_median_traDS', '15_lag_traCA', '10_lag_19_median_traWP', '13_lag_traMC', '10_lag_gyreSSTjfm', '15_lag_nhSICjfm', '14_lag_stratZ50ndj02', '10_lag_12_median_stratZ50ndj04', '10_lag_nppc2SSTjfm', '10_lag_18_median_ginwSSTjfm', '10_lag_16_median_traBO', '12_lag_stratZ50ndj03', '15_lag_amo2', '10_lag_16_median_stratZ50ndj04', '19_lag_traFB', '14_lag_amo3', '10_lag_13_median_neurTSjfm']","[6.326448725081825, 1.3552201077783899, 3.313543727298738, 8.622593040655948, 3.2542143465025486, 4.562741888577142, 1.2706003045735592, 2.265947764648242, 6.020726635137137, 5.163556873149617, 2.791134842182956, 0.2205601649329978, 1.553054354716739, 7.464492189549237, 7.576598325137525, 6.605564460916435, 5.380259025027987, 3.3880427433784135, 5.600980519376257, 9.508103672813238, 3.4008089937214727, 1.806685974752524, 7.317559154063316, 8.120796383629354, 4.126024793148575, 0.03207302523638056, 4.32325771820058, 4.523566584179985, 1.2771005735256935, 0.81854463740369]","19_lag_ensoSSTjfm, 10_lag_16_median_tripol3, 12_lag_ormenSSTjfm, 19_lag_tripol2, 11_lag_ginwSSTjfm, 10_lag_13_median_traWP, 10_lag_12_median_stratZ50ndj01, 10_lag_13_median_pdoSSTjfm, 10_lag_19_median_mhfIP30, 10_lag_16_median_shTSjfm, 16_lag_traEC, 17_lag_eurPSLjfm, 10_lag_16_median_AMOCann, 10_lag_19_median_traDS, 15_lag_traCA, 10_lag_19_median_traWP, 13_lag_traMC, 10_lag_gyreSSTjfm, 15_lag_nhSICjfm, 14_lag_stratZ50ndj02, 10_lag_12_median_stratZ50ndj04, 10_lag_nppc2SSTjfm, 10_lag_18_median_ginwSSTjfm, 10_lag_16_median_traBO, 12_lag_stratZ50ndj03, 15_lag_amo2, 10_lag_16_median_stratZ50ndj04, 19_lag_traFB, 14_lag_amo3, 10_lag_13_median_neurTSjfm_1235_10"
LRforcedPSO,6,30,traCA,slow,872.5,2005.5,0.4,21,11,11,23.222148439031763,-0.09225511068416652,1235,"['17_lag_gyreSSTjfm', '11_lag_16_median_stratZ50ndj01', '11_lag_16_median_satlSSTjfm', '14_lag_AMOCann', '14_lag_nppc3SSTjfm', '11_lag_14_median_tripol2', '12_lag_seurTSjfm', '11_lag_15_median_traBS', '16_lag_traWP', '11_lag_16_median_traEC', '11_lag_stratZ50ndj01', '11_lag_15_median_ginwSSTjfm', '11_lag_13_median_traFS', '14_lag_tripol2', '15_lag_traEC', '17_lag_arcTSjfm', '11_lag_18_median_traFSC', '12_lag_arcTSjfm', '13_lag_traBS', '11_lag_13_median_scpPSLjfm', '11_lag_14_median_satlSSTjfm', '11_lag_18_median_wnorPRjfm', '19_lag_traEU', '18_lag_mhfATL60', '20_lag_stratZ50ndj01', '12_lag_ginwSSTjfm', '16_lag_gyreSSTjfm', '11_lag_glTSjfm', '11_lag_14_median_pdoSSTjfm', '17_lag_AMOCann']","[0.2140169732762942, 0.3697611173824651, 0.11124373929384923, 4.433756233503017, 6.602627577168725, 5.651536134096757, 3.083827025852983, 3.697729268044787, 1.8976657328156303, 5.2732849232405705, 3.3129649348259456, 6.081385828275163, 5.797952450426891, 5.566422375295003, 5.643371468480474, 3.2955173603232772, 2.0808823515343677, 1.7609349364294218, 0.684358164602898, 1.656645654197579, 7.3274071445450435, 1.6476393822521445, 1.7712804586318232, 1.384207985673191, 2.830864364502606, 2.1180276385275256, 4.762850537368706, 3.6741266842768816, 4.717569886138364, 7.916720786054805]","17_lag_gyreSSTjfm, 11_lag_16_median_stratZ50ndj01, 11_lag_16_median_satlSSTjfm, 14_lag_AMOCann, 14_lag_nppc3SSTjfm, 11_lag_14_median_tripol2, 12_lag_seurTSjfm, 11_lag_15_median_traBS, 16_lag_traWP, 11_lag_16_median_traEC, 11_lag_stratZ50ndj01, 11_lag_15_median_ginwSSTjfm, 11_lag_13_median_traFS, 14_lag_tripol2, 15_lag_traEC, 17_lag_arcTSjfm, 11_lag_18_median_traFSC, 12_lag_arcTSjfm, 13_lag_traBS, 11_lag_13_median_scpPSLjfm, 11_lag_14_median_satlSSTjfm, 11_lag_18_median_wnorPRjfm, 19_lag_traEU, 18_lag_mhfATL60, 20_lag_stratZ50ndj01, 12_lag_ginwSSTjfm, 16_lag_gyreSSTjfm, 11_lag_glTSjfm, 11_lag_14_median_pdoSSTjfm, 17_lag_AMOCann_1235_11"
LRforcedPSO,7,30,traCA,slow,873.5,2005.5,0.4,22,12,12,22.624761036705696,0.05911075899762707,1235,"['12_lag_13_median_yrvPRjja', '15_lag_nhSICsep', '12_lag_16_median_traIT', '12_lag_nhSICjfm', '12_lag_19_median_traFS', '12_lag_16_median_pdoSSTjfm', '12_lag_14_median_traCA', '21_lag_traEC', '12_lag_17_median_traTLS', '13_lag_nppc2SSTjfm', '12_lag_19_median_eapPSLjfm', '12_lag_19_median_amoSSTmjjaso', '19_lag_traDS', '12_lag_21_median_traTLS', '16_lag_stratZ50ndj04', '20_lag_samPSLann', '21_lag_arcTSjfm', '20_lag_gyreSSTjfm', '12_lag_20_median_eapPSLjfm', '14_lag_shTSjfm', '12_lag_18_median_ensoSSTjfm', '17_lag_traIFC', '13_lag_nhTSjfm', '16_lag_labSSTjfm', '12_lag_traDS', '12_lag_18_median_traBS', '20_lag_tripol3', '12_lag_17_median_nppc2SSTjfm', '12_lag_15_median_samPSLann', '13_lag_traFSC']","[3.3783236037674413, 1.8458850199790593, 7.502064622577096, 4.976650501816982, 2.6636237514290144, 2.3965642389384634, 4.89937848031696, 1.6219046675401234, 0.8068115539174343, 0.6116517366401091, 6.789932789626432, 3.7695950455110996, 3.464375269814761, 1.1435149402811398, 3.4902376980148624, 9.018240418697703, 3.084564046536804, 2.1097998983372417, 5.238858950618434, 3.2436400018545726, 0.4528500248343814, 2.08497513486434, 1.6801513703224416, 5.252095990266257, 5.024500416067273, 6.9891068947663335, 0.4372291297761919, 3.9396224648275453, 0.3820087276905717, 0.26310369918492604]","12_lag_13_median_yrvPRjja, 15_lag_nhSICsep, 12_lag_16_median_traIT, 12_lag_nhSICjfm, 12_lag_19_median_traFS, 12_lag_16_median_pdoSSTjfm, 12_lag_14_median_traCA, 21_lag_traEC, 12_lag_17_median_traTLS, 13_lag_nppc2SSTjfm, 12_lag_19_median_eapPSLjfm, 12_lag_19_median_amoSSTmjjaso, 19_lag_traDS, 12_lag_21_median_traTLS, 16_lag_stratZ50ndj04, 20_lag_samPSLann, 21_lag_arcTSjfm, 20_lag_gyreSSTjfm, 12_lag_20_median_eapPSLjfm, 14_lag_shTSjfm, 12_lag_18_median_ensoSSTjfm, 17_lag_traIFC, 13_lag_nhTSjfm, 16_lag_labSSTjfm, 12_lag_traDS, 12_lag_18_median_traBS, 20_lag_tripol3, 12_lag_17_median_nppc2SSTjfm, 12_lag_15_median_samPSLann, 13_lag_traFSC_1235_12"
LRforcedPSO,8,30,traCA,slow,874.5,2005.5,0.4,23,13,13,22.50848833583325,-0.02709437749477307,1235,"['13_lag_15_median_mhfATL30', '13_lag_14_median_eapPSLjfm', '13_lag_21_median_samPSLann', '13_lag_21_median_nhSICjfm', '20_lag_nppc2SSTjfm', '13_lag_14_median_nppc3SSTjfm', '18_lag_glomaSSTjfm', '20_lag_traDS', '22_lag_eapPSLjfm', '13_lag_21_median_stratZ50ndj01', '21_lag_glomaSSTjfm', '13_lag_17_median_stratZ50ndj04', '20_lag_traFS', '17_lag_shSICsep', '15_lag_solFORC', '15_lag_stratZ50ndj02', '13_lag_21_median_cetTSjfm', '22_lag_traMC', '16_lag_mhfATL60', '13_lag_17_median_mhfIP30', '17_lag_traFS', '13_lag_19_median_solFORC', '13_lag_20_median_nppc2SSTjfm', '20_lag_ensoSSTjfm', '13_lag_20_median_traCA', '19_lag_naoPSLjfm', '13_lag_14_median_labSSTjfm', '13_lag_22_median_AMOCann', '13_lag_17_median_neurTSjfm', '19_lag_eapPSLjfm']","[6.055482420898808, 4.036289680872802, 0.6907323613573695, 3.3321762006612214, 4.8547340630047024, 0.7059127188616259, 5.494689799695234, 0.6885971134161633, 8.541300894083331, 5.51405161945935, 2.196177970302722, 0.8420517303837833, 6.5531576377661915, 0.6895830855221163, 0.31671638473808095, 7.952489154968127, 7.843175933202254, 2.1740667645291767, 0.3717728605770958, 5.870796190231193, 1.0096110657594792, 2.7904867976757775, 4.446495209571237, 1.0898905666094691, 8.916141348900712, 3.6407228881694937, 1.1628178479367683, 3.3267187298600795, 5.979873327163274, 1.309745970429164]","13_lag_15_median_mhfATL30, 13_lag_14_median_eapPSLjfm, 13_lag_21_median_samPSLann, 13_lag_21_median_nhSICjfm, 20_lag_nppc2SSTjfm, 13_lag_14_median_nppc3SSTjfm, 18_lag_glomaSSTjfm, 20_lag_traDS, 22_lag_eapPSLjfm, 13_lag_21_median_stratZ50ndj01, 21_lag_glomaSSTjfm, 13_lag_17_median_stratZ50ndj04, 20_lag_traFS, 17_lag_shSICsep, 15_lag_solFORC, 15_lag_stratZ50ndj02, 13_lag_21_median_cetTSjfm, 22_lag_traMC, 16_lag_mhfATL60, 13_lag_17_median_mhfIP30, 17_lag_traFS, 13_lag_19_median_solFORC, 13_lag_20_median_nppc2SSTjfm, 20_lag_ensoSSTjfm, 13_lag_20_median_traCA, 19_lag_naoPSLjfm, 13_lag_14_median_labSSTjfm, 13_lag_22_median_AMOCann, 13_lag_17_median_neurTSjfm, 19_lag_eapPSLjfm_1235_13"
LRforcedPSO,9,30,traCA,slow,875.5,2005.5,0.4,24,14,14,21.285594801059823,0.12409876741392714,1235,"['14_lag_15_median_labSSTjfm', '14_lag_18_median_traCA', '14_lag_18_median_yrvPRjja', '15_lag_nhSICjfm', '18_lag_pdoSSTjfm', '22_lag_amoSSTmjjaso', '14_lag_20_median_atlSICsep', '15_lag_traIT', '22_lag_wnorPRjfm', '23_lag_amo3', '23_lag_ginwSSTjfm', '23_lag_traFSC', '14_lag_16_median_gyreSSTjfm', '20_lag_traBO', '14_lag_20_median_tripol1', '23_lag_glTSjfm', '14_lag_15_median_traCA', '14_lag_17_median_traDS', '14_lag_17_median_traDP', '17_lag_shSICmar', '20_lag_gyreSSTjfm', '19_lag_solFORC', '14_lag_19_median_labSSTjfm', '15_lag_nchinaPRjja', '14_lag_15_median_mhfATL45', '23_lag_ismPRjja', '14_lag_17_median_neurTSjfm', '18_lag_tripol2', '18_lag_ismPRjja', '14_lag_19_median_stratZ50ndj03']","[8.812429597892816, 9.89624531101013, 4.1611256783031685, 3.2462994562825536, 4.223269522313675, 0.5785449006430543, 4.8857902714497765, 0.48138222844848144, 1.1593861235137322, 2.8648256255206768, 6.30840815906793, 0.6377450637693567, 4.978361315603593, 2.917290490586611, 1.456373331407086, 3.5032969679250225, 7.438102261460283, 4.574270719598124, 1.801678307066295, 7.066607001160868, 0.6220913644483552, 6.153964976884666, 2.113177133515915, 1.426528542560261, 6.834387634478416, 8.305982320979098, 6.986455462736238, 4.88443757522067, 2.9434663888743877, 2.5239449689917652]","14_lag_15_median_labSSTjfm, 14_lag_18_median_traCA, 14_lag_18_median_yrvPRjja, 15_lag_nhSICjfm, 18_lag_pdoSSTjfm, 22_lag_amoSSTmjjaso, 14_lag_20_median_atlSICsep, 15_lag_traIT, 22_lag_wnorPRjfm, 23_lag_amo3, 23_lag_ginwSSTjfm, 23_lag_traFSC, 14_lag_16_median_gyreSSTjfm, 20_lag_traBO, 14_lag_20_median_tripol1, 23_lag_glTSjfm, 14_lag_15_median_traCA, 14_lag_17_median_traDS, 14_lag_17_median_traDP, 17_lag_shSICmar, 20_lag_gyreSSTjfm, 19_lag_solFORC, 14_lag_19_median_labSSTjfm, 15_lag_nchinaPRjja, 14_lag_15_median_mhfATL45, 23_lag_ismPRjja, 14_lag_17_median_neurTSjfm, 18_lag_tripol2, 18_lag_ismPRjja, 14_lag_19_median_stratZ50ndj03_1235_14"
