model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traCA,slow,1514.5,2005.5,0.6,15,1,1,12.426951337033506,0.543728152945113,1755,"['11_lag_ismPRjja', '6_lag_stratZ50ndj03', '9_lag_neurTSjfm', '3_lag_yrvPRjja', '1_lag_atlSICjfm', '1_lag_traCA']","[0.07220411848012133, 0.09906007011799642, 0.05787541827106609, 0.04711643299924437, 0.15781002450975454, 0.5572163607931505]","11_lag_ismPRjja, 6_lag_stratZ50ndj03, 9_lag_neurTSjfm, 3_lag_yrvPRjja, 1_lag_atlSICjfm, 1_lag_traCA_1755_1"
LinearRegression,1,6,traCA,slow,1515.5,2005.5,0.6,16,1,1,12.38024864929885,0.5336417132279241,1885,"['6_lag_stratZ50ndj03', '11_lag_ismPRjja', '15_lag_shSICmar', '3_lag_yrvPRjja', '1_lag_atlSICjfm', '1_lag_traCA']","[0.09357024199068621, 0.09107249387289834, 0.1301760523897049, 0.04426009333703398, 0.18083104002537712, 0.5572052425145776]","6_lag_stratZ50ndj03, 11_lag_ismPRjja, 15_lag_shSICmar, 3_lag_yrvPRjja, 1_lag_atlSICjfm, 1_lag_traCA_1885_1"
LinearRegression,2,6,traCA,slow,1516.5,2005.5,0.6,17,1,1,12.312979770913486,0.5240432912245353,2015,"['10_lag_stratZ50ndj03', '6_lag_stratZ50ndj03', '11_lag_ismPRjja', '3_lag_yrvPRjja', '1_lag_atlSICjfm', '1_lag_traCA']","[0.09390025859564859, 0.10461105786554528, 0.08034407724557323, 0.05275550743716946, 0.16350430646984274, 0.5558146169739463]","10_lag_stratZ50ndj03, 6_lag_stratZ50ndj03, 11_lag_ismPRjja, 3_lag_yrvPRjja, 1_lag_atlSICjfm, 1_lag_traCA_2015_1"
LinearRegression,3,6,traCA,slow,1517.5,2005.5,0.6,18,1,1,12.633353546222029,0.4996318492584525,2145,"['7_lag_stratZ50ndj01', '11_lag_ismPRjja', '6_lag_stratZ50ndj03', '3_lag_yrvPRjja', '1_lag_atlSICjfm', '1_lag_traCA']","[0.16325420394401297, 0.08156983421352934, 0.09283299459031569, 0.05164271677339843, 0.15192119375382537, 0.5681808754169358]","7_lag_stratZ50ndj01, 11_lag_ismPRjja, 6_lag_stratZ50ndj03, 3_lag_yrvPRjja, 1_lag_atlSICjfm, 1_lag_traCA_2145_1"
LinearRegression,4,6,traCA,slow,1518.5,2005.5,0.6,19,1,1,12.311285244447134,0.5315718710260814,2275,"['1_lag_ginwSSTjfm', '6_lag_stratZ50ndj03', '11_lag_ismPRjja', '3_lag_yrvPRjja', '1_lag_atlSICjfm', '1_lag_traCA']","[0.07886541541990359, 0.09988865425226179, 0.08259056397690576, 0.058252691594691916, 0.11480713946111992, 0.5521631713955324]","1_lag_ginwSSTjfm, 6_lag_stratZ50ndj03, 11_lag_ismPRjja, 3_lag_yrvPRjja, 1_lag_atlSICjfm, 1_lag_traCA_2275_1"
LinearRegression,5,6,traCA,slow,1519.5,2005.5,0.6,20,1,1,12.723685824425925,0.48792103850206286,2405,"['1_lag_ginwSSTjfm', '7_lag_stratZ50ndj01', '6_lag_stratZ50ndj03', '3_lag_yrvPRjja', '1_lag_atlSICjfm', '1_lag_traCA']","[0.07487310796900236, 0.16481416330560483, 0.08298177797898493, 0.06712367597009519, 0.1184516842018341, 0.5604854789404762]","1_lag_ginwSSTjfm, 7_lag_stratZ50ndj01, 6_lag_stratZ50ndj03, 3_lag_yrvPRjja, 1_lag_atlSICjfm, 1_lag_traCA_2405_1"
LinearRegression,6,6,traCA,slow,1520.5,2005.5,0.6,21,1,1,12.72449484166847,0.48818554476642584,2535,"['7_lag_stratZ50ndj01', '1_lag_ginwSSTjfm', '6_lag_stratZ50ndj03', '3_lag_yrvPRjja', '1_lag_atlSICjfm', '1_lag_traCA']","[0.16380236909121765, 0.07600729287420167, 0.08536284723754252, 0.0664130728784781, 0.11892074116712402, 0.5603772583227904]","7_lag_stratZ50ndj01, 1_lag_ginwSSTjfm, 6_lag_stratZ50ndj03, 3_lag_yrvPRjja, 1_lag_atlSICjfm, 1_lag_traCA_2535_1"
LinearRegression,7,6,traCA,slow,1521.5,2005.5,0.6,22,2,2,16.21754347555497,0.097165761250988,2535,"['2_lag_ginwSSTjfm', '20_lag_satlSSTjfm', '15_lag_shSICmar', '2_lag_nchinaPRjja', '10_lag_stratZ50ndj03', '6_lag_stratZ50ndj03']","[0.2697145011628201, 0.34235750350337796, 0.11631098006620469, 0.12618742478635134, 0.12914281854116239, 0.14113695376463117]","2_lag_ginwSSTjfm, 20_lag_satlSSTjfm, 15_lag_shSICmar, 2_lag_nchinaPRjja, 10_lag_stratZ50ndj03, 6_lag_stratZ50ndj03_2535_2"
LinearRegression,8,6,traCA,slow,1522.5,2005.5,0.6,23,3,3,14.962849082565791,0.1227163048031037,2535,"['22_lag_ginwSSTjfm', '16_lag_traTLS', '7_lag_stratZ50ndj03', '3_lag_yrvPRjja', '10_lag_stratZ50ndj03', '6_lag_stratZ50ndj03']","[0.04511812753681155, 0.1093424988594015, 0.15671348380588418, 0.03893647035361727, 0.14864836836404552, 0.15631141593797537]","22_lag_ginwSSTjfm, 16_lag_traTLS, 7_lag_stratZ50ndj03, 3_lag_yrvPRjja, 10_lag_stratZ50ndj03, 6_lag_stratZ50ndj03_2535_3"
LinearRegression,9,6,traCA,slow,1523.5,2005.5,0.6,24,4,6,15.171482578627819,0.050909068847623785,2535,"['22_lag_traMC', '15_lag_nchinaPRjja', '6_lag_stratZ50ndj03', '22_lag_shSICsep', '7_lag_stratZ50ndj03', '10_lag_stratZ50ndj03']","[0.08452908694620027, 0.05620409885635452, 0.15494112980447566, 0.02406148293767532, 0.1443536475528549, 0.14757489569686463]","22_lag_traMC, 15_lag_nchinaPRjja, 6_lag_stratZ50ndj03, 22_lag_shSICsep, 7_lag_stratZ50ndj03, 10_lag_stratZ50ndj03_2535_6"
