model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,traDP,slow,1714.5,2005.5,0.4,15,5,5,25.346763494429084,0.10021260767615417,1235,"['14_lag_traEC', '5_lag_7_median_ginwSSTjfm', '14_lag_traCA', '5_lag_8_median_traEC', '11_lag_traIT', '12_lag_nchinaPRjja']","[1.265679099344796, 8.728546228750808, 5.759773132967889, 2.1004697254219167, 2.3608802349916367, 2.981937749387134]","14_lag_traEC, 5_lag_7_median_ginwSSTjfm, 14_lag_traCA, 5_lag_8_median_traEC, 11_lag_traIT, 12_lag_nchinaPRjja_1235_5"
LRforcedPSO,1,6,traDP,slow,1715.5,2005.5,0.4,16,6,6,22.069381626455918,0.21738052844220648,1235,"['6_lag_8_median_traFSC', '6_lag_15_median_traBO', '6_lag_9_median_mhfATL30', '6_lag_10_median_traFB', '6_lag_14_median_eapPSLjfm', '11_lag_traBO']","[1.3521053171038595, 3.409439628491569, 4.468370704839659, 0.8176750928705125, 3.205294648041299, 2.7479733674391094]","6_lag_8_median_traFSC, 6_lag_15_median_traBO, 6_lag_9_median_mhfATL30, 6_lag_10_median_traFB, 6_lag_14_median_eapPSLjfm, 11_lag_traBO_1235_6"
LRforcedPSO,2,6,traDP,slow,1716.5,2005.5,0.4,17,7,7,14.254612150953966,0.6650833873395873,1235,"['7_lag_14_median_mhfATL30', '8_lag_traBS', '11_lag_naoPSLjfm', '7_lag_12_median_satlSSTjfm', '7_lag_12_median_traWP', '10_lag_amo2']","[2.5454283703485387, 0.881674867526991, 1.7581129321149973, 2.7327561024405256, 4.483381560775992, 3.2645552524067956]","7_lag_14_median_mhfATL30, 8_lag_traBS, 11_lag_naoPSLjfm, 7_lag_12_median_satlSSTjfm, 7_lag_12_median_traWP, 10_lag_amo2_1235_7"
LRforcedPSO,3,6,traDP,slow,1717.5,2005.5,0.4,18,8,8,21.013780859047237,0.3282089142354892,1235,"['8_lag_11_median_traCA', '8_lag_9_median_traBO', '14_lag_mhfATL30', '10_lag_nhTSjfm', '8_lag_neurTSjfm', '14_lag_neurTSjfm']","[1.3126661527728014, 1.4729369307933229, 1.4213379644225248, 1.388081361369391, 1.2199167167595673, 1.5747533114349956]","8_lag_11_median_traCA, 8_lag_9_median_traBO, 14_lag_mhfATL30, 10_lag_nhTSjfm, 8_lag_neurTSjfm, 14_lag_neurTSjfm_1235_8"
LRforcedPSO,4,6,traDP,slow,1718.5,2005.5,0.4,19,9,9,21.145596297113883,0.18174919611428372,1235,"['13_lag_stratZ50ndj04', '9_lag_14_median_AMOCann', '18_lag_traDP', '16_lag_traDS', '9_lag_14_median_nppc2SSTjfm', '9_lag_15_median_amoSSTmjjaso']","[3.055612680161701, 2.1956268546335806, 3.8825967341301677, 5.181253606676929, 0.5634692463616808, 4.334986616872952]","13_lag_stratZ50ndj04, 9_lag_14_median_AMOCann, 18_lag_traDP, 16_lag_traDS, 9_lag_14_median_nppc2SSTjfm, 9_lag_15_median_amoSSTmjjaso_1235_9"
LRforcedPSO,5,6,traDP,slow,1719.5,2005.5,0.4,20,10,12,23.2441627089482,-0.3229628970542145,1235,"['15_lag_traMC', '14_lag_tripol3', '15_lag_tripol2', '12_lag_cetTSjfm', '17_lag_satlSSTjfm', '14_lag_traEU']","[1.401222419974917, 1.7250972230309183, 1.4667787220827833, 1.4472683811365996, 1.7716921662981744, 1.698758297471631]","15_lag_traMC, 14_lag_tripol3, 15_lag_tripol2, 12_lag_cetTSjfm, 17_lag_satlSSTjfm, 14_lag_traEU_1235_12"
LRforcedPSO,6,6,traDP,slow,1720.5,2005.5,0.4,21,11,11,20.845371733254765,0.14722344013419805,1235,"['19_lag_ensoSSTjfm', '11_lag_13_median_traEU', '19_lag_amo2', '11_lag_20_median_ensoSSTjfm', '14_lag_neurTSjfm', '15_lag_traFSC']","[1.4896139768454049, 4.188832294089, 6.892623573049782, 5.584902006862076, 1.2878708575686577, 1.0857632246174003]","19_lag_ensoSSTjfm, 11_lag_13_median_traEU, 19_lag_amo2, 11_lag_20_median_ensoSSTjfm, 14_lag_neurTSjfm, 15_lag_traFSC_1235_11"
LRforcedPSO,7,6,traDP,slow,1721.5,2005.5,0.4,22,12,12,14.989424936134165,0.6433617782564949,1235,"['17_lag_glomaSSTjfm', '17_lag_shSICmar', '20_lag_nppc2SSTjfm', '12_lag_20_median_AMOCann', '20_lag_naoPSLjfm', '16_lag_traDS']","[0.9372278218119412, 2.0593860858528235, 2.1675838598753394, 8.647768610699632, 1.0616769754113022, 2.4943103894315435]","17_lag_glomaSSTjfm, 17_lag_shSICmar, 20_lag_nppc2SSTjfm, 12_lag_20_median_AMOCann, 20_lag_naoPSLjfm, 16_lag_traDS_1235_12"
LRforcedPSO,8,6,traDP,slow,1722.5,2005.5,0.4,23,13,13,21.92389832578344,0.22834781722544736,1235,"['13_lag_traEU', '15_lag_nhTSjfm', '14_lag_shSICsep', '19_lag_traFS', '13_lag_16_median_traFB', '13_lag_14_median_gyreSSTjfm']","[1.7639264059545923, 0.03371581994833406, 0.6599222944946685, 6.795799007224435, 5.309461642122406, 5.983744906400579]","13_lag_traEU, 15_lag_nhTSjfm, 14_lag_shSICsep, 19_lag_traFS, 13_lag_16_median_traFB, 13_lag_14_median_gyreSSTjfm_1235_13"
LRforcedPSO,9,6,traDP,slow,1723.5,2005.5,0.4,24,14,16,21.453576163682875,0.12954959629296062,1235,"['17_lag_mhfATL60', '18_lag_nppc2SSTjfm', '21_lag_nhSICsep', '16_lag_traIT', '18_lag_traDP', '20_lag_traTLS']","[1.70492078273016, 1.2805697407682204, 1.283075865686283, 1.341142635324673, 1.7045386015295645, 1.2817906697040116]","17_lag_mhfATL60, 18_lag_nppc2SSTjfm, 21_lag_nhSICsep, 16_lag_traIT, 18_lag_traDP, 20_lag_traTLS_1235_16"
