model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traDP,slow,1514.5,2005.5,0.4,15,1,1,11.326167286619938,0.6855834305376898,1755,"['3_lag_mhfATL30', '13_lag_mhfATL30', '8_lag_AMOCann', '4_lag_seurTSjfm', '4_lag_traWP', '12_lag_samPSLann', '9_lag_ginwSSTjfm', '12_lag_nhSICsep', '5_lag_yrvPRjja', '12_lag_eurPSLjfm', '13_lag_nppc2SSTjfm', '14_lag_amo3', '1_lag_scpPSLjfm', '12_lag_traTLS', '7_lag_traIT', '14_lag_stratZ50ndj03', '1_lag_traBS', '10_lag_shSICsep', '9_lag_stratZ50ndj03', '14_lag_gyreSSTjfm', '13_lag_ginwSSTjfm', '7_lag_shSICsep', '2_lag_traDP', '1_lag_2_median_traDP', '14_lag_samPSLann', '10_lag_traMC', '7_lag_traTLS', '10_lag_stratZ50ndj03', '11_lag_tripol3', '5_lag_nchinaPRjja']","[0.0763598033406581, 0.0558115790512959, 0.07413691742671116, 0.08080980774650517, 0.007375435657195333, 0.039134257625104564, 0.12759532124550088, 0.1312709645118604, 0.0585872406254745, 0.051270225656864066, 0.006697561287825924, 0.14516436902928312, 0.042432656139477165, 0.06915055313174603, 0.009574007319394779, 0.03258034564879274, 0.12660590759968893, 0.06940461199001846, 0.02442783874104091, 0.040007615241540985, 0.07581918963568772, 0.0676633473159588, 0.2670004919429407, 0.26700049194294073, 0.10295633586138958, 0.06200210850816549, 0.012468444638466886, 0.07654749159868748, 0.1191137329171342, 0.038765106410650535]","3_lag_mhfATL30, 13_lag_mhfATL30, 8_lag_AMOCann, 4_lag_seurTSjfm, 4_lag_traWP, 12_lag_samPSLann, 9_lag_ginwSSTjfm, 12_lag_nhSICsep, 5_lag_yrvPRjja, 12_lag_eurPSLjfm, 13_lag_nppc2SSTjfm, 14_lag_amo3, 1_lag_scpPSLjfm, 12_lag_traTLS, 7_lag_traIT, 14_lag_stratZ50ndj03, 1_lag_traBS, 10_lag_shSICsep, 9_lag_stratZ50ndj03, 14_lag_gyreSSTjfm, 13_lag_ginwSSTjfm, 7_lag_shSICsep, 2_lag_traDP, 1_lag_2_median_traDP, 14_lag_samPSLann, 10_lag_traMC, 7_lag_traTLS, 10_lag_stratZ50ndj03, 11_lag_tripol3, 5_lag_nchinaPRjja_1755_1"
LinearRegression,1,30,traDP,slow,1515.5,2005.5,0.4,16,1,1,10.459231767389745,0.7027265183584177,1885,"['9_lag_ginwSSTjfm', '9_lag_traWP', '5_lag_traDP', '10_lag_traIFC', '7_lag_traIT', '14_lag_gyreSSTjfm', '12_lag_traTLS', '13_lag_nppc2SSTjfm', '15_lag_nhSICsep', '11_lag_traTLS', '6_lag_stratZ50ndj01', '15_lag_yrvPRjja', '15_lag_eapPSLjfm', '15_lag_mhfATL30', '14_lag_samPSLann', '13_lag_ginwSSTjfm', '7_lag_shSICsep', '1_lag_traBS', '5_lag_yrvPRjja', '1_lag_scpPSLjfm', '10_lag_shSICsep', '15_lag_seurTSjfm', '10_lag_stratZ50ndj03', '2_lag_traDP', '1_lag_2_median_traDP', '7_lag_traTLS', '10_lag_traMC', '11_lag_tripol3', '14_lag_stratZ50ndj03', '5_lag_nchinaPRjja']","[0.06903644239751676, 0.047386311653943664, 0.2327213612044227, 0.11208569134586693, 0.001020249138306597, 0.038238870979733386, 0.028582536605801057, 0.017405733993638532, 0.11602527232124424, 0.004110243930701268, 0.11205177463595475, 0.007210889273087026, 0.11524761507878786, 0.054512390633703826, 0.1283253199929936, 0.07535438623095649, 0.031653052190114425, 0.11135155994491097, 0.03267503633374537, 0.07325050257049093, 0.040175307338926464, 0.012098652050283704, 0.06859044071697622, 4777103352386.151, 4777103352385.735, 0.02006439851934659, 0.029799190416204088, 0.11932816742533507, 0.06819198987639223, 0.05898572757876454]","9_lag_ginwSSTjfm, 9_lag_traWP, 5_lag_traDP, 10_lag_traIFC, 7_lag_traIT, 14_lag_gyreSSTjfm, 12_lag_traTLS, 13_lag_nppc2SSTjfm, 15_lag_nhSICsep, 11_lag_traTLS, 6_lag_stratZ50ndj01, 15_lag_yrvPRjja, 15_lag_eapPSLjfm, 15_lag_mhfATL30, 14_lag_samPSLann, 13_lag_ginwSSTjfm, 7_lag_shSICsep, 1_lag_traBS, 5_lag_yrvPRjja, 1_lag_scpPSLjfm, 10_lag_shSICsep, 15_lag_seurTSjfm, 10_lag_stratZ50ndj03, 2_lag_traDP, 1_lag_2_median_traDP, 7_lag_traTLS, 10_lag_traMC, 11_lag_tripol3, 14_lag_stratZ50ndj03, 5_lag_nchinaPRjja_1885_1"
LinearRegression,2,30,traDP,slow,1516.5,2005.5,0.4,17,1,1,9.346283590820883,0.7468154515077905,2015,"['1_lag_3_median_traDP', '13_lag_shSICmar', '13_lag_traBS', '10_lag_traMC', '9_lag_ginwSSTjfm', '10_lag_shSICsep', '15_lag_mhfATL30', '15_lag_yrvPRjja', '11_lag_traTLS', '11_lag_nchinaPRjja', '1_lag_scpPSLjfm', '12_lag_traTLS', '5_lag_traDP', '14_lag_samPSLann', '13_lag_ginwSSTjfm', '13_lag_nppc2SSTjfm', '15_lag_nhSICsep', '6_lag_stratZ50ndj01', '15_lag_eapPSLjfm', '1_lag_traBS', '7_lag_shSICsep', '7_lag_traTLS', '10_lag_stratZ50ndj03', '5_lag_yrvPRjja', '15_lag_seurTSjfm', '1_lag_2_median_traDP', '2_lag_traDP', '11_lag_tripol3', '5_lag_nchinaPRjja', '14_lag_stratZ50ndj03']","[0.45192945169638077, 0.07820334371250373, 0.03161003857246432, 0.029925367757127664, 0.08303441977275666, 0.04697657163437269, 0.08662052845470988, 0.01483032816570385, 0.00747633776410485, 0.023462161265797785, 0.07948096790004218, 0.053258186550277, 0.17573963827147518, 0.12405953454734964, 0.06368774765931401, 0.005103526026674516, 0.07237785944019284, 0.11874934485427656, 0.12020967727540459, 0.09797649135822593, 0.04594322766692399, 0.021773789218129135, 0.052729747677935326, 0.01642175206422907, 0.0008961538352721798, 5322995130376.209, 5322995130376.117, 0.11929715401544781, 0.07230887473434065, 0.043356015474636383]","1_lag_3_median_traDP, 13_lag_shSICmar, 13_lag_traBS, 10_lag_traMC, 9_lag_ginwSSTjfm, 10_lag_shSICsep, 15_lag_mhfATL30, 15_lag_yrvPRjja, 11_lag_traTLS, 11_lag_nchinaPRjja, 1_lag_scpPSLjfm, 12_lag_traTLS, 5_lag_traDP, 14_lag_samPSLann, 13_lag_ginwSSTjfm, 13_lag_nppc2SSTjfm, 15_lag_nhSICsep, 6_lag_stratZ50ndj01, 15_lag_eapPSLjfm, 1_lag_traBS, 7_lag_shSICsep, 7_lag_traTLS, 10_lag_stratZ50ndj03, 5_lag_yrvPRjja, 15_lag_seurTSjfm, 1_lag_2_median_traDP, 2_lag_traDP, 11_lag_tripol3, 5_lag_nchinaPRjja, 14_lag_stratZ50ndj03_2015_1"
LinearRegression,3,30,traDP,slow,1517.5,2005.5,0.4,18,1,1,9.883781174987858,0.7421880816839977,2145,"['6_lag_neurTSjfm', '7_lag_traIT', '11_lag_ginwSSTjfm', '15_lag_scpPSLjfm', '1_lag_scpPSLjfm', '13_lag_traBS', '1_lag_3_median_traDP', '11_lag_nchinaPRjja', '13_lag_nppc2SSTjfm', '5_lag_traDP', '13_lag_ginwSSTjfm', '7_lag_nchinaPRjja', '15_lag_eapPSLjfm', '14_lag_samPSLann', '15_lag_nhSICsep', '5_lag_yrvPRjja', '7_lag_shSICsep', '17_lag_stratZ50ndj01', '6_lag_stratZ50ndj01', '15_lag_seurTSjfm', '7_lag_traTLS', '12_lag_traTLS', '2_lag_traDP', '10_lag_stratZ50ndj03', '1_lag_2_median_traDP', '1_lag_traBS', '11_lag_tripol3', '14_lag_stratZ50ndj03', '17_lag_nchinaPRjja', '5_lag_nchinaPRjja']","[0.024763524994458632, 0.051666177315028025, 0.12800876364055397, 0.12083382895999852, 0.11084003994101449, 0.003058829823043108, 0.42924222635344017, 0.03574859730294053, 0.004714742236945606, 0.15196403385086857, 0.06746131496304765, 0.04201434140286435, 0.08480736339170243, 0.14502979049653622, 0.09333112297747158, 0.015262928675356864, 0.015886683347774985, 0.09450331624679068, 0.08879153199324405, 0.024262176674567277, 0.06729984697966544, 0.047439146272614766, 0.05205988523309457, 0.03175656209342731, 0.05205988523309531, 0.11154345205045539, 0.13382744965816964, 0.05073477658885811, 0.05180382777683442, 0.08303178804168634]","6_lag_neurTSjfm, 7_lag_traIT, 11_lag_ginwSSTjfm, 15_lag_scpPSLjfm, 1_lag_scpPSLjfm, 13_lag_traBS, 1_lag_3_median_traDP, 11_lag_nchinaPRjja, 13_lag_nppc2SSTjfm, 5_lag_traDP, 13_lag_ginwSSTjfm, 7_lag_nchinaPRjja, 15_lag_eapPSLjfm, 14_lag_samPSLann, 15_lag_nhSICsep, 5_lag_yrvPRjja, 7_lag_shSICsep, 17_lag_stratZ50ndj01, 6_lag_stratZ50ndj01, 15_lag_seurTSjfm, 7_lag_traTLS, 12_lag_traTLS, 2_lag_traDP, 10_lag_stratZ50ndj03, 1_lag_2_median_traDP, 1_lag_traBS, 11_lag_tripol3, 14_lag_stratZ50ndj03, 17_lag_nchinaPRjja, 5_lag_nchinaPRjja_2145_1"
LinearRegression,4,30,traDP,slow,1518.5,2005.5,0.4,19,1,1,9.138104825154457,0.757251883939142,2275,"['8_lag_mhfATL60', '1_lag_3_median_traDP', '12_lag_eurPSLjfm', '17_lag_stratZ50ndj01', '9_lag_traFSC', '1_lag_scpPSLjfm', '11_lag_nchinaPRjja', '5_lag_yrvPRjja', '15_lag_nhSICsep', '5_lag_traDP', '14_lag_samPSLann', '7_lag_traTLS', '15_lag_seurTSjfm', '13_lag_ginwSSTjfm', '13_lag_nppc2SSTjfm', '7_lag_shSICsep', '6_lag_stratZ50ndj01', '10_lag_stratZ50ndj03', '15_lag_eapPSLjfm', '7_lag_nchinaPRjja', '12_lag_traTLS', '11_lag_tripol3', '1_lag_2_median_traDP', '2_lag_traDP', '18_lag_atlSICsep', '18_lag_traWP', '1_lag_traBS', '17_lag_nchinaPRjja', '14_lag_stratZ50ndj03', '5_lag_nchinaPRjja']","[0.0849201088405917, 0.42914449706983515, 0.06198888993881101, 0.08251003028553493, 0.05271822366756607, 0.08527576118309255, 0.038160168440703676, 0.035208196040354, 0.05782478218254791, 0.18558239405285898, 0.13053156517208364, 0.03268016151399162, 0.029780512146508408, 0.05393154633564327, 0.009209388773363766, 0.017654412994312578, 0.09636154363046483, 0.045948384022340596, 0.11684311186571666, 0.052894708096892847, 0.05165415559430425, 0.14186971411268307, 0.05015530177311225, 0.05015530177311219, 0.0005985919945162843, 0.09080650175906155, 0.0862457509591582, 0.03807603177728619, 0.049063213989731985, 0.08159127818431686]","8_lag_mhfATL60, 1_lag_3_median_traDP, 12_lag_eurPSLjfm, 17_lag_stratZ50ndj01, 9_lag_traFSC, 1_lag_scpPSLjfm, 11_lag_nchinaPRjja, 5_lag_yrvPRjja, 15_lag_nhSICsep, 5_lag_traDP, 14_lag_samPSLann, 7_lag_traTLS, 15_lag_seurTSjfm, 13_lag_ginwSSTjfm, 13_lag_nppc2SSTjfm, 7_lag_shSICsep, 6_lag_stratZ50ndj01, 10_lag_stratZ50ndj03, 15_lag_eapPSLjfm, 7_lag_nchinaPRjja, 12_lag_traTLS, 11_lag_tripol3, 1_lag_2_median_traDP, 2_lag_traDP, 18_lag_atlSICsep, 18_lag_traWP, 1_lag_traBS, 17_lag_nchinaPRjja, 14_lag_stratZ50ndj03, 5_lag_nchinaPRjja_2275_1"
LinearRegression,5,30,traDP,slow,1519.5,2005.5,0.4,20,1,1,9.78351835109657,0.735036876938359,2405,"['1_lag_scpPSLjfm', '13_lag_traBS', '8_lag_mhfATL60', '15_lag_scpPSLjfm', '11_lag_nchinaPRjja', '14_lag_samPSLann', '10_lag_shSICsep', '5_lag_traDP', '13_lag_nchinaPRjja', '5_lag_yrvPRjja', '15_lag_nhSICsep', '10_lag_stratZ50ndj03', '13_lag_ginwSSTjfm', '18_lag_traWP', '6_lag_stratZ50ndj01', '15_lag_seurTSjfm', '12_lag_traTLS', '15_lag_eapPSLjfm', '11_lag_tripol3', '18_lag_atlSICsep', '13_lag_nppc2SSTjfm', '7_lag_shSICsep', '7_lag_traTLS', '17_lag_nchinaPRjja', '1_lag_2_median_traDP', '2_lag_traDP', '7_lag_nchinaPRjja', '1_lag_traBS', '14_lag_stratZ50ndj03', '5_lag_nchinaPRjja']","[0.1119922590735808, 0.02315510974976176, 0.10362155359304293, 0.12390956157141765, 0.03591429832076098, 0.13323080296556664, 0.07578440585051446, 0.2737392712416576, 0.04823471924635925, 0.012634657728783753, 0.11879392336749606, 0.04037325896221866, 0.02779043398161062, 0.11168806288218766, 0.11385535692643152, 0.025190103698426444, 0.018246278322561427, 0.08761796489084588, 0.11789021377221702, 0.021028045194530103, 0.010498464702189868, 0.005045536712846854, 0.003309237844877763, 0.048604071930761446, 1662761023208.5554, 1662761023208.963, 0.048079501522198725, 0.09691623160004151, 0.059705259215054755, 0.06308423215060177]","1_lag_scpPSLjfm, 13_lag_traBS, 8_lag_mhfATL60, 15_lag_scpPSLjfm, 11_lag_nchinaPRjja, 14_lag_samPSLann, 10_lag_shSICsep, 5_lag_traDP, 13_lag_nchinaPRjja, 5_lag_yrvPRjja, 15_lag_nhSICsep, 10_lag_stratZ50ndj03, 13_lag_ginwSSTjfm, 18_lag_traWP, 6_lag_stratZ50ndj01, 15_lag_seurTSjfm, 12_lag_traTLS, 15_lag_eapPSLjfm, 11_lag_tripol3, 18_lag_atlSICsep, 13_lag_nppc2SSTjfm, 7_lag_shSICsep, 7_lag_traTLS, 17_lag_nchinaPRjja, 1_lag_2_median_traDP, 2_lag_traDP, 7_lag_nchinaPRjja, 1_lag_traBS, 14_lag_stratZ50ndj03, 5_lag_nchinaPRjja_2405_1"
LinearRegression,6,30,traDP,slow,1520.5,2005.5,0.4,21,1,1,9.716476068117817,0.7381580132032897,2535,"['13_lag_traBS', '11_lag_ginwSSTjfm', '15_lag_seurTSjfm', '13_lag_ginwSSTjfm', '5_lag_traDP', '15_lag_scpPSLjfm', '6_lag_stratZ50ndj01', '10_lag_stratZ50ndj03', '12_lag_eurPSLjfm', '18_lag_traWP', '20_lag_wnorPRjfm', '8_lag_mhfATL60', '15_lag_nhSICsep', '7_lag_shSICsep', '14_lag_samPSLann', '20_lag_stratZ50ndj02', '11_lag_tripol3', '13_lag_nppc2SSTjfm', '15_lag_eapPSLjfm', '10_lag_shSICsep', '7_lag_traTLS', '12_lag_traTLS', '17_lag_nchinaPRjja', '13_lag_nchinaPRjja', '1_lag_2_median_traDP', '2_lag_traDP', '14_lag_stratZ50ndj03', '7_lag_nchinaPRjja', '1_lag_traBS', '5_lag_nchinaPRjja']","[0.009255179505864696, 0.11323908314878628, 0.030384896215787778, 0.02450609684982423, 0.24131692756889578, 0.11375158818737949, 0.07259570906971868, 0.054809047419214114, 0.0763497088644958, 0.10379447537103595, 0.01622760601211913, 0.09316615330113297, 0.11503040082711335, 0.021833835470183242, 0.11138280474309803, 0.08421918130257408, 0.10899652402527632, 0.020181943561442615, 0.04956444750428364, 0.06209665586302263, 0.006830874680268148, 0.01279864920946841, 0.05013053481422011, 0.058434831396145304, 5406835465977.317, 5406835465976.938, 0.053910410053723504, 0.040012022692130306, 0.08803605384499463, 0.06413194396702827]","13_lag_traBS, 11_lag_ginwSSTjfm, 15_lag_seurTSjfm, 13_lag_ginwSSTjfm, 5_lag_traDP, 15_lag_scpPSLjfm, 6_lag_stratZ50ndj01, 10_lag_stratZ50ndj03, 12_lag_eurPSLjfm, 18_lag_traWP, 20_lag_wnorPRjfm, 8_lag_mhfATL60, 15_lag_nhSICsep, 7_lag_shSICsep, 14_lag_samPSLann, 20_lag_stratZ50ndj02, 11_lag_tripol3, 13_lag_nppc2SSTjfm, 15_lag_eapPSLjfm, 10_lag_shSICsep, 7_lag_traTLS, 12_lag_traTLS, 17_lag_nchinaPRjja, 13_lag_nchinaPRjja, 1_lag_2_median_traDP, 2_lag_traDP, 14_lag_stratZ50ndj03, 7_lag_nchinaPRjja, 1_lag_traBS, 5_lag_nchinaPRjja_2535_1"
LinearRegression,7,30,traDP,slow,1521.5,2005.5,0.4,22,2,2,9.598108381716683,0.7301545273303924,2535,"['15_lag_nhSICsep', '2_lag_5_median_traDP', '15_lag_eapPSLjfm', '15_lag_mhfATL30', '13_lag_nppc2SSTjfm', '8_lag_mhfATL60', '9_lag_traFSC', '20_lag_wnorPRjfm', '18_lag_shSICsep', '21_lag_shSICsep', '11_lag_nchinaPRjja', '15_lag_scpPSLjfm', '20_lag_stratZ50ndj02', '14_lag_stratZ50ndj02', '14_lag_samPSLann', '13_lag_traBS', '13_lag_ginwSSTjfm', '2_lag_nchinaPRjja', '11_lag_ginwSSTjfm', '7_lag_traTLS', '17_lag_nchinaPRjja', '10_lag_shSICsep', '12_lag_traTLS', '14_lag_stratZ50ndj03', '11_lag_tripol3', '5_lag_nchinaPRjja', '13_lag_nchinaPRjja', '7_lag_nchinaPRjja', '2_lag_traDP', '21_lag_nchinaPRjja']","[0.08740037089460402, 0.41122081947009526, 0.10586919394450485, 0.05987892139534571, 0.034903702266464734, 0.1434296274912829, 0.05232702002685116, 0.021304851274661696, 0.0032188841608950768, 0.060037782720982404, 0.025776115697123268, 0.07451442745034441, 0.10013072513966782, 0.03981624720137418, 0.08380214548677674, 0.03146876535113476, 0.024973269023112074, 0.07305222442381265, 0.13639820516369516, 0.011952491526238708, 0.08304371516444782, 0.062254962753032855, 0.007945288954997572, 0.04468209299232731, 0.0768940621602282, 0.07295147616534442, 0.03748118709549764, 0.04313553619510499, 0.2774003984497334, 0.053450780629779246]","15_lag_nhSICsep, 2_lag_5_median_traDP, 15_lag_eapPSLjfm, 15_lag_mhfATL30, 13_lag_nppc2SSTjfm, 8_lag_mhfATL60, 9_lag_traFSC, 20_lag_wnorPRjfm, 18_lag_shSICsep, 21_lag_shSICsep, 11_lag_nchinaPRjja, 15_lag_scpPSLjfm, 20_lag_stratZ50ndj02, 14_lag_stratZ50ndj02, 14_lag_samPSLann, 13_lag_traBS, 13_lag_ginwSSTjfm, 2_lag_nchinaPRjja, 11_lag_ginwSSTjfm, 7_lag_traTLS, 17_lag_nchinaPRjja, 10_lag_shSICsep, 12_lag_traTLS, 14_lag_stratZ50ndj03, 11_lag_tripol3, 5_lag_nchinaPRjja, 13_lag_nchinaPRjja, 7_lag_nchinaPRjja, 2_lag_traDP, 21_lag_nchinaPRjja_2535_2"
LinearRegression,8,30,traDP,slow,1522.5,2005.5,0.4,23,3,5,17.653688840936415,0.3566668059925881,2535,"['15_lag_nhSICsep', '22_lag_tripol1', '7_lag_shSICsep', '10_lag_stratZ50ndj03', '18_lag_naoPSLjfm', '18_lag_traWP', '17_lag_nchinaPRjja', '8_lag_mhfATL60', '12_lag_shSICsep', '18_lag_shSICsep', '9_lag_traFSC', '15_lag_atlSICsep', '6_lag_traEC', '12_lag_traTLS', '10_lag_shSICsep', '19_lag_stratZ50ndj03', '5_lag_atlSICjfm', '20_lag_stratZ50ndj02', '11_lag_ginwSSTjfm', '14_lag_samPSLann', '22_lag_mhfIP30', '22_lag_pdoSSTjfm', '13_lag_ginwSSTjfm', '13_lag_traBS', '14_lag_stratZ50ndj03', '5_lag_nchinaPRjja', '11_lag_tripol3', '13_lag_nchinaPRjja', '7_lag_nchinaPRjja', '21_lag_nchinaPRjja']","[0.21974477619876506, 0.28272666121613477, 0.025721176177388293, 0.07214249164974629, 0.04918284885939602, 0.03330216142025726, 0.05538559773482839, 0.04933474909761259, 0.11909057120253323, 0.09358000091845653, 0.01031137867638894, 0.041784367362887744, 0.012047973980383868, 0.030430989487850835, 0.029916730870314375, 0.09591990372950993, 0.10976819230915082, 0.11238559811145779, 0.25293146270795447, 0.052492432999674876, 0.008240540826731733, 0.44259233519034635, 0.12065545971270415, 0.077621912108773, 0.05161984251087309, 0.0789009399741987, 0.028193027206855903, 0.09773425240849307, 0.03237885373914007, 0.0761343314279327]","15_lag_nhSICsep, 22_lag_tripol1, 7_lag_shSICsep, 10_lag_stratZ50ndj03, 18_lag_naoPSLjfm, 18_lag_traWP, 17_lag_nchinaPRjja, 8_lag_mhfATL60, 12_lag_shSICsep, 18_lag_shSICsep, 9_lag_traFSC, 15_lag_atlSICsep, 6_lag_traEC, 12_lag_traTLS, 10_lag_shSICsep, 19_lag_stratZ50ndj03, 5_lag_atlSICjfm, 20_lag_stratZ50ndj02, 11_lag_ginwSSTjfm, 14_lag_samPSLann, 22_lag_mhfIP30, 22_lag_pdoSSTjfm, 13_lag_ginwSSTjfm, 13_lag_traBS, 14_lag_stratZ50ndj03, 5_lag_nchinaPRjja, 11_lag_tripol3, 13_lag_nchinaPRjja, 7_lag_nchinaPRjja, 21_lag_nchinaPRjja_2535_5"
LinearRegression,9,30,traDP,slow,1523.5,2005.5,0.4,24,4,4,14.62226550663118,0.5029002209940382,2535,"['18_lag_naoPSLjfm', '21_lag_wnorPRjfm', '4_lag_tripol3', '23_lag_stratZ50ndj01', '15_lag_nhSICsep', '23_lag_stratZ50ndj03', '16_lag_traWP', '4_lag_traDP', '9_lag_traFSC', '15_lag_alpi', '20_lag_stratZ50ndj02', '15_lag_atlSICsep', '19_lag_nchinaPRjja', '6_lag_traEC', '19_lag_traBS', '10_lag_stratZ50ndj03', '22_lag_mhfIP30', '12_lag_eurPSLjfm', '22_lag_pdoSSTjfm', '13_lag_traBS', '8_lag_mhfATL60', '11_lag_ginwSSTjfm', '13_lag_ginwSSTjfm', '13_lag_nchinaPRjja', '19_lag_stratZ50ndj03', '14_lag_samPSLann', '11_lag_tripol3', '14_lag_stratZ50ndj03', '7_lag_nchinaPRjja', '21_lag_nchinaPRjja']","[0.043059327200187215, 0.03573990604147241, 0.06731335171902102, 0.12306263475212655, 0.20191445542767308, 0.10452247885404481, 0.007235844978474084, 0.31496779731680746, 0.03255998694833551, 0.050065854545233254, 0.08153485162584066, 0.011406037796968714, 0.04780905557108628, 0.02598503342074649, 0.09491621523612809, 0.04877323990008153, 0.07886968443142547, 0.11958083692621767, 0.168642308970605, 0.059926971856314154, 0.1314750811404433, 0.22812994504147666, 0.08860914858857738, 0.048146676732989134, 0.07035892048350025, 0.05769550128296479, 0.030478569253776677, 0.09110557061691246, 0.046348383183545894, 0.020430090926111096]","18_lag_naoPSLjfm, 21_lag_wnorPRjfm, 4_lag_tripol3, 23_lag_stratZ50ndj01, 15_lag_nhSICsep, 23_lag_stratZ50ndj03, 16_lag_traWP, 4_lag_traDP, 9_lag_traFSC, 15_lag_alpi, 20_lag_stratZ50ndj02, 15_lag_atlSICsep, 19_lag_nchinaPRjja, 6_lag_traEC, 19_lag_traBS, 10_lag_stratZ50ndj03, 22_lag_mhfIP30, 12_lag_eurPSLjfm, 22_lag_pdoSSTjfm, 13_lag_traBS, 8_lag_mhfATL60, 11_lag_ginwSSTjfm, 13_lag_ginwSSTjfm, 13_lag_nchinaPRjja, 19_lag_stratZ50ndj03, 14_lag_samPSLann, 11_lag_tripol3, 14_lag_stratZ50ndj03, 7_lag_nchinaPRjja, 21_lag_nchinaPRjja_2535_4"
