model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traDS,slow,1714.5,2005.5,0.4,15,5,7,13.98867768697748,-0.12777740809107926,1235,"['9_lag_eurPSLjfm', '8_lag_stratZ50ndj01', '8_lag_stratZ50ndj02', '7_lag_shSICsep', '14_lag_traWP', '14_lag_yrvPRjja']","[0.0700315501450756, 0.09644952171088325, 0.0456656886014592, 0.12581142464738487, 0.23074267802122836, 0.10652538736120519]","9_lag_eurPSLjfm, 8_lag_stratZ50ndj01, 8_lag_stratZ50ndj02, 7_lag_shSICsep, 14_lag_traWP, 14_lag_yrvPRjja_1235_7"
LinearRegression,1,6,traDS,slow,1715.5,2005.5,0.4,16,6,6,13.948153385188776,-0.06544579953004101,1235,"['14_lag_traWP', '8_lag_stratZ50ndj02', '6_lag_traIT', '6_lag_traTLS', '8_lag_stratZ50ndj01', '14_lag_yrvPRjja']","[0.26099344573469074, 0.0831850163411357, 0.18543450357651411, 0.04565524378236449, 0.07408007028060894, 0.10849630709801034]","14_lag_traWP, 8_lag_stratZ50ndj02, 6_lag_traIT, 6_lag_traTLS, 8_lag_stratZ50ndj01, 14_lag_yrvPRjja_1235_6"
LinearRegression,2,6,traDS,slow,1716.5,2005.5,0.4,17,7,7,12.658743808989746,0.016635147853824202,1235,"['7_lag_stratZ50ndj01', '11_lag_stratZ50ndj01', '7_lag_shSICsep', '14_lag_yrvPRjja', '8_lag_stratZ50ndj01', '7_lag_8_median_stratZ50ndj01']","[0.02304764033548336, 0.1263242789535124, 0.12065844149568479, 0.1516792307638925, 0.05822893408002071, 0.05822893408002071]","7_lag_stratZ50ndj01, 11_lag_stratZ50ndj01, 7_lag_shSICsep, 14_lag_yrvPRjja, 8_lag_stratZ50ndj01, 7_lag_8_median_stratZ50ndj01_1235_7"
LinearRegression,3,6,traDS,slow,1717.5,2005.5,0.4,18,8,8,13.925704089621288,-0.0006369647811118968,1235,"['8_lag_9_median_nppc2SSTjfm', '12_lag_traFS', '11_lag_stratZ50ndj01', '13_lag_shSICsep', '14_lag_yrvPRjja', '8_lag_stratZ50ndj01']","[0.2776152999649008, 0.24287471334140942, 0.12943723819931272, 0.13296187005170257, 0.19839904645045872, 0.1266755329196499]","8_lag_9_median_nppc2SSTjfm, 12_lag_traFS, 11_lag_stratZ50ndj01, 13_lag_shSICsep, 14_lag_yrvPRjja, 8_lag_stratZ50ndj01_1235_8"
LinearRegression,4,6,traDS,slow,1718.5,2005.5,0.4,19,9,9,14.208620597748055,-0.10699597202661462,1235,"['13_lag_shSICsep', '17_lag_traEC', '14_lag_yrvPRjja', '17_lag_shSICsep', '18_lag_eurPSLjfm', '9_lag_nppc2SSTjfm']","[0.13613132978427278, 0.10576678706834439, 0.17157470847855164, 0.11650038259020166, 0.17756818013967895, 0.2083204103901416]","13_lag_shSICsep, 17_lag_traEC, 14_lag_yrvPRjja, 17_lag_shSICsep, 18_lag_eurPSLjfm, 9_lag_nppc2SSTjfm_1235_9"
LinearRegression,5,6,traDS,slow,1719.5,2005.5,0.4,20,10,15,17.000660758184928,-0.09845065519320087,1235,"['15_lag_nhSICsep', '17_lag_traEC', '19_lag_eurPSLjfm', '15_lag_stratZ50ndj01', '17_lag_shSICsep', '19_lag_nchinaPRjja']","[0.3571155521945665, 0.11895806334771737, 0.3110284598371446, 0.12721201461285023, 0.22282174577261082, 0.14396954063284498]","15_lag_nhSICsep, 17_lag_traEC, 19_lag_eurPSLjfm, 15_lag_stratZ50ndj01, 17_lag_shSICsep, 19_lag_nchinaPRjja_1235_15"
LinearRegression,6,6,traDS,slow,1720.5,2005.5,0.4,21,11,15,14.438009351126993,0.01724830908104539,1235,"['16_lag_eurPSLjfm', '15_lag_stratZ50ndj01', '20_lag_yrvPRjja', '19_lag_eurPSLjfm', '17_lag_shSICsep', '19_lag_nchinaPRjja']","[0.08682650238849596, 0.1273017820930633, 0.13562305963005894, 0.2782376523977026, 0.2130027410699107, 0.13279818590203396]","16_lag_eurPSLjfm, 15_lag_stratZ50ndj01, 20_lag_yrvPRjja, 19_lag_eurPSLjfm, 17_lag_shSICsep, 19_lag_nchinaPRjja_1235_15"
LinearRegression,7,6,traDS,slow,1721.5,2005.5,0.4,22,12,16,14.026042266478955,-0.005634102441012026,1235,"['16_lag_eurPSLjfm', '17_lag_shSICsep', '19_lag_eurPSLjfm', '20_lag_yrvPRjja', '21_lag_nchinaPRjja', '19_lag_nchinaPRjja']","[0.08400752316190227, 0.19890640245373636, 0.24609489576355706, 0.10453405340544986, 0.14837106159141872, 0.1497028830995995]","16_lag_eurPSLjfm, 17_lag_shSICsep, 19_lag_eurPSLjfm, 20_lag_yrvPRjja, 21_lag_nchinaPRjja, 19_lag_nchinaPRjja_1235_16"
LinearRegression,8,6,traDS,slow,1722.5,2005.5,0.4,23,13,17,13.863156346979382,0.02884038585029563,1235,"['17_lag_shSICsep', '18_lag_eurPSLjfm', '22_lag_shSICsep', '20_lag_yrvPRjja', '21_lag_nchinaPRjja', '19_lag_nchinaPRjja']","[0.2002396194522906, 0.19713915978827, 0.2014869528221207, 0.1239537224945849, 0.14488675737443155, 0.1951415756911034]","17_lag_shSICsep, 18_lag_eurPSLjfm, 22_lag_shSICsep, 20_lag_yrvPRjja, 21_lag_nchinaPRjja, 19_lag_nchinaPRjja_1235_17"
LinearRegression,9,6,traDS,slow,1723.5,2005.5,0.4,24,14,17,14.581567650536636,0.007406513964820739,1235,"['17_lag_shSICsep', '22_lag_shSICsep', '20_lag_yrvPRjja', '19_lag_eurPSLjfm', '21_lag_nchinaPRjja', '19_lag_nchinaPRjja']","[0.2195817116225916, 0.197907384785329, 0.14932977750557716, 0.25095950352566176, 0.1610564944108931, 0.16222407111557596]","17_lag_shSICsep, 22_lag_shSICsep, 20_lag_yrvPRjja, 19_lag_eurPSLjfm, 21_lag_nchinaPRjja, 19_lag_nchinaPRjja_1235_17"
