model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traEC,slow,1514.5,2005.5,0.8,15,5,5,24.519407892896876,0.07487417606784069,1235,"['11_lag_ismPRjja', '5_lag_14_median_labSSTjfm', '5_lag_14_median_nppc2SSTjfm', '13_lag_arcTSjfm', '5_lag_9_median_ormenSSTjfm', '5_lag_13_median_mhfATL45', '5_lag_11_median_mhfIP30', '5_lag_13_median_stratZ50ndj04', '11_lag_traCA', '5_lag_7_median_shSICmar', '5_lag_11_median_nhTSjfm', '5_lag_6_median_ismPRjja', '5_lag_7_median_tripol2', '5_lag_9_median_amo3', '11_lag_wnorPRjfm', '5_lag_12_median_eurPSLjfm', '12_lag_traFS', '10_lag_traDS', '5_lag_7_median_arcTSjfm', '11_lag_nppc2SSTjfm', '7_lag_stratZ50ndj01', '7_lag_eurPSLjfm', '5_lag_13_median_eapPSLjfm', '5_lag_6_median_traBO', '5_lag_7_median_traIFC', '5_lag_13_median_scpPSLjfm', '5_lag_9_median_labSSTjfm', '8_lag_shTSjfm', '6_lag_traIFC', '10_lag_yrvPRjja']","[7.788404178195871, 6.98213984349449, 3.4993489006051455, 3.210973827109658, 1.3297011407875186, 4.822502360748249, 3.3344457893622526, 9.136958716629028, 0.047604258799960775, 1.5992800533845326, 3.1847382874596164, 0.6116851145028015, 1.193461899730373, 0.514671052159132, 9.74843459440173, 1.0424821152668535, 8.296750841805917, 2.9626649378887677, 5.357523707488518, 0.20826640814267883, 1.735147354815446, 7.68293277305326, 0.4570203552061969, 6.488661216329188, 6.130753579522686, 6.407949898029783, 6.325179762481351, 6.030519126475028, 6.003064238728006, 6.912697524582912]","11_lag_ismPRjja, 5_lag_14_median_labSSTjfm, 5_lag_14_median_nppc2SSTjfm, 13_lag_arcTSjfm, 5_lag_9_median_ormenSSTjfm, 5_lag_13_median_mhfATL45, 5_lag_11_median_mhfIP30, 5_lag_13_median_stratZ50ndj04, 11_lag_traCA, 5_lag_7_median_shSICmar, 5_lag_11_median_nhTSjfm, 5_lag_6_median_ismPRjja, 5_lag_7_median_tripol2, 5_lag_9_median_amo3, 11_lag_wnorPRjfm, 5_lag_12_median_eurPSLjfm, 12_lag_traFS, 10_lag_traDS, 5_lag_7_median_arcTSjfm, 11_lag_nppc2SSTjfm, 7_lag_stratZ50ndj01, 7_lag_eurPSLjfm, 5_lag_13_median_eapPSLjfm, 5_lag_6_median_traBO, 5_lag_7_median_traIFC, 5_lag_13_median_scpPSLjfm, 5_lag_9_median_labSSTjfm, 8_lag_shTSjfm, 6_lag_traIFC, 10_lag_yrvPRjja_1235_5"
LRforcedPSO,1,30,traEC,slow,1515.5,2005.5,0.8,16,6,6,22.538123575403958,0.07409590172227502,1235,"['14_lag_alpi', '6_lag_13_median_traDS', '11_lag_amoSSTmjjaso', '6_lag_pdoSSTjfm', '6_lag_13_median_nppc3SSTjfm', '6_lag_13_median_mhfIP30', '6_lag_glTSjfm', '7_lag_traDS', '6_lag_12_median_mhfATL60', '6_lag_14_median_ormenSSTjfm', '6_lag_7_median_traDP', '15_lag_traMC', '6_lag_11_median_yrvPRjja', '11_lag_labSSTjfm', '10_lag_stratZ50ndj03', '6_lag_12_median_traIT', '6_lag_9_median_nppc2SSTjfm', '13_lag_traMC', '10_lag_amo3', '6_lag_8_median_nppc2SSTjfm', '6_lag_15_median_stratZ50ndj01', '15_lag_nppc2SSTjfm', '12_lag_arcTSjfm', '6_lag_9_median_glomaSSTjfm', '6_lag_11_median_nhSICjfm', '15_lag_yrvPRjja', '9_lag_ismPRjja', '6_lag_12_median_stratZ50ndj03', '6_lag_14_median_traDS', '6_lag_7_median_traFS']","[1.9317808177784812, 3.544386856681248, 9.26407477692016, 3.8909732348784303, 9.346388469148712, 6.0474031104822785, 3.927567608707996, 2.694402316092919, 0.8873516511889967, 5.615359075075165, 5.639992150898796, 3.4366494541201353, 3.4372292190046068, 2.8645879540008767, 7.762816006297816, 2.893609758399778, 4.9830821730199055, 8.830898599797088, 2.297293830455363, 0.020370556414397, 0.9745917456240889, 3.2559900364804273, 2.346747223138003, 0.1339573409800643, 1.1424947616975736, 5.971727093290944, 3.288975148036675, 2.5602859815846415, 0.23959317158483096, 9.172452873407561]","14_lag_alpi, 6_lag_13_median_traDS, 11_lag_amoSSTmjjaso, 6_lag_pdoSSTjfm, 6_lag_13_median_nppc3SSTjfm, 6_lag_13_median_mhfIP30, 6_lag_glTSjfm, 7_lag_traDS, 6_lag_12_median_mhfATL60, 6_lag_14_median_ormenSSTjfm, 6_lag_7_median_traDP, 15_lag_traMC, 6_lag_11_median_yrvPRjja, 11_lag_labSSTjfm, 10_lag_stratZ50ndj03, 6_lag_12_median_traIT, 6_lag_9_median_nppc2SSTjfm, 13_lag_traMC, 10_lag_amo3, 6_lag_8_median_nppc2SSTjfm, 6_lag_15_median_stratZ50ndj01, 15_lag_nppc2SSTjfm, 12_lag_arcTSjfm, 6_lag_9_median_glomaSSTjfm, 6_lag_11_median_nhSICjfm, 15_lag_yrvPRjja, 9_lag_ismPRjja, 6_lag_12_median_stratZ50ndj03, 6_lag_14_median_traDS, 6_lag_7_median_traFS_1235_6"
LRforcedPSO,2,30,traEC,slow,1516.5,2005.5,0.8,17,7,7,25.247397174086842,0.12454689119633156,1235,"['15_lag_gyreSSTjfm', '11_lag_stratZ50ndj04', '7_lag_9_median_stratZ50ndj04', '11_lag_traDP', '13_lag_traDS', '7_lag_13_median_gyreSSTjfm', '9_lag_nchinaPRjja', '7_lag_15_median_traDS', '7_lag_14_median_tripol1', '7_lag_15_median_ensoSSTjfm', '12_lag_traMC', '7_lag_8_median_nppc2SSTjfm', '7_lag_14_median_shSICmar', '7_lag_16_median_atlSICsep', '7_lag_8_median_gyreSSTjfm', '7_lag_12_median_AMOCann', '16_lag_traTLS', '14_lag_nhSICjfm', '7_lag_12_median_traFSC', '11_lag_solFORC', '7_lag_9_median_pdoSSTjfm', '16_lag_amo1', '9_lag_traEC', '7_lag_10_median_nppc3SSTjfm', '7_lag_14_median_mhfIP30', '11_lag_traEU', '7_lag_arcTSjfm', '7_lag_nchinaPRjja', '9_lag_neurTSjfm', '7_lag_16_median_traTLS']","[4.968267732019227, 5.392879520465064, 1.6461168592684743, 8.155577754478866, 4.115464941280564, 2.3595349852029157, 8.961311428806525, 3.6648745834759833, 4.58105692243624, 1.0765238126303327, 7.8541609593739015, 1.0801690986691135, 5.113917280836553, 2.840859071974016, 7.548610071093527, 0.23361124572530478, 0.9752170576215029, 7.450343884528112, 3.732732464964334, 0.1735353639878756, 1.3447994981929483, 5.2511439792768, 7.384725046724894, 7.257079928362099, 7.388700439799818, 0.29784663419874846, 4.518089138381884, 2.4193928264526825, 3.622430900541886, 3.8316753147427907]","15_lag_gyreSSTjfm, 11_lag_stratZ50ndj04, 7_lag_9_median_stratZ50ndj04, 11_lag_traDP, 13_lag_traDS, 7_lag_13_median_gyreSSTjfm, 9_lag_nchinaPRjja, 7_lag_15_median_traDS, 7_lag_14_median_tripol1, 7_lag_15_median_ensoSSTjfm, 12_lag_traMC, 7_lag_8_median_nppc2SSTjfm, 7_lag_14_median_shSICmar, 7_lag_16_median_atlSICsep, 7_lag_8_median_gyreSSTjfm, 7_lag_12_median_AMOCann, 16_lag_traTLS, 14_lag_nhSICjfm, 7_lag_12_median_traFSC, 11_lag_solFORC, 7_lag_9_median_pdoSSTjfm, 16_lag_amo1, 9_lag_traEC, 7_lag_10_median_nppc3SSTjfm, 7_lag_14_median_mhfIP30, 11_lag_traEU, 7_lag_arcTSjfm, 7_lag_nchinaPRjja, 9_lag_neurTSjfm, 7_lag_16_median_traTLS_1235_7"
LRforcedPSO,3,30,traEC,slow,1517.5,2005.5,0.8,18,8,8,26.767084198554823,-0.1694391020061462,1235,"['10_lag_stratZ50ndj01', '16_lag_traDS', '8_lag_11_median_alpi', '8_lag_10_median_glomaSSTjfm', '8_lag_9_median_traBS', '17_lag_ismPRjja', '15_lag_tripol3', '16_lag_traIT', '15_lag_traEC', '14_lag_satlSSTjfm', '8_lag_14_median_shSICmar', '8_lag_11_median_neurTSjfm', '17_lag_traDS', '8_lag_AMOCann', '17_lag_amo3', '16_lag_amoSSTmjjaso', '10_lag_amoSSTmjjaso', '16_lag_neurTSjfm', '8_lag_12_median_nhSICjfm', '8_lag_16_median_shSICsep', '10_lag_glTSjfm', '8_lag_9_median_traFB', '8_lag_13_median_mhfATL60', '11_lag_traEC', '11_lag_stratZ50ndj02', '11_lag_tripol2', '8_lag_16_median_tripol2', '8_lag_14_median_pdoSSTjfm', '8_lag_16_median_arcTSjfm', '15_lag_solFORC']","[0.6907948988759784, 7.893184384359426, 8.977685434174463, 3.866829701475247, 5.1952569256882075, 7.211115649141689, 4.311575925226432, 6.350014221505269, 8.325692662266192, 2.5030652677013947, 0.3825428014867107, 5.152988326588995, 6.949432339674475, 0.11322283045924486, 2.068411869016664, 7.903496420865254, 0.04939847775318995, 1.1621276304322965, 4.461653325973183, 6.64283742710867, 5.656808911915487, 4.437000095518364, 4.1288629371094885, 4.398118341162808, 2.012351082963251, 1.5149365073610443, 4.908636157422068, 4.283996450989385, 0.1806249130110853, 5.221250656560661]","10_lag_stratZ50ndj01, 16_lag_traDS, 8_lag_11_median_alpi, 8_lag_10_median_glomaSSTjfm, 8_lag_9_median_traBS, 17_lag_ismPRjja, 15_lag_tripol3, 16_lag_traIT, 15_lag_traEC, 14_lag_satlSSTjfm, 8_lag_14_median_shSICmar, 8_lag_11_median_neurTSjfm, 17_lag_traDS, 8_lag_AMOCann, 17_lag_amo3, 16_lag_amoSSTmjjaso, 10_lag_amoSSTmjjaso, 16_lag_neurTSjfm, 8_lag_12_median_nhSICjfm, 8_lag_16_median_shSICsep, 10_lag_glTSjfm, 8_lag_9_median_traFB, 8_lag_13_median_mhfATL60, 11_lag_traEC, 11_lag_stratZ50ndj02, 11_lag_tripol2, 8_lag_16_median_tripol2, 8_lag_14_median_pdoSSTjfm, 8_lag_16_median_arcTSjfm, 15_lag_solFORC_1235_8"
LRforcedPSO,4,30,traEC,slow,1518.5,2005.5,0.8,19,9,9,43.10436690281012,-0.3046261925219806,1235,"['16_lag_amoSSTmjjaso', '12_lag_nchinaPRjja', '9_lag_10_median_satlSSTjfm', '9_lag_15_median_shTSjfm', '9_lag_16_median_eurPSLjfm', '9_lag_11_median_atlSICsep', '9_lag_16_median_traDS', '11_lag_nchinaPRjja', '17_lag_traEU', '9_lag_14_median_mhfATL30', '9_lag_14_median_traEC', '9_lag_10_median_traTLS', '9_lag_12_median_ormenSSTjfm', '10_lag_samPSLann', '12_lag_traMC', '9_lag_15_median_amo2', '9_lag_12_median_satlSSTjfm', '13_lag_traWP', '9_lag_11_median_mhfATL30', '13_lag_yrvPRjja', '18_lag_mhfIP30', '17_lag_stratZ50ndj04', '9_lag_11_median_ismPRjja', '15_lag_tripol3', '9_lag_16_median_traEC', '9_lag_16_median_labSSTjfm', '16_lag_neurTSjfm', '9_lag_14_median_mhfIP30', '12_lag_seurTSjfm', '9_lag_13_median_mhfATL45']","[8.771447186878616, 4.595018963956166, 0.8190990258892938, 8.365605387839981, 2.1567097419475196, 9.601991994052728, 3.641475003894044, 4.078364695280623, 0.8033158120264581, 1.319089102628972, 5.476390524812431, 0.4370771549264987, 1.4173155122298926, 1.5086023351243139, 1.2003109879962395, 6.857635713626968, 1.734653542543212, 2.3002607957175876, 2.4048521581958955, 5.929494476030069, 5.830207291476257, 7.4942382262440965, 3.966753845286288, 1.5257954970562775, 1.587460547840685, 3.9337869286829985, 2.3468063373883936, 8.990464270482438, 2.9184830679542717, 3.572992230974945]","16_lag_amoSSTmjjaso, 12_lag_nchinaPRjja, 9_lag_10_median_satlSSTjfm, 9_lag_15_median_shTSjfm, 9_lag_16_median_eurPSLjfm, 9_lag_11_median_atlSICsep, 9_lag_16_median_traDS, 11_lag_nchinaPRjja, 17_lag_traEU, 9_lag_14_median_mhfATL30, 9_lag_14_median_traEC, 9_lag_10_median_traTLS, 9_lag_12_median_ormenSSTjfm, 10_lag_samPSLann, 12_lag_traMC, 9_lag_15_median_amo2, 9_lag_12_median_satlSSTjfm, 13_lag_traWP, 9_lag_11_median_mhfATL30, 13_lag_yrvPRjja, 18_lag_mhfIP30, 17_lag_stratZ50ndj04, 9_lag_11_median_ismPRjja, 15_lag_tripol3, 9_lag_16_median_traEC, 9_lag_16_median_labSSTjfm, 16_lag_neurTSjfm, 9_lag_14_median_mhfIP30, 12_lag_seurTSjfm, 9_lag_13_median_mhfATL45_1235_9"
LRforcedPSO,5,30,traEC,slow,1519.5,2005.5,0.8,20,10,10,45.35209782341605,-0.24866202693504677,1235,"['10_lag_13_median_solFORC', '15_lag_traFS', '17_lag_traDS', '10_lag_traIFC', '18_lag_AMOCann', '11_lag_glomaSSTjfm', '10_lag_solFORC', '10_lag_11_median_glTSjfm', '16_lag_glomaSSTjfm', '10_lag_19_median_amo3', '10_lag_ensoSSTjfm', '10_lag_19_median_tripol2', '18_lag_wnorPRjfm', '10_lag_16_median_solFORC', '13_lag_glomaSSTjfm', '14_lag_ismPRjja', '14_lag_nhSICsep', '18_lag_traCA', '10_lag_19_median_naoPSLjfm', '10_lag_15_median_shSICmar', '12_lag_scpPSLjfm', '15_lag_tripol1', '16_lag_ginwSSTjfm', '10_lag_15_median_ormenSSTjfm', '10_lag_16_median_traCA', '17_lag_arcTSjfm', '13_lag_eapPSLjfm', '17_lag_nchinaPRjja', '10_lag_19_median_traDP', '10_lag_17_median_samPSLann']","[3.8809967192847488, 1.3052831054397664, 3.6841468285654972, 0.4853673064219741, 3.490597004817019, 2.3287782298521122, 7.27750817318169, 5.611225689505481, 0.9546237348144349, 3.404308488820151, 3.4329240816495528, 0.02002702453377303, 3.6717637342759772, 4.813775803125729, 6.818973079477786, 5.022882318831591, 3.572194295320571, 6.81546966250278, 2.194962814062955, 1.966965658247874, 3.254261684347963, 7.709868957099957, 6.206887514784936, 6.126585423102121, 0.993048292703067, 2.9305932533527326, 9.925715815421652, 1.2804360621509332, 5.113543896007846, 4.713650085461751]","10_lag_13_median_solFORC, 15_lag_traFS, 17_lag_traDS, 10_lag_traIFC, 18_lag_AMOCann, 11_lag_glomaSSTjfm, 10_lag_solFORC, 10_lag_11_median_glTSjfm, 16_lag_glomaSSTjfm, 10_lag_19_median_amo3, 10_lag_ensoSSTjfm, 10_lag_19_median_tripol2, 18_lag_wnorPRjfm, 10_lag_16_median_solFORC, 13_lag_glomaSSTjfm, 14_lag_ismPRjja, 14_lag_nhSICsep, 18_lag_traCA, 10_lag_19_median_naoPSLjfm, 10_lag_15_median_shSICmar, 12_lag_scpPSLjfm, 15_lag_tripol1, 16_lag_ginwSSTjfm, 10_lag_15_median_ormenSSTjfm, 10_lag_16_median_traCA, 17_lag_arcTSjfm, 13_lag_eapPSLjfm, 17_lag_nchinaPRjja, 10_lag_19_median_traDP, 10_lag_17_median_samPSLann_1235_10"
LRforcedPSO,6,30,traEC,slow,1520.5,2005.5,0.8,21,11,11,22.057095921687008,-0.008857303479826368,1235,"['11_lag_16_median_ginwSSTjfm', '20_lag_alpi', '11_lag_19_median_stratZ50ndj01', '11_lag_19_median_amoSSTmjjaso', '11_lag_20_median_satlSSTjfm', '11_lag_18_median_traEU', '17_lag_mhfATL30', '11_lag_traEC', '11_lag_14_median_labSSTjfm', '19_lag_shTSjfm', '17_lag_traFB', '11_lag_18_median_traCA', '11_lag_20_median_amo2', '14_lag_neurTSjfm', '15_lag_nhSICjfm', '17_lag_stratZ50ndj02', '11_lag_18_median_mhfATL45', '20_lag_seurTSjfm', '18_lag_traIT', '20_lag_samPSLann', '19_lag_traMC', '17_lag_glTSjfm', '11_lag_17_median_stratZ50ndj03', '11_lag_16_median_ismPRjja', '18_lag_stratZ50ndj03', '11_lag_12_median_arcTSjfm', '11_lag_13_median_satlSSTjfm', '11_lag_16_median_traCA', '13_lag_shSICmar', '11_lag_17_median_yrvPRjja']","[5.832027800894437, 2.191666719347449, 4.016064543405305, 6.311554613732021, 3.0372229719744626, 4.616368490913139, 0.34981045725332294, 2.308963012469343, 1.274334627962082, 0.975189892596136, 2.361149282951576, 7.067726301083248, 2.523616773299187, 3.149686277106195, 1.8612256093830926, 4.793780127852636, 1.2042670392111514, 1.7755588047593278, 3.1219574926211706, 0.4973109875807893, 2.3495286433134055, 8.239069847389471, 2.134952747532381, 7.970750045102941, 3.425728206708465, 1.914514239749625, 9.50970228057114, 8.185827081255042, 7.199280366887928, 0.8694031796644133]","11_lag_16_median_ginwSSTjfm, 20_lag_alpi, 11_lag_19_median_stratZ50ndj01, 11_lag_19_median_amoSSTmjjaso, 11_lag_20_median_satlSSTjfm, 11_lag_18_median_traEU, 17_lag_mhfATL30, 11_lag_traEC, 11_lag_14_median_labSSTjfm, 19_lag_shTSjfm, 17_lag_traFB, 11_lag_18_median_traCA, 11_lag_20_median_amo2, 14_lag_neurTSjfm, 15_lag_nhSICjfm, 17_lag_stratZ50ndj02, 11_lag_18_median_mhfATL45, 20_lag_seurTSjfm, 18_lag_traIT, 20_lag_samPSLann, 19_lag_traMC, 17_lag_glTSjfm, 11_lag_17_median_stratZ50ndj03, 11_lag_16_median_ismPRjja, 18_lag_stratZ50ndj03, 11_lag_12_median_arcTSjfm, 11_lag_13_median_satlSSTjfm, 11_lag_16_median_traCA, 13_lag_shSICmar, 11_lag_17_median_yrvPRjja_1235_11"
LRforcedPSO,7,30,traEC,slow,1521.5,2005.5,0.8,22,12,12,20.16898385550604,0.07577719168263271,1235,"['12_lag_18_median_atlSICsep', '12_lag_20_median_mhfIP30', '12_lag_15_median_amo3', '12_lag_19_median_ormenSSTjfm', '15_lag_scpPSLjfm', '12_lag_19_median_traFB', '12_lag_16_median_ormenSSTjfm', '12_lag_15_median_satlSSTjfm', '12_lag_14_median_glomaSSTjfm', '12_lag_17_median_amo3', '18_lag_tripol3', '12_lag_21_median_shTSjfm', '12_lag_13_median_traTLS', '12_lag_19_median_shSICmar', '12_lag_16_median_naoPSLjfm', '20_lag_samPSLann', '12_lag_19_median_nppc2SSTjfm', '18_lag_atlSICjfm', '12_lag_16_median_tripol3', '20_lag_mhfATL30', '12_lag_19_median_amo3', '12_lag_14_median_tripol3', '12_lag_18_median_traBO', '13_lag_seurTSjfm', '14_lag_scpPSLjfm', '12_lag_13_median_amoSSTmjjaso', '12_lag_17_median_naoPSLjfm', '12_lag_20_median_traEC', '12_lag_17_median_solFORC', '12_lag_21_median_traMC']","[4.047065914653027, 3.689268103359833, 1.7494583260813847, 7.764450060487498, 0.6271382271898585, 0.5438364549775478, 2.106343557322907, 5.355032559412916, 1.9435422762515415, 0.8621956823090997, 7.8586773246140895, 5.697967065874996, 5.55666927899644, 1.0800263097232055, 3.04630759631301, 1.8078614849706032, 2.2144824210442344, 0.7301226661864568, 2.8617491913600706, 9.676767324709516, 1.6976121063594967, 4.237119195443717, 8.44619613685689, 4.27974738222211, 2.180994010995459, 4.177801248798674, 6.148062579728433, 3.448001523184243, 8.675146138729104, 1.1663973593923078]","12_lag_18_median_atlSICsep, 12_lag_20_median_mhfIP30, 12_lag_15_median_amo3, 12_lag_19_median_ormenSSTjfm, 15_lag_scpPSLjfm, 12_lag_19_median_traFB, 12_lag_16_median_ormenSSTjfm, 12_lag_15_median_satlSSTjfm, 12_lag_14_median_glomaSSTjfm, 12_lag_17_median_amo3, 18_lag_tripol3, 12_lag_21_median_shTSjfm, 12_lag_13_median_traTLS, 12_lag_19_median_shSICmar, 12_lag_16_median_naoPSLjfm, 20_lag_samPSLann, 12_lag_19_median_nppc2SSTjfm, 18_lag_atlSICjfm, 12_lag_16_median_tripol3, 20_lag_mhfATL30, 12_lag_19_median_amo3, 12_lag_14_median_tripol3, 12_lag_18_median_traBO, 13_lag_seurTSjfm, 14_lag_scpPSLjfm, 12_lag_13_median_amoSSTmjjaso, 12_lag_17_median_naoPSLjfm, 12_lag_20_median_traEC, 12_lag_17_median_solFORC, 12_lag_21_median_traMC_1235_12"
LRforcedPSO,8,30,traEC,slow,1522.5,2005.5,0.8,23,13,13,23.5443797261282,-0.12629458425110845,1235,"['13_lag_16_median_traIFC', '19_lag_ensoSSTjfm', '15_lag_tripol2', '14_lag_traEU', '16_lag_eurPSLjfm', '13_lag_17_median_nppc2SSTjfm', '13_lag_16_median_amo3', '18_lag_eurPSLjfm', '15_lag_glTSjfm', '19_lag_amoSSTmjjaso', '13_lag_14_median_shSICmar', '13_lag_17_median_traFSC', '17_lag_stratZ50ndj03', '13_lag_17_median_mhfATL30', '15_lag_wnorPRjfm', '18_lag_traBS', '13_lag_21_median_shTSjfm', '13_lag_15_median_neurTSjfm', '13_lag_22_median_nhTSjfm', '13_lag_alpi', '14_lag_gyreSSTjfm', '13_lag_22_median_nppc3SSTjfm', '14_lag_traFSC', '13_lag_17_median_nchinaPRjja', '22_lag_mhfATL45', '19_lag_solFORC', '13_lag_19_median_eurPSLjfm', '22_lag_amo3', '13_lag_14_median_traMC', '13_lag_15_median_AMOCann']","[3.9207118830666676, 3.785572805735537, 1.8353637293560467, 4.968450996058622, 5.597275104648755, 4.686206240883637, 5.8660560834014355, 5.362819522976407, 7.3059891532966015, 7.1911284686195955, 3.9035477549764757, 8.834816377971427, 3.2884164079874694, 7.159736636223386, 6.6119748512697285, 3.5859116770769894, 5.719636702038866, 9.558158841310071, 1.1485992623921089, 2.1012106872668053, 0.8123851435675782, 2.1215873439835615, 9.667865965049547, 2.3836081496996506, 5.181347476698175, 4.92330043429317, 2.8093578446729666, 3.7622063151611718, 1.390780614638187, 1.1912234754164537]","13_lag_16_median_traIFC, 19_lag_ensoSSTjfm, 15_lag_tripol2, 14_lag_traEU, 16_lag_eurPSLjfm, 13_lag_17_median_nppc2SSTjfm, 13_lag_16_median_amo3, 18_lag_eurPSLjfm, 15_lag_glTSjfm, 19_lag_amoSSTmjjaso, 13_lag_14_median_shSICmar, 13_lag_17_median_traFSC, 17_lag_stratZ50ndj03, 13_lag_17_median_mhfATL30, 15_lag_wnorPRjfm, 18_lag_traBS, 13_lag_21_median_shTSjfm, 13_lag_15_median_neurTSjfm, 13_lag_22_median_nhTSjfm, 13_lag_alpi, 14_lag_gyreSSTjfm, 13_lag_22_median_nppc3SSTjfm, 14_lag_traFSC, 13_lag_17_median_nchinaPRjja, 22_lag_mhfATL45, 19_lag_solFORC, 13_lag_19_median_eurPSLjfm, 22_lag_amo3, 13_lag_14_median_traMC, 13_lag_15_median_AMOCann_1235_13"
LRforcedPSO,9,30,traEC,slow,1523.5,2005.5,0.8,24,14,14,32.59923158572771,-0.04140683930081447,1235,"['14_lag_15_median_tripol1', '19_lag_nhSICsep', '17_lag_stratZ50ndj03', '20_lag_amo3', '16_lag_traMC', '14_lag_19_median_traFS', '15_lag_nppc2SSTjfm', '14_lag_stratZ50ndj03', '23_lag_traTLS', '14_lag_22_median_amo2', '20_lag_traFB', '22_lag_seurTSjfm', '14_lag_22_median_arcTSjfm', '16_lag_traIFC', '14_lag_19_median_traDS', '16_lag_traIT', '14_lag_23_median_stratZ50ndj03', '18_lag_ginwSSTjfm', '15_lag_amo2', '15_lag_pdoSSTjfm', '14_lag_20_median_samPSLann', '14_lag_21_median_shTSjfm', '14_lag_17_median_eapPSLjfm', '19_lag_eurPSLjfm', '14_lag_21_median_AMOCann', '14_lag_23_median_neurTSjfm', '14_lag_21_median_traEC', '16_lag_cetTSjfm', '21_lag_shTSjfm', '14_lag_cetTSjfm']","[0.3271662281237724, 6.279044054754525, 1.7661733583173493, 4.3036696682664815, 3.351572166308758, 6.976623948596323, 2.7293296113529175, 4.600757132625722, 0.11020688791066391, 7.386523852834024, 2.0291567125673975, 2.4548298845274763, 6.707864478453342, 1.102284228680281, 6.446217336499885, 1.788839117663695, 0.3073819389733483, 2.601918924988107, 7.351690819589194, 2.6625745625473973, 8.924389596603392, 7.014912519987579, 6.259813117076391, 9.871315449585296, 1.0851342175138061, 3.2018936779460017, 1.8692567090468177, 3.765589785800209, 0.782518995661384, 1.0129452667277388]","14_lag_15_median_tripol1, 19_lag_nhSICsep, 17_lag_stratZ50ndj03, 20_lag_amo3, 16_lag_traMC, 14_lag_19_median_traFS, 15_lag_nppc2SSTjfm, 14_lag_stratZ50ndj03, 23_lag_traTLS, 14_lag_22_median_amo2, 20_lag_traFB, 22_lag_seurTSjfm, 14_lag_22_median_arcTSjfm, 16_lag_traIFC, 14_lag_19_median_traDS, 16_lag_traIT, 14_lag_23_median_stratZ50ndj03, 18_lag_ginwSSTjfm, 15_lag_amo2, 15_lag_pdoSSTjfm, 14_lag_20_median_samPSLann, 14_lag_21_median_shTSjfm, 14_lag_17_median_eapPSLjfm, 19_lag_eurPSLjfm, 14_lag_21_median_AMOCann, 14_lag_23_median_neurTSjfm, 14_lag_21_median_traEC, 16_lag_cetTSjfm, 21_lag_shTSjfm, 14_lag_cetTSjfm_1235_14"
