model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traEC,slow,1514.5,2005.5,0.8,15,1,1,14.14262556128309,-0.0016433125333564884,1755,"['12_lag_eurPSLjfm', '5_lag_stratZ50ndj04', '1_lag_traMC', '9_lag_stratZ50ndj03', '8_lag_traMC', '8_lag_ginwSSTjfm']","[0.004083494827944104, 0.15641167928726507, 0.21813036806512287, 0.10478693465199182, 0.2002499293150811, 0.11355829420854976]","12_lag_eurPSLjfm, 5_lag_stratZ50ndj04, 1_lag_traMC, 9_lag_stratZ50ndj03, 8_lag_traMC, 8_lag_ginwSSTjfm_1755_1"
LinearRegression,1,6,traEC,slow,1515.5,2005.5,0.8,16,1,1,14.484898554592469,-0.03199245684213585,1885,"['10_lag_stratZ50ndj01', '5_lag_stratZ50ndj04', '9_lag_stratZ50ndj03', '8_lag_traMC', '8_lag_ginwSSTjfm', '1_lag_traMC']","[0.09855037527119957, 0.154359773720306, 0.1049370583313169, 0.21087692875605707, 0.10716988078983936, 0.21076677510873804]","10_lag_stratZ50ndj01, 5_lag_stratZ50ndj04, 9_lag_stratZ50ndj03, 8_lag_traMC, 8_lag_ginwSSTjfm, 1_lag_traMC_1885_1"
LinearRegression,2,6,traEC,slow,1516.5,2005.5,0.8,17,1,1,13.70018906653863,0.02624703929918002,2015,"['11_lag_seurTSjfm', '5_lag_stratZ50ndj04', '9_lag_stratZ50ndj03', '8_lag_traMC', '8_lag_ginwSSTjfm', '1_lag_traMC']","[0.09537861281452233, 0.14661913712719996, 0.11819241751097585, 0.21145739933452498, 0.10715305050867653, 0.22165816923376175]","11_lag_seurTSjfm, 5_lag_stratZ50ndj04, 9_lag_stratZ50ndj03, 8_lag_traMC, 8_lag_ginwSSTjfm, 1_lag_traMC_2015_1"
LinearRegression,3,6,traEC,slow,1517.5,2005.5,0.8,18,1,1,13.623310552306537,0.011804583780577301,2145,"['6_lag_stratZ50ndj01', '9_lag_stratZ50ndj03', '10_lag_stratZ50ndj01', '8_lag_traMC', '1_lag_traMC', '8_lag_ginwSSTjfm']","[0.015153431205642671, 0.10200103476835598, 0.09943233560399584, 0.23783328468973497, 0.21400786942507813, 0.09133104828275314]","6_lag_stratZ50ndj01, 9_lag_stratZ50ndj03, 10_lag_stratZ50ndj01, 8_lag_traMC, 1_lag_traMC, 8_lag_ginwSSTjfm_2145_1"
LinearRegression,4,6,traEC,slow,1518.5,2005.5,0.8,19,1,1,12.898708740787862,0.11886201663006915,2275,"['9_lag_stratZ50ndj03', '17_lag_alpi', '18_lag_alpi', '8_lag_traMC', '8_lag_ginwSSTjfm', '1_lag_traMC']","[0.09203723984293201, 0.0492944159279044, 0.06817995949271309, 0.22657626319493257, 0.10386701232229079, 0.21832312951783547]","9_lag_stratZ50ndj03, 17_lag_alpi, 18_lag_alpi, 8_lag_traMC, 8_lag_ginwSSTjfm, 1_lag_traMC_2275_1"
LinearRegression,5,6,traEC,slow,1519.5,2005.5,0.8,20,1,1,12.896322568996897,0.1195283594390937,2405,"['18_lag_alpi', '8_lag_traMC', '17_lag_alpi', '9_lag_stratZ50ndj03', '8_lag_ginwSSTjfm', '1_lag_traMC']","[0.06962202872436304, 0.2282049843300951, 0.04813464836020734, 0.09217198534778692, 0.10439283256689029, 0.21777406799944415]","18_lag_alpi, 8_lag_traMC, 17_lag_alpi, 9_lag_stratZ50ndj03, 8_lag_ginwSSTjfm, 1_lag_traMC_2405_1"
LinearRegression,6,6,traEC,slow,1520.5,2005.5,0.8,21,1,1,13.526441758500512,0.0556449220583653,2535,"['9_lag_stratZ50ndj03', '20_lag_traMC', '8_lag_traMC', '20_lag_eurPSLjfm', '8_lag_ginwSSTjfm', '1_lag_traMC']","[0.10346845817985371, 0.11227935932299075, 0.2260519103440773, 0.0831928708847634, 0.09757600739067594, 0.2129689844838629]","9_lag_stratZ50ndj03, 20_lag_traMC, 8_lag_traMC, 20_lag_eurPSLjfm, 8_lag_ginwSSTjfm, 1_lag_traMC_2535_1"
LinearRegression,7,6,traEC,slow,1521.5,2005.5,0.8,22,2,8,12.879983249981288,0.08994665952807236,2535,"['21_lag_nppc2SSTjfm', '20_lag_eurPSLjfm', '20_lag_traMC', '8_lag_ginwSSTjfm', '8_lag_traMC', '18_lag_alpi']","[0.041568866847006315, 0.0659032138666479, 0.12418308152456478, 0.12063302965366683, 0.2295469681325983, 0.07610765436580635]","21_lag_nppc2SSTjfm, 20_lag_eurPSLjfm, 20_lag_traMC, 8_lag_ginwSSTjfm, 8_lag_traMC, 18_lag_alpi_2535_8"
LinearRegression,8,6,traEC,slow,1522.5,2005.5,0.8,23,3,6,12.42019748678179,0.0687578877671224,2535,"['22_lag_shSICsep', '16_lag_scpPSLjfm', '6_lag_traWP', '8_lag_ginwSSTjfm', '18_lag_alpi', '20_lag_eurPSLjfm']","[0.12506241538515026, 0.00766821085841788, 0.04905780387672294, 0.1345999360035175, 0.071837996772692, 0.048793078645931146]","22_lag_shSICsep, 16_lag_scpPSLjfm, 6_lag_traWP, 8_lag_ginwSSTjfm, 18_lag_alpi, 20_lag_eurPSLjfm_2535_6"
LinearRegression,9,6,traEC,slow,1523.5,2005.5,0.8,24,4,10,12.398010505930293,0.08585337207272693,2535,"['10_lag_traEC', '20_lag_alpi', '15_lag_seurTSjfm', '16_lag_scpPSLjfm', '18_lag_alpi', '20_lag_eurPSLjfm']","[0.10876194980120683, 0.0786621903893782, 0.04977733731146263, 0.025757535582738144, 0.06288760250740863, 0.04115184630888277]","10_lag_traEC, 20_lag_alpi, 15_lag_seurTSjfm, 16_lag_scpPSLjfm, 18_lag_alpi, 20_lag_eurPSLjfm_2535_10"
