model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
RandomForestRegressor,0,6,traEC,slow,866.5,2005.5,0.4,15,5,5,13.689575100386271,0.0252666242555044,1235,"['12_lag_stratZ50ndj04', '5_lag_7_median_traTLS', '5_lag_7_median_ensoSSTjfm', '9_lag_stratZ50ndj04', '5_lag_glTSjfm', '7_lag_ormenSSTjfm']","[0.16416507027860242, 0.1624114785934445, 0.17326263727595023, 0.16527014237211726, 0.16094949370955328, 0.17394117777033238]","12_lag_stratZ50ndj04, 5_lag_7_median_traTLS, 5_lag_7_median_ensoSSTjfm, 9_lag_stratZ50ndj04, 5_lag_glTSjfm, 7_lag_ormenSSTjfm_1235_5"
RandomForestRegressor,1,6,traEC,slow,867.5,2005.5,0.4,16,6,6,13.685680284301153,0.005428782794060007,1235,"['15_lag_nchinaPRjja', '9_lag_stratZ50ndj04', '12_lag_stratZ50ndj04', '7_lag_ormenSSTjfm', '6_lag_7_median_ormenSSTjfm', '15_lag_arcTSjfm']","[0.17551002968756566, 0.19233761739429328, 0.2101859942300711, 0.10734700989161201, 0.098513463697897, 0.21610588509856093]","15_lag_nchinaPRjja, 9_lag_stratZ50ndj04, 12_lag_stratZ50ndj04, 7_lag_ormenSSTjfm, 6_lag_7_median_ormenSSTjfm, 15_lag_arcTSjfm_1235_6"
RandomForestRegressor,2,6,traEC,slow,868.5,2005.5,0.4,17,7,7,13.586980851703185,0.029749903828420986,1235,"['7_lag_traIT', '9_lag_stratZ50ndj04', '15_lag_nchinaPRjja', '12_lag_stratZ50ndj04', '15_lag_arcTSjfm', '7_lag_ormenSSTjfm']","[0.16668584507423906, 0.165248596596244, 0.15293439989063065, 0.16830225425679948, 0.17962402375872635, 0.16720488042336054]","7_lag_traIT, 9_lag_stratZ50ndj04, 15_lag_nchinaPRjja, 12_lag_stratZ50ndj04, 15_lag_arcTSjfm, 7_lag_ormenSSTjfm_1235_7"
RandomForestRegressor,3,6,traEC,slow,869.5,2005.5,0.4,18,8,10,13.498651992707263,-0.0014688050623530525,1235,"['10_lag_nppc2SSTjfm', '15_lag_nhSICjfm', '14_lag_atlSICjfm', '12_lag_stratZ50ndj04', '15_lag_nchinaPRjja', '15_lag_arcTSjfm']","[0.15314166378768393, 0.15615119225524282, 0.1799240230771619, 0.1703940337067863, 0.15448893721017698, 0.18590014996294812]","10_lag_nppc2SSTjfm, 15_lag_nhSICjfm, 14_lag_atlSICjfm, 12_lag_stratZ50ndj04, 15_lag_nchinaPRjja, 15_lag_arcTSjfm_1235_10"
RandomForestRegressor,4,6,traEC,slow,870.5,2005.5,0.4,19,9,9,13.49056630574068,0.003197703957113441,1235,"['18_lag_shSICsep', '18_lag_mhfATL60', '9_lag_stratZ50ndj04', '12_lag_stratZ50ndj04', '15_lag_nchinaPRjja', '15_lag_arcTSjfm']","[0.16658442447515154, 0.16908502415608853, 0.1536854540796383, 0.1630459261859899, 0.1623147636654357, 0.18528440743769597]","18_lag_shSICsep, 18_lag_mhfATL60, 9_lag_stratZ50ndj04, 12_lag_stratZ50ndj04, 15_lag_nchinaPRjja, 15_lag_arcTSjfm_1235_9"
RandomForestRegressor,5,6,traEC,slow,871.5,2005.5,0.4,20,10,10,13.643088586788668,-0.008659383280916047,1235,"['10_lag_15_median_traIFC', '18_lag_shSICsep', '18_lag_mhfATL60', '12_lag_stratZ50ndj04', '15_lag_nchinaPRjja', '15_lag_arcTSjfm']","[0.14632496656123375, 0.17069750522716529, 0.17078499120596835, 0.1593277667801252, 0.159921833836008, 0.19294293638949947]","10_lag_15_median_traIFC, 18_lag_shSICsep, 18_lag_mhfATL60, 12_lag_stratZ50ndj04, 15_lag_nchinaPRjja, 15_lag_arcTSjfm_1235_10"
RandomForestRegressor,6,6,traEC,slow,872.5,2005.5,0.4,21,11,11,13.69566454401447,0.015154138194214326,1235,"['12_lag_stratZ50ndj04', '18_lag_shSICsep', '18_lag_mhfATL60', '15_lag_nchinaPRjja', '11_lag_13_median_amo1', '15_lag_arcTSjfm']","[0.15814947084927192, 0.15633013785433503, 0.17188629887391083, 0.16753114721218293, 0.16734023683128713, 0.17876270837901231]","12_lag_stratZ50ndj04, 18_lag_shSICsep, 18_lag_mhfATL60, 15_lag_nchinaPRjja, 11_lag_13_median_amo1, 15_lag_arcTSjfm_1235_11"
RandomForestRegressor,7,6,traEC,slow,873.5,2005.5,0.4,22,12,12,13.991865388281148,0.02628356522243366,1235,"['18_lag_shSICsep', '12_lag_20_median_amo2', '15_lag_nchinaPRjja', '18_lag_mhfATL60', '15_lag_arcTSjfm', '12_lag_stratZ50ndj04']","[0.1676723532932117, 0.1578329256589926, 0.15947257422037625, 0.15895414830944912, 0.19133022530948482, 0.16473777320848557]","18_lag_shSICsep, 12_lag_20_median_amo2, 15_lag_nchinaPRjja, 18_lag_mhfATL60, 15_lag_arcTSjfm, 12_lag_stratZ50ndj04_1235_12"
RandomForestRegressor,8,6,traEC,slow,874.5,2005.5,0.4,23,13,13,13.733203205747197,-0.029988961365391722,1235,"['13_lag_15_median_amo1', '13_lag_amo1', '18_lag_shSICsep', '15_lag_arcTSjfm', '18_lag_mhfATL60', '15_lag_nchinaPRjja']","[0.17066524520116505, 0.1464932024643134, 0.1678196210319199, 0.19054336823267792, 0.1670885704038257, 0.15738999266609793]","13_lag_15_median_amo1, 13_lag_amo1, 18_lag_shSICsep, 15_lag_arcTSjfm, 18_lag_mhfATL60, 15_lag_nchinaPRjja_1235_13"
RandomForestRegressor,9,6,traEC,slow,875.5,2005.5,0.4,24,14,14,13.797108935173577,-0.01996068272987193,1235,"['15_lag_arcTSjfm', '14_lag_15_median_arcTSjfm', '18_lag_shSICsep', '14_lag_16_median_arcTSjfm', '14_lag_18_median_shSICmar', '18_lag_mhfATL60']","[0.10351206672841035, 0.09534552750611205, 0.19491891438824527, 0.20637727171980366, 0.18319259728100107, 0.21665362237642755]","15_lag_arcTSjfm, 14_lag_15_median_arcTSjfm, 18_lag_shSICsep, 14_lag_16_median_arcTSjfm, 14_lag_18_median_shSICmar, 18_lag_mhfATL60_1235_14"
RandomForestRegressor,10,6,traEC,slow,876.5,2005.5,0.4,25,15,15,13.657879100095576,0.000282335061367031,1235,"['18_lag_shSICsep', '15_lag_nhSICjfm', '15_lag_nchinaPRjja', '18_lag_mhfATL60', '15_lag_17_median_satlSSTjfm', '15_lag_arcTSjfm']","[0.16691962989624745, 0.16806222991169623, 0.1572194711944692, 0.16922060834023445, 0.16498290661956258, 0.17359515403779008]","18_lag_shSICsep, 15_lag_nhSICjfm, 15_lag_nchinaPRjja, 18_lag_mhfATL60, 15_lag_17_median_satlSSTjfm, 15_lag_arcTSjfm_1235_15"
