model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traEU,slow,1514.5,2005.5,0.6,15,1,1,13.693004093807335,0.1707072418444583,1755,"['6_lag_traFSC', '1_lag_11_median_pdoSSTjfm', '1_lag_11_median_traDS', '1_lag_3_median_nhTSjfm', '1_lag_11_median_nhSICjfm', '1_lag_8_median_samPSLann', '1_lag_2_median_alpi', '11_lag_eurPSLjfm', '13_lag_ensoSSTjfm', '1_lag_9_median_mhfATL60']","[3.0301396816574506, 2.215890770190372, 2.23793496569675, 0.40800524400749083, 0.2267674983818111, 1.180779853297519, 0.38051767690531335, 1.0177650658959347, 1.573386299971805, 7.470134471772024]","6_lag_traFSC, 1_lag_11_median_pdoSSTjfm, 1_lag_11_median_traDS, 1_lag_3_median_nhTSjfm, 1_lag_11_median_nhSICjfm, 1_lag_8_median_samPSLann, 1_lag_2_median_alpi, 11_lag_eurPSLjfm, 13_lag_ensoSSTjfm, 1_lag_9_median_mhfATL60_1755_1"
LRforcedPSO,1,10,traEU,slow,1515.5,2005.5,0.6,16,1,1,27.25821835999867,0.12063045173846296,1885,"['1_lag_15_median_shSICsep', '2_lag_seurTSjfm', '12_lag_traFS', '1_lag_9_median_nhSICsep', '10_lag_mhfATL45', '1_lag_glomaSSTjfm', '1_lag_8_median_traEC', '1_lag_15_median_tripol3', '1_lag_13_median_amo3', '1_lag_11_median_traDP']","[6.925839426581428, 2.480878074403689, 4.981057829646955, 4.6792021113289, 6.95361697109648, 0.27508860020312653, 2.574006591585613, 3.6488500225919545, 6.009795094192281, 2.662700869064432]","1_lag_15_median_shSICsep, 2_lag_seurTSjfm, 12_lag_traFS, 1_lag_9_median_nhSICsep, 10_lag_mhfATL45, 1_lag_glomaSSTjfm, 1_lag_8_median_traEC, 1_lag_15_median_tripol3, 1_lag_13_median_amo3, 1_lag_11_median_traDP_1885_1"
LRforcedPSO,2,10,traEU,slow,1516.5,2005.5,0.6,17,1,1,16.69731018531014,-0.06468820519695753,2015,"['1_lag_9_median_scpPSLjfm', '1_lag_12_median_atlSICsep', '6_lag_seurTSjfm', '1_lag_14_median_traIFC', '1_lag_7_median_traWP', '1_lag_2_median_labSSTjfm', '15_lag_cetTSjfm', '8_lag_traTLS', '11_lag_solFORC', '2_lag_atlSICjfm']","[4.760803804259453, 2.420876044680133, 4.132868578905121, 0.22544513172741532, 0.8609724230237283, 2.423624428721201, 3.0539527163263376, 2.5606282870641888, 2.6597779311224024, 4.0085618250464154]","1_lag_9_median_scpPSLjfm, 1_lag_12_median_atlSICsep, 6_lag_seurTSjfm, 1_lag_14_median_traIFC, 1_lag_7_median_traWP, 1_lag_2_median_labSSTjfm, 15_lag_cetTSjfm, 8_lag_traTLS, 11_lag_solFORC, 2_lag_atlSICjfm_2015_1"
LRforcedPSO,3,10,traEU,slow,1517.5,2005.5,0.6,18,1,1,14.737269251426232,-0.11714070763039161,2145,"['7_lag_solFORC', '16_lag_AMOCann', '1_lag_12_median_mhfATL45', '1_lag_3_median_arcTSjfm', '2_lag_traDS', '1_lag_8_median_pdoSSTjfm', '4_lag_nppc2SSTjfm', '11_lag_tripol2', '11_lag_mhfATL45', '1_lag_solFORC']","[3.5405018311029472, 4.146024475857497, 0.4424502503475285, 1.0414321310839707, 2.758812722706299, 0.17546350065446958, 1.5141679208956997, 1.2421714531054402, 1.6473613049300262, 7.36789383784755]","7_lag_solFORC, 16_lag_AMOCann, 1_lag_12_median_mhfATL45, 1_lag_3_median_arcTSjfm, 2_lag_traDS, 1_lag_8_median_pdoSSTjfm, 4_lag_nppc2SSTjfm, 11_lag_tripol2, 11_lag_mhfATL45, 1_lag_solFORC_2145_1"
LRforcedPSO,4,10,traEU,slow,1518.5,2005.5,0.6,19,1,1,15.59546204994669,0.17033438676004228,2275,"['10_lag_yrvPRjja', '1_lag_3_median_traIFC', '1_lag_14_median_wnorPRjfm', '3_lag_stratZ50ndj03', '1_lag_5_median_traTLS', '11_lag_tripol2', '1_lag_17_median_traCA', '1_lag_14_median_naoPSLjfm', '7_lag_nhTSjfm', '8_lag_stratZ50ndj01']","[0.576466811230631, 0.8572457544398162, 5.489219904646669, 3.193685755463777, 4.4231097109140585, 3.1375050535554916, 0.11525837179665999, 2.2670500901150064, 4.4044262286181235, 6.891630558953107]","10_lag_yrvPRjja, 1_lag_3_median_traIFC, 1_lag_14_median_wnorPRjfm, 3_lag_stratZ50ndj03, 1_lag_5_median_traTLS, 11_lag_tripol2, 1_lag_17_median_traCA, 1_lag_14_median_naoPSLjfm, 7_lag_nhTSjfm, 8_lag_stratZ50ndj01_2275_1"
LRforcedPSO,5,10,traEU,slow,1519.5,2005.5,0.6,20,1,1,16.944373159185172,-0.011277345929858249,2405,"['1_lag_11_median_ginwSSTjfm', '17_lag_solFORC', '15_lag_traFB', '10_lag_traTLS', '16_lag_mhfATL30', '1_lag_gyreSSTjfm', '1_lag_13_median_traMC', '6_lag_gyreSSTjfm', '17_lag_nhSICjfm', '7_lag_naoPSLjfm']","[5.082431741946083, 1.608357792236637, 0.8832060547021783, 0.2220565992804815, 5.6639724046593205, 0.23361778100429476, 2.675326504526348, 4.165248149213561, 0.44689382536151356, 4.938289292260258]","1_lag_11_median_ginwSSTjfm, 17_lag_solFORC, 15_lag_traFB, 10_lag_traTLS, 16_lag_mhfATL30, 1_lag_gyreSSTjfm, 1_lag_13_median_traMC, 6_lag_gyreSSTjfm, 17_lag_nhSICjfm, 7_lag_naoPSLjfm_2405_1"
LRforcedPSO,6,10,traEU,slow,1520.5,2005.5,0.6,21,1,1,18.513597826313248,0.060535568611196106,2535,"['1_lag_10_median_nhSICjfm', '1_lag_19_median_traEU', '8_lag_traIFC', '1_lag_9_median_stratZ50ndj01', '12_lag_AMOCann', '1_lag_20_median_nhTSjfm', '1_lag_5_median_ismPRjja', '4_lag_tripol3', '1_lag_3_median_amo3', '15_lag_traDP']","[7.412002302820884, 0.9937389515113733, 2.979485751373449, 0.4555595298601176, 1.706725175253819, 0.7204482660230376, 7.265747627386496, 3.36469413790609, 5.115079980848673, 7.244798159140222]","1_lag_10_median_nhSICjfm, 1_lag_19_median_traEU, 8_lag_traIFC, 1_lag_9_median_stratZ50ndj01, 12_lag_AMOCann, 1_lag_20_median_nhTSjfm, 1_lag_5_median_ismPRjja, 4_lag_tripol3, 1_lag_3_median_amo3, 15_lag_traDP_2535_1"
LRforcedPSO,7,10,traEU,slow,1521.5,2005.5,0.6,22,1,1,17.805805776289294,0.05192179771145049,2665,"['1_lag_21_median_traFSC', '16_lag_tripol2', '1_lag_8_median_shSICmar', '5_lag_traBS', '2_lag_pdoSSTjfm', '1_lag_13_median_shSICmar', '1_lag_5_median_ginwSSTjfm', '1_lag_8_median_AMOCann', '1_lag_6_median_nchinaPRjja', '5_lag_traDP']","[3.10650731017033, 0.5771727128388449, 0.5201339920336387, 0.24461843708948194, 4.438496761075208, 1.081591324393285, 6.106316392219771, 3.5789329099200717, 3.5096757003267136, 8.09032112812668]","1_lag_21_median_traFSC, 16_lag_tripol2, 1_lag_8_median_shSICmar, 5_lag_traBS, 2_lag_pdoSSTjfm, 1_lag_13_median_shSICmar, 1_lag_5_median_ginwSSTjfm, 1_lag_8_median_AMOCann, 1_lag_6_median_nchinaPRjja, 5_lag_traDP_2665_1"
LRforcedPSO,8,10,traEU,slow,1522.5,2005.5,0.6,23,1,1,16.48217970620927,0.022740647867257067,2795,"['5_lag_traMC', '1_lag_12_median_traEC', '21_lag_traIFC', '17_lag_glomaSSTjfm', '8_lag_traBO', '20_lag_amo1', '1_lag_7_median_alpi', '1_lag_11_median_alpi', '4_lag_stratZ50ndj03', '12_lag_shSICsep']","[5.15485281039404, 2.5058339107937204, 0.5598745408704247, 2.560985482714335, 1.8071626224523225, 2.612685749423189, 5.07668434618608, 0.3186826109967491, 2.457225513502788, 2.2369508659253734]","5_lag_traMC, 1_lag_12_median_traEC, 21_lag_traIFC, 17_lag_glomaSSTjfm, 8_lag_traBO, 20_lag_amo1, 1_lag_7_median_alpi, 1_lag_11_median_alpi, 4_lag_stratZ50ndj03, 12_lag_shSICsep_2795_1"
LRforcedPSO,9,10,traEU,slow,1523.5,2005.5,0.6,24,1,1,20.770488465009105,-0.06237183392220214,2925,"['1_lag_4_median_glomaSSTjfm', '1_lag_12_median_labSSTjfm', '1_lag_6_median_atlSICjfm', '21_lag_stratZ50ndj02', '1_lag_18_median_glomaSSTjfm', '1_lag_21_median_stratZ50ndj01', '1_lag_22_median_traWP', '14_lag_wnorPRjfm', '1_lag_3_median_shSICsep', '1_lag_16_median_traMC']","[8.636844860861778, 8.674620401896298, 2.125094299636901, 1.9900196690121241, 8.1093822692259, 3.3236374134101716, 7.099235393739715, 0.45034498443568616, 3.2061708808574547, 3.7189712636580152]","1_lag_4_median_glomaSSTjfm, 1_lag_12_median_labSSTjfm, 1_lag_6_median_atlSICjfm, 21_lag_stratZ50ndj02, 1_lag_18_median_glomaSSTjfm, 1_lag_21_median_stratZ50ndj01, 1_lag_22_median_traWP, 14_lag_wnorPRjfm, 1_lag_3_median_shSICsep, 1_lag_16_median_traMC_2925_1"
