model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,10,traFB,slow,1514.5,2005.5,0.8,15,1,1,15.441281497909666,0.4051699367072089,1755,"['14_lag_atlSICsep', '14_lag_naoPSLjfm', '1_lag_9_median_traBO', '8_lag_traCA', '8_lag_nppc2SSTjfm', '5_lag_arcTSjfm', '1_lag_3_median_traFB', '1_lag_9_median_gyreSSTjfm', '2_lag_stratZ50ndj04', '7_lag_ismPRjja']","[1.8618000335414742, 2.0418072673116257, 2.1914062080950742, 2.405123338017619, 2.0431228673735653, 7.926299114868063, 2.3158893329753756, 7.216541683909988, 0.20921416656846148, 2.820407520270538]","14_lag_atlSICsep, 14_lag_naoPSLjfm, 1_lag_9_median_traBO, 8_lag_traCA, 8_lag_nppc2SSTjfm, 5_lag_arcTSjfm, 1_lag_3_median_traFB, 1_lag_9_median_gyreSSTjfm, 2_lag_stratZ50ndj04, 7_lag_ismPRjja_1755_1"
LRforcedPSO,1,10,traFB,slow,1515.5,2005.5,0.8,16,1,1,47.13857912080409,-0.4717004067244669,1885,"['7_lag_eapPSLjfm', '11_lag_mhfATL60', '1_lag_13_median_traFSC', '13_lag_eurPSLjfm', '1_lag_7_median_glTSjfm', '13_lag_traTLS', '10_lag_traEU', '1_lag_14_median_arcTSjfm', '1_lag_satlSSTjfm', '4_lag_amoSSTmjjaso']","[1.1950364793676567, 3.692847635801634, 1.9261418341606351, 1.0363139415006035, 0.7210678857475923, 2.276008805430884, 3.5124875944172, 4.733964970478295, 6.998513822666304, 4.291010186075518]","7_lag_eapPSLjfm, 11_lag_mhfATL60, 1_lag_13_median_traFSC, 13_lag_eurPSLjfm, 1_lag_7_median_glTSjfm, 13_lag_traTLS, 10_lag_traEU, 1_lag_14_median_arcTSjfm, 1_lag_satlSSTjfm, 4_lag_amoSSTmjjaso_1885_1"
LRforcedPSO,2,10,traFB,slow,1516.5,2005.5,0.8,17,1,1,19.574205144034003,-0.11851190081972171,2015,"['5_lag_traCA', '13_lag_traIT', '1_lag_11_median_scpPSLjfm', '1_lag_11_median_ginwSSTjfm', '1_lag_alpi', '1_lag_10_median_scpPSLjfm', '1_lag_15_median_shSICsep', '1_lag_arcTSjfm', '1_lag_4_median_traWP', '9_lag_cetTSjfm']","[2.813711132538785, 0.6503518187910196, 6.259795259098308, 0.8925661968879339, 1.7164086852925706, 8.553967018198483, 5.652080665299916, 0.6803205932208893, 0.6777869239876644, 3.7589168606901264]","5_lag_traCA, 13_lag_traIT, 1_lag_11_median_scpPSLjfm, 1_lag_11_median_ginwSSTjfm, 1_lag_alpi, 1_lag_10_median_scpPSLjfm, 1_lag_15_median_shSICsep, 1_lag_arcTSjfm, 1_lag_4_median_traWP, 9_lag_cetTSjfm_2015_1"
LRforcedPSO,3,10,traFB,slow,1517.5,2005.5,0.8,18,1,1,15.386482679759373,0.16851013930912648,2145,"['15_lag_pdoSSTjfm', '11_lag_stratZ50ndj02', '1_lag_15_median_yrvPRjja', '14_lag_mhfATL45', '7_lag_nhSICsep', '1_lag_15_median_traCA', '10_lag_mhfATL60', '16_lag_nppc2SSTjfm', '17_lag_pdoSSTjfm', '13_lag_nhSICjfm']","[0.5378618180885759, 2.3878651073247976, 0.5822874142146475, 4.334753718416042, 2.582252661066047, 1.3414018475948275, 2.1395894774328834, 0.29403947009642906, 3.906295114086311, 3.297705585146657]","15_lag_pdoSSTjfm, 11_lag_stratZ50ndj02, 1_lag_15_median_yrvPRjja, 14_lag_mhfATL45, 7_lag_nhSICsep, 1_lag_15_median_traCA, 10_lag_mhfATL60, 16_lag_nppc2SSTjfm, 17_lag_pdoSSTjfm, 13_lag_nhSICjfm_2145_1"
LRforcedPSO,4,10,traFB,slow,1518.5,2005.5,0.8,19,1,1,12.88421935166326,0.5261942038673219,2275,"['3_lag_satlSSTjfm', '7_lag_yrvPRjja', '1_lag_14_median_AMOCann', '1_lag_8_median_traEU', '6_lag_satlSSTjfm', '1_lag_5_median_seurTSjfm', '1_lag_13_median_traEC', '1_lag_9_median_tripol1', '2_lag_shSICmar', '2_lag_traFB']","[1.7004615977376965, 2.715321447622987, 8.021968997781968, 1.9745667811513385, 3.1655174176514205, 0.000997238032526937, 4.630386528968822, 6.823207537452176, 0.15954715928855734, 6.081492486420018]","3_lag_satlSSTjfm, 7_lag_yrvPRjja, 1_lag_14_median_AMOCann, 1_lag_8_median_traEU, 6_lag_satlSSTjfm, 1_lag_5_median_seurTSjfm, 1_lag_13_median_traEC, 1_lag_9_median_tripol1, 2_lag_shSICmar, 2_lag_traFB_2275_1"
LRforcedPSO,5,10,traFB,slow,1519.5,2005.5,0.8,20,1,1,17.58964635285176,0.10899500722304098,2405,"['1_lag_11_median_pdoSSTjfm', '19_lag_eurPSLjfm', '6_lag_traFSC', '1_lag_labSSTjfm', '1_lag_2_median_ginwSSTjfm', '7_lag_amo1', '1_lag_traIFC', '2_lag_tripol3', '1_lag_8_median_yrvPRjja', '12_lag_ismPRjja']","[1.9861797380012014, 5.426531596214581, 6.254395159833191, 4.985957076621116, 1.2671381379479048, 4.902910033884544, 1.3181008493901043, 2.042143152174617, 4.32810522963228, 1.147665859949612]","1_lag_11_median_pdoSSTjfm, 19_lag_eurPSLjfm, 6_lag_traFSC, 1_lag_labSSTjfm, 1_lag_2_median_ginwSSTjfm, 7_lag_amo1, 1_lag_traIFC, 2_lag_tripol3, 1_lag_8_median_yrvPRjja, 12_lag_ismPRjja_2405_1"
LRforcedPSO,6,10,traFB,slow,1520.5,2005.5,0.8,21,1,1,17.73247508958427,0.33391536845135716,2535,"['1_lag_16_median_tripol3', '9_lag_yrvPRjja', '7_lag_traDS', '1_lag_15_median_traMC', '5_lag_ismPRjja', '13_lag_ginwSSTjfm', '1_lag_7_median_tripol3', '1_lag_18_median_nppc2SSTjfm', '17_lag_yrvPRjja', '1_lag_6_median_tripol1']","[0.5600998071047911, 4.084945760478675, 5.334878775699847, 3.2760113091683856, 2.7016647762780117, 1.4104754028243338, 5.881897789080837, 1.4992924506689942, 5.083065150742425, 3.31857831008697]","1_lag_16_median_tripol3, 9_lag_yrvPRjja, 7_lag_traDS, 1_lag_15_median_traMC, 5_lag_ismPRjja, 13_lag_ginwSSTjfm, 1_lag_7_median_tripol3, 1_lag_18_median_nppc2SSTjfm, 17_lag_yrvPRjja, 1_lag_6_median_tripol1_2535_1"
LRforcedPSO,7,10,traFB,slow,1521.5,2005.5,0.8,22,2,2,35.54869114260127,-0.3873674901241339,2535,"['21_lag_nppc2SSTjfm', '2_lag_9_median_wnorPRjfm', '2_lag_17_median_nppc2SSTjfm', '15_lag_mhfIP30', '17_lag_stratZ50ndj02', '2_lag_12_median_amoSSTmjjaso', '18_lag_nhSICjfm', '2_lag_15_median_traDP', '2_lag_17_median_shSICsep', '3_lag_traMC']","[0.15853487838753466, 3.5954541989849425, 6.5555153712869485, 3.9788665095469717, 1.9699959300388041, 2.038574215820688, 6.6587750317074645, 0.9510436246285554, 1.420559325659628, 0.42309939803696395]","21_lag_nppc2SSTjfm, 2_lag_9_median_wnorPRjfm, 2_lag_17_median_nppc2SSTjfm, 15_lag_mhfIP30, 17_lag_stratZ50ndj02, 2_lag_12_median_amoSSTmjjaso, 18_lag_nhSICjfm, 2_lag_15_median_traDP, 2_lag_17_median_shSICsep, 3_lag_traMC_2535_2"
LRforcedPSO,8,10,traFB,slow,1522.5,2005.5,0.8,23,3,3,17.1129069526695,0.21170901823313398,2535,"['3_lag_7_median_ismPRjja', '3_lag_18_median_ormenSSTjfm', '3_lag_nhSICsep', '3_lag_8_median_cetTSjfm', '3_lag_15_median_alpi', '13_lag_traFB', '21_lag_eapPSLjfm', '3_lag_10_median_amoSSTmjjaso', '3_lag_7_median_AMOCann', '3_lag_5_median_pdoSSTjfm']","[0.6302703875721143, 7.12075630292275, 3.1595586765688966, 0.33461694106770246, 3.717867965631882, 3.7621094017435475, 0.1513893446597443, 6.9308198816167454, 8.696938653638995, 5.668554694002488]","3_lag_7_median_ismPRjja, 3_lag_18_median_ormenSSTjfm, 3_lag_nhSICsep, 3_lag_8_median_cetTSjfm, 3_lag_15_median_alpi, 13_lag_traFB, 21_lag_eapPSLjfm, 3_lag_10_median_amoSSTmjjaso, 3_lag_7_median_AMOCann, 3_lag_5_median_pdoSSTjfm_2535_3"
LRforcedPSO,9,10,traFB,slow,1523.5,2005.5,0.8,24,4,4,29.492584878716134,-0.11904297644861009,2535,"['4_lag_15_median_samPSLann', '4_lag_nhSICjfm', '20_lag_traFSC', '16_lag_shSICsep', '16_lag_AMOCann', '4_lag_6_median_scpPSLjfm', '17_lag_traCA', '18_lag_ismPRjja', '5_lag_yrvPRjja', '5_lag_seurTSjfm']","[7.752056382305783, 5.019957517588194, 6.349079939004827, 0.27972184268026723, 7.252572604472135, 8.766895845902953, 8.383794319357442, 1.9844381683989774, 2.207278132219759, 0.40544623056024065]","4_lag_15_median_samPSLann, 4_lag_nhSICjfm, 20_lag_traFSC, 16_lag_shSICsep, 16_lag_AMOCann, 4_lag_6_median_scpPSLjfm, 17_lag_traCA, 18_lag_ismPRjja, 5_lag_yrvPRjja, 5_lag_seurTSjfm_2535_4"
