model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traFB,slow,866.5,2005.5,0.4,15,1,1,11.698077391889052,0.36605720344330567,1755,"['13_lag_satlSSTjfm', '6_lag_shSICmar', '4_lag_cetTSjfm', '5_lag_eurPSLjfm', '11_lag_stratZ50ndj02', '10_lag_ginwSSTjfm', '7_lag_mhfATL30', '13_lag_seurTSjfm', '1_lag_traWP', '1_lag_mhfATL30']","[0.0381968447633472, 0.012148971351852174, 0.056785767935890706, 0.02293558263203739, 0.006650036677238644, 0.07879245184676216, 0.22251726101702815, 0.025451735110285756, 0.3518223264685542, 0.07724766408893322]","13_lag_satlSSTjfm, 6_lag_shSICmar, 4_lag_cetTSjfm, 5_lag_eurPSLjfm, 11_lag_stratZ50ndj02, 10_lag_ginwSSTjfm, 7_lag_mhfATL30, 13_lag_seurTSjfm, 1_lag_traWP, 1_lag_mhfATL30_1755_1"
LinearRegression,1,10,traFB,slow,867.5,2005.5,0.4,16,1,1,11.837285847808333,0.3331516721152321,1885,"['4_lag_traIT', '4_lag_cetTSjfm', '6_lag_shSICmar', '11_lag_stratZ50ndj02', '10_lag_ginwSSTjfm', '7_lag_mhfATL30', '5_lag_eurPSLjfm', '1_lag_traWP', '13_lag_seurTSjfm', '1_lag_mhfATL30']","[0.1734108640659545, 0.07178588755698012, 0.007928902700484242, 0.009107364971156185, 0.08625309525345512, 0.21505480063458302, 0.042025450567970885, 0.35978162022849425, 0.023089269590983934, 0.08371779511123614]","4_lag_traIT, 4_lag_cetTSjfm, 6_lag_shSICmar, 11_lag_stratZ50ndj02, 10_lag_ginwSSTjfm, 7_lag_mhfATL30, 5_lag_eurPSLjfm, 1_lag_traWP, 13_lag_seurTSjfm, 1_lag_mhfATL30_1885_1"
LinearRegression,2,10,traFB,slow,868.5,2005.5,0.4,17,1,1,11.378548963362723,0.42760253646471874,2015,"['11_lag_stratZ50ndj02', '8_lag_mhfATL60', '4_lag_cetTSjfm', '6_lag_shSICmar', '13_lag_seurTSjfm', '1_lag_traWP', '5_lag_eurPSLjfm', '7_lag_mhfATL30', '16_lag_traWP', '1_lag_mhfATL30']","[0.005443649994689643, 0.04033699842622837, 0.0629851213113822, 0.025128231399883207, 0.020433502780840638, 0.34189640366841423, 0.02143350262177715, 0.22114699886273104, 0.07891193350600723, 0.06658697602307821]","11_lag_stratZ50ndj02, 8_lag_mhfATL60, 4_lag_cetTSjfm, 6_lag_shSICmar, 13_lag_seurTSjfm, 1_lag_traWP, 5_lag_eurPSLjfm, 7_lag_mhfATL30, 16_lag_traWP, 1_lag_mhfATL30_2015_1"
LinearRegression,3,10,traFB,slow,869.5,2005.5,0.4,18,1,1,11.481747839322342,0.4142450589329785,2145,"['6_lag_samPSLann', '16_lag_traWP', '13_lag_seurTSjfm', '10_lag_ginwSSTjfm', '4_lag_cetTSjfm', '17_lag_traEU', '1_lag_traWP', '6_lag_shSICmar', '5_lag_eurPSLjfm', '1_lag_mhfATL30']","[0.039626339560857676, 0.08697306353679549, 0.04009555871549458, 0.09679382297397884, 0.05465386743760336, 0.07207034942691652, 0.35153736472439345, 0.03696647292081724, 0.027128437719705297, 0.06266509630342525]","6_lag_samPSLann, 16_lag_traWP, 13_lag_seurTSjfm, 10_lag_ginwSSTjfm, 4_lag_cetTSjfm, 17_lag_traEU, 1_lag_traWP, 6_lag_shSICmar, 5_lag_eurPSLjfm, 1_lag_mhfATL30_2145_1"
LinearRegression,4,10,traFB,slow,870.5,2005.5,0.4,19,1,1,11.470084107461938,0.40972411848686546,2275,"['16_lag_traWP', '1_lag_traWP', '10_lag_ginwSSTjfm', '6_lag_samPSLann', '13_lag_seurTSjfm', '5_lag_eurPSLjfm', '7_lag_mhfATL30', '6_lag_shSICmar', '4_lag_cetTSjfm', '1_lag_mhfATL30']","[0.07764304682679192, 0.34486990853771143, 0.0739610768406353, 0.045422222743358595, 0.02515702736532744, 0.017264011224838758, 0.22190946145402152, 0.015272796618429361, 0.05775369295684929, 0.0675377245220792]","16_lag_traWP, 1_lag_traWP, 10_lag_ginwSSTjfm, 6_lag_samPSLann, 13_lag_seurTSjfm, 5_lag_eurPSLjfm, 7_lag_mhfATL30, 6_lag_shSICmar, 4_lag_cetTSjfm, 1_lag_mhfATL30_2275_1"
LinearRegression,5,10,traFB,slow,871.5,2005.5,0.4,20,1,1,11.710486041727084,0.3667377465396143,2405,"['14_lag_stratZ50ndj01', '12_lag_alpi', '1_lag_traWP', '16_lag_traWP', '17_lag_eurPSLjfm', '15_lag_tripol3', '5_lag_eurPSLjfm', '6_lag_shSICmar', '4_lag_cetTSjfm', '1_lag_mhfATL30']","[0.01994250591254438, 0.04665839318126952, 0.3543461450015989, 0.1268441142231979, 0.07153805464280909, 0.09195549951158105, 0.016373000072760657, 0.048619512069408066, 0.05355437921819972, 0.04047051043175453]","14_lag_stratZ50ndj01, 12_lag_alpi, 1_lag_traWP, 16_lag_traWP, 17_lag_eurPSLjfm, 15_lag_tripol3, 5_lag_eurPSLjfm, 6_lag_shSICmar, 4_lag_cetTSjfm, 1_lag_mhfATL30_2405_1"
LinearRegression,6,10,traFB,slow,872.5,2005.5,0.4,21,1,1,11.935045856995275,0.30840687520050425,2535,"['20_lag_eapPSLjfm', '14_lag_stratZ50ndj01', '12_lag_alpi', '3_lag_atlSICsep', '4_lag_eurPSLjfm', '15_lag_tripol3', '1_lag_traWP', '6_lag_shSICmar', '1_lag_mhfATL30', '4_lag_cetTSjfm']","[0.1451396933157172, 0.019597681969105246, 0.0506298862283036, 0.07743959186154004, 0.07255058656333724, 0.0780359307473761, 0.35145779410667644, 0.04494090089568039, 0.023721317111714327, 0.025058632324038255]","20_lag_eapPSLjfm, 14_lag_stratZ50ndj01, 12_lag_alpi, 3_lag_atlSICsep, 4_lag_eurPSLjfm, 15_lag_tripol3, 1_lag_traWP, 6_lag_shSICmar, 1_lag_mhfATL30, 4_lag_cetTSjfm_2535_1"
LinearRegression,7,10,traFB,slow,873.5,2005.5,0.4,22,1,1,12.356588313794665,0.17870063948834933,2665,"['4_lag_scpPSLjfm', '6_lag_shSICmar', '12_lag_alpi', '16_lag_traWP', '20_lag_eapPSLjfm', '3_lag_atlSICsep', '14_lag_stratZ50ndj01', '21_lag_yrvPRjja', '1_lag_mhfATL30', '4_lag_cetTSjfm']","[0.005959300970168838, 0.037634111631382125, 0.05179244756887228, 0.11835729501679708, 0.13771288329870138, 0.08542269072476447, 0.024870941037761992, 0.03151357527641485, 0.0801983667703066, 0.0579995287782878]","4_lag_scpPSLjfm, 6_lag_shSICmar, 12_lag_alpi, 16_lag_traWP, 20_lag_eapPSLjfm, 3_lag_atlSICsep, 14_lag_stratZ50ndj01, 21_lag_yrvPRjja, 1_lag_mhfATL30, 4_lag_cetTSjfm_2665_1"
LinearRegression,8,10,traFB,slow,874.5,2005.5,0.4,23,1,1,11.912012234842978,0.32602345919375786,2795,"['4_lag_eurPSLjfm', '1_lag_traWP', '1_lag_mhfATL30', '16_lag_traWP', '20_lag_eapPSLjfm', '12_lag_alpi', '4_lag_cetTSjfm', '22_lag_traIFC', '3_lag_atlSICsep', '14_lag_stratZ50ndj01']","[0.07909351365097661, 0.32538903671902697, 0.004034431817596114, 0.10048372457650703, 0.13649638148824444, 0.05538136171539727, 0.022093430575735207, 0.1546660355900977, 0.08176846636479493, 0.036998570927113325]","4_lag_eurPSLjfm, 1_lag_traWP, 1_lag_mhfATL30, 16_lag_traWP, 20_lag_eapPSLjfm, 12_lag_alpi, 4_lag_cetTSjfm, 22_lag_traIFC, 3_lag_atlSICsep, 14_lag_stratZ50ndj01_2795_1"
LinearRegression,9,10,traFB,slow,875.5,2005.5,0.4,24,1,1,12.025856702508316,0.29933962061469654,2925,"['3_lag_atlSICsep', '15_lag_traEC', '1_lag_traWP', '4_lag_cetTSjfm', '22_lag_traIFC', '20_lag_eapPSLjfm', '4_lag_eurPSLjfm', '12_lag_alpi', '1_lag_mhfATL30', '14_lag_stratZ50ndj01']","[0.07491365426064168, 0.027890191779460893, 0.3319551102658367, 0.013922513203105709, 0.15582288316563578, 0.1460765123380064, 0.08760927068937915, 0.05419255971849134, 0.0045924103225794405, 0.039523974716071636]","3_lag_atlSICsep, 15_lag_traEC, 1_lag_traWP, 4_lag_cetTSjfm, 22_lag_traIFC, 20_lag_eapPSLjfm, 4_lag_eurPSLjfm, 12_lag_alpi, 1_lag_mhfATL30, 14_lag_stratZ50ndj01_2925_1"
