model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,6,traFS,slow,1514.5,2005.5,0.8,15,1,1,22.36204642507938,-0.2447173408250627,1755,"['14_lag_alpi', '13_lag_nppc2SSTjfm', '12_lag_traTLS', '1_lag_14_median_traDS', '1_lag_4_median_atlSICsep', '1_lag_7_median_solFORC']","[0.9291624954735163, 6.115776149175121, 3.5044595461926376, 0.3881644217239266, 1.3613401944255408, 2.096047891855532]","14_lag_alpi, 13_lag_nppc2SSTjfm, 12_lag_traTLS, 1_lag_14_median_traDS, 1_lag_4_median_atlSICsep, 1_lag_7_median_solFORC_1755_1"
LRforcedPSO,1,6,traFS,slow,1515.5,2005.5,0.8,16,1,1,18.30183509890167,0.0715545005894849,1885,"['9_lag_labSSTjfm', '1_lag_15_median_traIFC', '2_lag_nppc3SSTjfm', '1_lag_traBS', '10_lag_shTSjfm', '1_lag_4_median_cetTSjfm']","[1.565689073978668, 2.0743613226866087, 1.5621101220616542, 1.6082875623076685, 1.6354779449606431, 1.5679068295469134]","9_lag_labSSTjfm, 1_lag_15_median_traIFC, 2_lag_nppc3SSTjfm, 1_lag_traBS, 10_lag_shTSjfm, 1_lag_4_median_cetTSjfm_1885_1"
LRforcedPSO,2,6,traFS,slow,1516.5,2005.5,0.8,17,1,1,23.493006604449146,-0.24175028446704433,2015,"['12_lag_traDS', '1_lag_16_median_amo3', '1_lag_7_median_ensoSSTjfm', '7_lag_stratZ50ndj04', '10_lag_glTSjfm', '1_lag_9_median_ensoSSTjfm']","[2.755250908709456, 3.3795923101498397, 3.308555557408911, 2.8250842558716447, 2.751501106059375, 3.0130590749459945]","12_lag_traDS, 1_lag_16_median_amo3, 1_lag_7_median_ensoSSTjfm, 7_lag_stratZ50ndj04, 10_lag_glTSjfm, 1_lag_9_median_ensoSSTjfm_2015_1"
LRforcedPSO,3,6,traFS,slow,1517.5,2005.5,0.8,18,1,1,17.760952771243247,0.17281296232708387,2145,"['1_lag_3_median_labSSTjfm', '1_lag_2_median_shSICsep', '12_lag_traIT', '1_lag_4_median_naoPSLjfm', '12_lag_traIFC', '10_lag_atlSICjfm']","[2.394201138950457, 2.1833444470632464, 2.5454901420840854, 2.1706230408223597, 2.4322133544961124, 2.0959360677195704]","1_lag_3_median_labSSTjfm, 1_lag_2_median_shSICsep, 12_lag_traIT, 1_lag_4_median_naoPSLjfm, 12_lag_traIFC, 10_lag_atlSICjfm_2145_1"
LRforcedPSO,4,6,traFS,slow,1518.5,2005.5,0.8,19,1,1,15.722591052304272,0.1424005360444385,2275,"['9_lag_traEU', '2_lag_traCA', '14_lag_nhSICjfm', '12_lag_atlSICsep', '1_lag_5_median_nppc3SSTjfm', '1_lag_17_median_ginwSSTjfm']","[2.9440781638062923, 2.2319401326867965, 2.561305009492712, 2.289040160114797, 2.616560507501058, 2.9593934501989456]","9_lag_traEU, 2_lag_traCA, 14_lag_nhSICjfm, 12_lag_atlSICsep, 1_lag_5_median_nppc3SSTjfm, 1_lag_17_median_ginwSSTjfm_2275_1"
LRforcedPSO,5,6,traFS,slow,1519.5,2005.5,0.8,20,1,1,21.64039163221296,-0.16070116863091335,2405,"['1_lag_8_median_ormenSSTjfm', '1_lag_18_median_gyreSSTjfm', '1_lag_19_median_traTLS', '6_lag_traCA', '1_lag_5_median_ismPRjja', '1_lag_4_median_wnorPRjfm']","[1.3912951411303602, 1.259550617495659, 6.368746006590147, 0.2429939323983472, 2.6649956911826695, 5.63017341252171]","1_lag_8_median_ormenSSTjfm, 1_lag_18_median_gyreSSTjfm, 1_lag_19_median_traTLS, 6_lag_traCA, 1_lag_5_median_ismPRjja, 1_lag_4_median_wnorPRjfm_2405_1"
LRforcedPSO,6,6,traFS,slow,1520.5,2005.5,0.8,21,1,1,14.120197258070787,0.5531429516294661,2535,"['12_lag_tripol2', '1_lag_15_median_eapPSLjfm', '11_lag_eapPSLjfm', '1_lag_17_median_nhSICsep', '10_lag_solFORC', '1_lag_11_median_stratZ50ndj04']","[3.2084096427080873, 1.8499606138315716, 3.6392317514526473, 4.960651972382157, 1.3422932865670205, 4.408241890962499]","12_lag_tripol2, 1_lag_15_median_eapPSLjfm, 11_lag_eapPSLjfm, 1_lag_17_median_nhSICsep, 10_lag_solFORC, 1_lag_11_median_stratZ50ndj04_2535_1"
LRforcedPSO,7,6,traFS,slow,1521.5,2005.5,0.8,22,1,1,17.76790575286691,0.1333889040360757,2665,"['17_lag_traFSC', '20_lag_nppc2SSTjfm', '1_lag_6_median_eurPSLjfm', '1_lag_5_median_traTLS', '3_lag_shTSjfm', '4_lag_yrvPRjja']","[1.0457542470634014, 0.5756064576134019, 0.5794200666898917, 1.730149902391684, 1.2336368002695934, 4.836275317124774]","17_lag_traFSC, 20_lag_nppc2SSTjfm, 1_lag_6_median_eurPSLjfm, 1_lag_5_median_traTLS, 3_lag_shTSjfm, 4_lag_yrvPRjja_2665_1"
LRforcedPSO,8,6,traFS,slow,1522.5,2005.5,0.8,23,1,1,22.372507058076003,-0.18855780306432776,2795,"['12_lag_traEU', '13_lag_ginwSSTjfm', '10_lag_neurTSjfm', '1_lag_21_median_stratZ50ndj03', '3_lag_amoSSTmjjaso', '1_lag_nhTSjfm']","[2.4086048230240564, 2.6136769896484, 2.682987959506689, 2.5344068922965426, 2.3823152760178115, 2.371134363978013]","12_lag_traEU, 13_lag_ginwSSTjfm, 10_lag_neurTSjfm, 1_lag_21_median_stratZ50ndj03, 3_lag_amoSSTmjjaso, 1_lag_nhTSjfm_2795_1"
LRforcedPSO,9,6,traFS,slow,1523.5,2005.5,0.8,24,1,1,28.97660518603091,0.1919616790146786,2925,"['1_lag_traCA', '8_lag_traDS', '21_lag_amo2', '1_lag_21_median_traIFC', '1_lag_traDP', '1_lag_16_median_satlSSTjfm']","[7.151498740585307, 4.541306703252131, 1.5391458902332023, 0.6202455288329745, 1.4254090064218445, 2.4843730548723464]","1_lag_traCA, 8_lag_traDS, 21_lag_amo2, 1_lag_21_median_traIFC, 1_lag_traDP, 1_lag_16_median_satlSSTjfm_2925_1"
