model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,traFS,slow,866.5,2005.5,0.6,15,1,1,12.899088299805255,0.2801580377955162,1755,"['1_lag_labSSTjfm', '4_lag_stratZ50ndj04', '1_lag_7_median_stratZ50ndj01', '12_lag_yrvPRjja', '1_lag_6_median_traDS', '4_lag_pdoSSTjfm', '1_lag_gyreSSTjfm', '9_lag_cetTSjfm', '12_lag_shSICsep', '3_lag_amo3', '1_lag_4_median_traFS', '11_lag_amo2', '11_lag_pdoSSTjfm', '9_lag_mhfATL30', '1_lag_shSICsep', '8_lag_labSSTjfm', '11_lag_mhfATL60', '6_lag_traEU', '1_lag_6_median_stratZ50ndj01', '1_lag_amoSSTmjjaso', '9_lag_nhSICjfm', '3_lag_naoPSLjfm', '1_lag_4_median_alpi', '14_lag_amoSSTmjjaso', '13_lag_labSSTjfm', '12_lag_pdoSSTjfm', '5_lag_amo3', '13_lag_amo2', '1_lag_traBS', '8_lag_cetTSjfm']","[0.11087743859933012, 0.024188461685347662, 0.19560664708417438, 0.01497242487445998, 0.4647560605658073, 0.05327389968782086, 0.22019315586304208, 0.07232985143900487, 0.002008918694378313, 0.06492570189199853, 0.04992719864904161, 0.1144441566868765, 0.052927177533165545, 0.054569901904204535, 0.12488336873246851, 0.05382776532254826, 0.09570767519101721, 0.01022027205846452, 0.1817307114491568, 0.03611215350350802, 0.031955240347749755, 0.08673948492048217, 0.04774576168454665, 0.1832593420826403, 0.04545702529844916, 0.019866468826901584, 0.08620714808051061, 0.027706320104122148, 0.18045565273757214, 0.005888899082673224]","1_lag_labSSTjfm, 4_lag_stratZ50ndj04, 1_lag_7_median_stratZ50ndj01, 12_lag_yrvPRjja, 1_lag_6_median_traDS, 4_lag_pdoSSTjfm, 1_lag_gyreSSTjfm, 9_lag_cetTSjfm, 12_lag_shSICsep, 3_lag_amo3, 1_lag_4_median_traFS, 11_lag_amo2, 11_lag_pdoSSTjfm, 9_lag_mhfATL30, 1_lag_shSICsep, 8_lag_labSSTjfm, 11_lag_mhfATL60, 6_lag_traEU, 1_lag_6_median_stratZ50ndj01, 1_lag_amoSSTmjjaso, 9_lag_nhSICjfm, 3_lag_naoPSLjfm, 1_lag_4_median_alpi, 14_lag_amoSSTmjjaso, 13_lag_labSSTjfm, 12_lag_pdoSSTjfm, 5_lag_amo3, 13_lag_amo2, 1_lag_traBS, 8_lag_cetTSjfm_1755_1"
LinearRegression,1,30,traFS,slow,867.5,2005.5,0.6,16,1,1,12.282883510388539,0.3957148218653651,1885,"['9_lag_cetTSjfm', '1_lag_4_median_traFS', '12_lag_pdoSSTjfm', '6_lag_traEU', '14_lag_scpPSLjfm', '1_lag_traCA', '4_lag_pdoSSTjfm', '1_lag_gyreSSTjfm', '4_lag_traIFC', '6_lag_traIFC', '1_lag_shSICsep', '10_lag_shSICsep', '3_lag_naoPSLjfm', '1_lag_4_median_neurTSjfm', '1_lag_4_median_alpi', '1_lag_4_median_ismPRjja', '3_lag_amo3', '14_lag_amoSSTmjjaso', '4_lag_stratZ50ndj04', '1_lag_6_median_stratZ50ndj01', '10_lag_scpPSLjfm', '13_lag_tripol3', '5_lag_amo3', '13_lag_amo2', '11_lag_mhfATL60', '15_lag_traWP', '8_lag_labSSTjfm', '1_lag_traBS', '8_lag_cetTSjfm', '1_lag_amoSSTmjjaso']","[0.04750070393773757, 0.004289193736169927, 0.02769610964327968, 0.0165692110563407, 0.037849720752210075, 0.2432998933009405, 0.03966409495430917, 0.07405849378670498, 0.22006706199333997, 0.06241636593454806, 0.08793027067813865, 0.051902968806378305, 0.12452803606355385, 0.12072218239239951, 0.02578706556975042, 0.11388306810780036, 0.09001195477973802, 0.1932364442375753, 0.07118929516505171, 0.005636753685022157, 0.03337614838124998, 0.007785039282960473, 0.08231116443950194, 0.026630523803883872, 0.09705838083408774, 0.06784413082406564, 0.06080414629357496, 0.1788171021486449, 0.042486403289481514, 0.09117668805964502]","9_lag_cetTSjfm, 1_lag_4_median_traFS, 12_lag_pdoSSTjfm, 6_lag_traEU, 14_lag_scpPSLjfm, 1_lag_traCA, 4_lag_pdoSSTjfm, 1_lag_gyreSSTjfm, 4_lag_traIFC, 6_lag_traIFC, 1_lag_shSICsep, 10_lag_shSICsep, 3_lag_naoPSLjfm, 1_lag_4_median_neurTSjfm, 1_lag_4_median_alpi, 1_lag_4_median_ismPRjja, 3_lag_amo3, 14_lag_amoSSTmjjaso, 4_lag_stratZ50ndj04, 1_lag_6_median_stratZ50ndj01, 10_lag_scpPSLjfm, 13_lag_tripol3, 5_lag_amo3, 13_lag_amo2, 11_lag_mhfATL60, 15_lag_traWP, 8_lag_labSSTjfm, 1_lag_traBS, 8_lag_cetTSjfm, 1_lag_amoSSTmjjaso_1885_1"
LinearRegression,2,30,traFS,slow,868.5,2005.5,0.6,17,1,1,12.25928450468541,0.4132094783880163,2015,"['7_lag_atlSICjfm', '15_lag_mhfATL45', '10_lag_tripol3', '4_lag_stratZ50ndj04', '1_lag_samPSLann', '13_lag_tripol3', '1_lag_shSICsep', '9_lag_cetTSjfm', '5_lag_amo3', '12_lag_yrvPRjja', '12_lag_eapPSLjfm', '4_lag_amo1', '11_lag_pdoSSTjfm', '11_lag_mhfATL60', '7_lag_ormenSSTjfm', '13_lag_amo2', '10_lag_scpPSLjfm', '11_lag_arcTSjfm', '8_lag_labSSTjfm', '1_lag_gyreSSTjfm', '14_lag_amoSSTmjjaso', '6_lag_traIFC', '4_lag_traIFC', '3_lag_naoPSLjfm', '1_lag_traCA', '3_lag_amo3', '10_lag_shSICsep', '8_lag_cetTSjfm', '1_lag_traBS', '1_lag_amoSSTmjjaso']","[0.04402249428885246, 0.046671663313572066, 0.07018720629859677, 0.06690551351870072, 0.036474937430471345, 0.004073605733254386, 0.08159321296579337, 0.06143195901338912, 0.06767576731198573, 0.0005492989667658607, 0.00317125058167023, 0.04057418010171824, 0.02661487655856848, 0.10010757213852808, 0.02251074671054773, 0.023701258914690815, 0.034975742565786255, 0.040758507898182215, 0.04332956555629832, 0.06287672232580777, 0.18524658338273853, 0.0685759359814105, 0.19656751307288256, 0.09740434868808676, 0.24296409369962252, 0.0927818038702687, 0.05631284061200928, 0.03405917079221432, 0.17054428209364572, 0.0749264515237949]","7_lag_atlSICjfm, 15_lag_mhfATL45, 10_lag_tripol3, 4_lag_stratZ50ndj04, 1_lag_samPSLann, 13_lag_tripol3, 1_lag_shSICsep, 9_lag_cetTSjfm, 5_lag_amo3, 12_lag_yrvPRjja, 12_lag_eapPSLjfm, 4_lag_amo1, 11_lag_pdoSSTjfm, 11_lag_mhfATL60, 7_lag_ormenSSTjfm, 13_lag_amo2, 10_lag_scpPSLjfm, 11_lag_arcTSjfm, 8_lag_labSSTjfm, 1_lag_gyreSSTjfm, 14_lag_amoSSTmjjaso, 6_lag_traIFC, 4_lag_traIFC, 3_lag_naoPSLjfm, 1_lag_traCA, 3_lag_amo3, 10_lag_shSICsep, 8_lag_cetTSjfm, 1_lag_traBS, 1_lag_amoSSTmjjaso_2015_1"
LinearRegression,3,30,traFS,slow,869.5,2005.5,0.6,18,1,1,12.393557596555127,0.37794678265015924,2145,"['13_lag_traMC', '11_lag_traEC', '16_lag_traFB', '15_lag_nchinaPRjja', '14_lag_scpPSLjfm', '8_lag_labSSTjfm', '5_lag_amo3', '17_lag_naoPSLjfm', '17_lag_wnorPRjfm', '12_lag_eapPSLjfm', '7_lag_eapPSLjfm', '4_lag_amo3', '17_lag_mhfATL30', '4_lag_amo1', '10_lag_shSICsep', '7_lag_ormenSSTjfm', '15_lag_mhfATL45', '11_lag_arcTSjfm', '11_lag_mhfATL60', '1_lag_gyreSSTjfm', '3_lag_amo3', '10_lag_scpPSLjfm', '4_lag_traIFC', '3_lag_naoPSLjfm', '12_lag_yrvPRjja', '1_lag_traCA', '14_lag_amoSSTmjjaso', '8_lag_cetTSjfm', '1_lag_amoSSTmjjaso', '1_lag_traBS']","[0.06420211699556597, 0.018328930423390483, 0.011571237843963387, 0.063795083746925, 0.03443033275318921, 0.05659717643801976, 0.038235227858918794, 0.14090470281998813, 0.1480264226659114, 0.009250169098664844, 0.036270647703006434, 0.09535014181420363, 0.03596483256363069, 0.06296731251342591, 0.09313457090877099, 0.024067888449499412, 0.04415001097178444, 0.06539793827580449, 0.11352203937581679, 0.07669264997895826, 0.12300706999134939, 0.03219465676635119, 0.20889764388759827, 0.10121222111645103, 0.012058230835108884, 0.2576758063025326, 0.1792885902281334, 0.03441570132103935, 0.07487984359324824, 0.16851400341389883]","13_lag_traMC, 11_lag_traEC, 16_lag_traFB, 15_lag_nchinaPRjja, 14_lag_scpPSLjfm, 8_lag_labSSTjfm, 5_lag_amo3, 17_lag_naoPSLjfm, 17_lag_wnorPRjfm, 12_lag_eapPSLjfm, 7_lag_eapPSLjfm, 4_lag_amo3, 17_lag_mhfATL30, 4_lag_amo1, 10_lag_shSICsep, 7_lag_ormenSSTjfm, 15_lag_mhfATL45, 11_lag_arcTSjfm, 11_lag_mhfATL60, 1_lag_gyreSSTjfm, 3_lag_amo3, 10_lag_scpPSLjfm, 4_lag_traIFC, 3_lag_naoPSLjfm, 12_lag_yrvPRjja, 1_lag_traCA, 14_lag_amoSSTmjjaso, 8_lag_cetTSjfm, 1_lag_amoSSTmjjaso, 1_lag_traBS_2145_1"
LinearRegression,4,30,traFS,slow,870.5,2005.5,0.6,19,1,1,12.54548706713655,0.3885945540823447,2275,"['1_lag_mhfATL30', '13_lag_tripol3', '9_lag_nppc3SSTjfm', '13_lag_arcTSjfm', '6_lag_mhfATL45', '14_lag_scpPSLjfm', '4_lag_amo3', '5_lag_stratZ50ndj04', '15_lag_nchinaPRjja', '4_lag_amo1', '12_lag_yrvPRjja', '17_lag_mhfATL30', '13_lag_traMC', '10_lag_shSICsep', '8_lag_neurTSjfm', '3_lag_amo3', '11_lag_shSICsep', '4_lag_stratZ50ndj02', '1_lag_traCA', '17_lag_mhfATL45', '18_lag_traMC', '11_lag_arcTSjfm', '15_lag_mhfATL45', '4_lag_traIFC', '10_lag_scpPSLjfm', '14_lag_amoSSTmjjaso', '18_lag_labSSTjfm', '8_lag_cetTSjfm', '1_lag_amoSSTmjjaso', '1_lag_traBS']","[0.11204369043710367, 0.006045229526846316, 0.11413130208197049, 0.08173668325674162, 0.026761366821280278, 0.03947150152151549, 0.07522813473051815, 0.08612068161938628, 0.07621574528524507, 0.017173078944408133, 0.0023534197614163274, 0.02849404694540198, 0.07699123294105441, 0.03732188253016931, 0.10216917240129542, 0.10562127069575357, 0.09918843210936348, 0.022548849312274917, 0.2651477496842979, 0.016244014835277605, 0.04488716198216649, 0.050716633882523315, 0.042424295493559805, 0.2111965714409559, 0.027324325630783804, 0.1366489285127861, 0.012326464460676883, 0.1249308331266513, 0.13914045160185623, 0.18564228607108896]","1_lag_mhfATL30, 13_lag_tripol3, 9_lag_nppc3SSTjfm, 13_lag_arcTSjfm, 6_lag_mhfATL45, 14_lag_scpPSLjfm, 4_lag_amo3, 5_lag_stratZ50ndj04, 15_lag_nchinaPRjja, 4_lag_amo1, 12_lag_yrvPRjja, 17_lag_mhfATL30, 13_lag_traMC, 10_lag_shSICsep, 8_lag_neurTSjfm, 3_lag_amo3, 11_lag_shSICsep, 4_lag_stratZ50ndj02, 1_lag_traCA, 17_lag_mhfATL45, 18_lag_traMC, 11_lag_arcTSjfm, 15_lag_mhfATL45, 4_lag_traIFC, 10_lag_scpPSLjfm, 14_lag_amoSSTmjjaso, 18_lag_labSSTjfm, 8_lag_cetTSjfm, 1_lag_amoSSTmjjaso, 1_lag_traBS_2275_1"
LinearRegression,5,30,traFS,slow,871.5,2005.5,0.6,20,1,1,12.57226592904828,0.3830165576963015,2405,"['4_lag_amo1', '5_lag_amo3', '14_lag_scpPSLjfm', '15_lag_traFB', '17_lag_traEU', '1_lag_gyreSSTjfm', '5_lag_seurTSjfm', '8_lag_pdoSSTjfm', '4_lag_amo3', '9_lag_cetTSjfm', '19_lag_ismPRjja', '18_lag_nppc2SSTjfm', '10_lag_neurTSjfm', '8_lag_yrvPRjja', '15_lag_nchinaPRjja', '10_lag_shSICsep', '17_lag_mhfATL45', '11_lag_shSICsep', '11_lag_arcTSjfm', '18_lag_labSSTjfm', '4_lag_traIFC', '8_lag_neurTSjfm', '15_lag_mhfATL45', '1_lag_traCA', '4_lag_stratZ50ndj02', '1_lag_amoSSTmjjaso', '14_lag_amoSSTmjjaso', '10_lag_scpPSLjfm', '8_lag_cetTSjfm', '1_lag_traBS']","[0.03840112566868378, 0.024206581053684145, 0.038514702023015775, 0.034815003490333056, 0.06570292443608099, 0.08134938845252535, 0.006041838110638018, 0.0025201098977985, 0.02411593233115248, 0.06473830852013997, 0.059768299208947696, 0.005037916362268884, 0.0001654010669146763, 0.10591763120129309, 0.06931044538354446, 0.04510887934111016, 0.01963306216127226, 0.1004446609801426, 0.039963369716243834, 0.008873395044555237, 0.20888509562453375, 0.12527197419494598, 0.04391275386002401, 0.2658728578522029, 0.0348895280741468, 0.08280079009672744, 0.15114076838051121, 0.028281962920030466, 0.14897138323187978, 0.17839696598774915]","4_lag_amo1, 5_lag_amo3, 14_lag_scpPSLjfm, 15_lag_traFB, 17_lag_traEU, 1_lag_gyreSSTjfm, 5_lag_seurTSjfm, 8_lag_pdoSSTjfm, 4_lag_amo3, 9_lag_cetTSjfm, 19_lag_ismPRjja, 18_lag_nppc2SSTjfm, 10_lag_neurTSjfm, 8_lag_yrvPRjja, 15_lag_nchinaPRjja, 10_lag_shSICsep, 17_lag_mhfATL45, 11_lag_shSICsep, 11_lag_arcTSjfm, 18_lag_labSSTjfm, 4_lag_traIFC, 8_lag_neurTSjfm, 15_lag_mhfATL45, 1_lag_traCA, 4_lag_stratZ50ndj02, 1_lag_amoSSTmjjaso, 14_lag_amoSSTmjjaso, 10_lag_scpPSLjfm, 8_lag_cetTSjfm, 1_lag_traBS_2405_1"
LinearRegression,6,30,traFS,slow,872.5,2005.5,0.6,21,1,1,12.374268934290548,0.40134867699956983,2535,"['15_lag_nchinaPRjja', '5_lag_stratZ50ndj04', '4_lag_amo1', '15_lag_mhfATL45', '11_lag_shSICsep', '19_lag_mhfATL45', '17_lag_traEU', '3_lag_amo3', '11_lag_arcTSjfm', '18_lag_traMC', '18_lag_yrvPRjja', '4_lag_traIFC', '17_lag_mhfATL45', '4_lag_amo3', '10_lag_shSICsep', '8_lag_neurTSjfm', '14_lag_satlSSTjfm', '18_lag_labSSTjfm', '5_lag_seurTSjfm', '3_lag_traFB', '1_lag_traCA', '10_lag_neurTSjfm', '8_lag_yrvPRjja', '19_lag_ismPRjja', '4_lag_stratZ50ndj02', '8_lag_cetTSjfm', '1_lag_amoSSTmjjaso', '10_lag_scpPSLjfm', '14_lag_amoSSTmjjaso', '1_lag_traBS']","[0.06955251403162419, 0.07254879760338084, 0.05664829394533777, 0.04431314015255841, 0.11128648892355074, 0.05211719880922693, 0.07073614653120866, 0.13060242501998928, 0.04895121633645803, 0.05480798266601627, 0.11095143392612729, 0.21920125212084177, 0.031637780602162116, 0.08567780785082425, 0.033559598648199185, 0.12002114489557733, 0.009119197460105543, 0.0017566208736111196, 0.015518454525860417, 0.001457887862936949, 0.27980796919953754, 0.017992130035903477, 0.114580731135282, 0.0648769560227544, 0.03255653569825886, 0.1587679259002415, 0.09784114016517309, 0.028060430013058826, 0.15108549611455768, 0.17762095317199142]","15_lag_nchinaPRjja, 5_lag_stratZ50ndj04, 4_lag_amo1, 15_lag_mhfATL45, 11_lag_shSICsep, 19_lag_mhfATL45, 17_lag_traEU, 3_lag_amo3, 11_lag_arcTSjfm, 18_lag_traMC, 18_lag_yrvPRjja, 4_lag_traIFC, 17_lag_mhfATL45, 4_lag_amo3, 10_lag_shSICsep, 8_lag_neurTSjfm, 14_lag_satlSSTjfm, 18_lag_labSSTjfm, 5_lag_seurTSjfm, 3_lag_traFB, 1_lag_traCA, 10_lag_neurTSjfm, 8_lag_yrvPRjja, 19_lag_ismPRjja, 4_lag_stratZ50ndj02, 8_lag_cetTSjfm, 1_lag_amoSSTmjjaso, 10_lag_scpPSLjfm, 14_lag_amoSSTmjjaso, 1_lag_traBS_2535_1"
LinearRegression,7,30,traFS,slow,873.5,2005.5,0.6,22,2,2,13.732656840821306,0.03954045048148849,2535,"['11_lag_mhfATL60', '5_lag_traTLS', '20_lag_nhSICjfm', '18_lag_ismPRjja', '15_lag_traMC', '2_lag_3_median_traFB', '3_lag_traFB', '11_lag_arcTSjfm', '8_lag_scpPSLjfm', '10_lag_nhSICsep', '2_lag_ginwSSTjfm', '15_lag_traFB', '19_lag_arcTSjfm', '4_lag_amo3', '2_lag_cetTSjfm', '2_lag_7_median_traEU', '2_lag_traMC', '2_lag_5_median_traTLS', '20_lag_nppc2SSTjfm', '2_lag_neurTSjfm', '10_lag_neurTSjfm', '19_lag_ismPRjja', '19_lag_mhfATL45', '14_lag_satlSSTjfm', '17_lag_mhfATL30', '8_lag_neurTSjfm', '9_lag_cetTSjfm', '8_lag_cetTSjfm', '10_lag_shSICsep', '14_lag_amoSSTmjjaso']","[0.15186469608259848, 0.02252366366402725, 0.001309620798417435, 0.045980689578579356, 0.024415140554565305, 11007405398725.193, 11007405398725.238, 0.05903919296983056, 0.1084393411061734, 0.023205046598599087, 0.031842301313184336, 0.08028605463902229, 0.04594078661903876, 0.025989464152364455, 0.09893480177742422, 0.21379414820843207, 0.07429703224571917, 0.0700463255946247, 0.10059980019244354, 0.12091182424310956, 0.022436925094033597, 0.08138071340793097, 0.09705019006490079, 0.051054639514263145, 0.06396813122958554, 0.1798260898556493, 0.04755591893062781, 0.16467404647568465, 0.11375412695308837, 0.16571750518196982]","11_lag_mhfATL60, 5_lag_traTLS, 20_lag_nhSICjfm, 18_lag_ismPRjja, 15_lag_traMC, 2_lag_3_median_traFB, 3_lag_traFB, 11_lag_arcTSjfm, 8_lag_scpPSLjfm, 10_lag_nhSICsep, 2_lag_ginwSSTjfm, 15_lag_traFB, 19_lag_arcTSjfm, 4_lag_amo3, 2_lag_cetTSjfm, 2_lag_7_median_traEU, 2_lag_traMC, 2_lag_5_median_traTLS, 20_lag_nppc2SSTjfm, 2_lag_neurTSjfm, 10_lag_neurTSjfm, 19_lag_ismPRjja, 19_lag_mhfATL45, 14_lag_satlSSTjfm, 17_lag_mhfATL30, 8_lag_neurTSjfm, 9_lag_cetTSjfm, 8_lag_cetTSjfm, 10_lag_shSICsep, 14_lag_amoSSTmjjaso_2535_2"
LinearRegression,8,30,traFS,slow,874.5,2005.5,0.6,23,3,3,12.664796367616617,0.33220731231649453,2535,"['9_lag_atlSICsep', '19_lag_arcTSjfm', '5_lag_traWP', '20_lag_stratZ50ndj01', '15_lag_traFB', '6_lag_amoSSTmjjaso', '8_lag_cetTSjfm', '3_lag_AMOCann', '14_lag_scpPSLjfm', '10_lag_neurTSjfm', '9_lag_eurPSLjfm', '16_lag_traIFC', '10_lag_shSICsep', '15_lag_atlSICsep', '18_lag_stratZ50ndj02', '19_lag_mhfATL45', '19_lag_ismPRjja', '15_lag_shSICsep', '11_lag_arcTSjfm', '22_lag_satlSSTjfm', '15_lag_traWP', '14_lag_satlSSTjfm', '3_lag_mhfATL60', '17_lag_mhfATL30', '15_lag_traMC', '3_lag_nhSICsep', '20_lag_nppc2SSTjfm', '9_lag_cetTSjfm', '14_lag_amoSSTmjjaso', '3_lag_traFB']","[0.06374689780217652, 0.03265441349282833, 0.03408430888609333, 0.00421553609034691, 0.09544193401253821, 0.04709924841105058, 0.022475359887035445, 0.10417167653444478, 0.06077845579089715, 0.044822930871091016, 0.05697574335108931, 0.06923599626616551, 0.18686044641433092, 0.05450982429774639, 0.059312145307790824, 0.09882305292399386, 0.06798586379605069, 0.12194789689876956, 0.04556289313159126, 0.0879652474615171, 0.04969940865313468, 0.06871714763460263, 0.0148634883532507, 0.07175197149997409, 0.042847837916656153, 0.24316009911007788, 0.048318110861285915, 0.05827047226451336, 0.1747267625770754, 0.020852911993384685]","9_lag_atlSICsep, 19_lag_arcTSjfm, 5_lag_traWP, 20_lag_stratZ50ndj01, 15_lag_traFB, 6_lag_amoSSTmjjaso, 8_lag_cetTSjfm, 3_lag_AMOCann, 14_lag_scpPSLjfm, 10_lag_neurTSjfm, 9_lag_eurPSLjfm, 16_lag_traIFC, 10_lag_shSICsep, 15_lag_atlSICsep, 18_lag_stratZ50ndj02, 19_lag_mhfATL45, 19_lag_ismPRjja, 15_lag_shSICsep, 11_lag_arcTSjfm, 22_lag_satlSSTjfm, 15_lag_traWP, 14_lag_satlSSTjfm, 3_lag_mhfATL60, 17_lag_mhfATL30, 15_lag_traMC, 3_lag_nhSICsep, 20_lag_nppc2SSTjfm, 9_lag_cetTSjfm, 14_lag_amoSSTmjjaso, 3_lag_traFB_2535_3"
LinearRegression,9,30,traFS,slow,875.5,2005.5,0.6,24,4,4,13.376183017147842,0.1497793741801662,2535,"['11_lag_arcTSjfm', '22_lag_traBS', '4_lag_7_median_ismPRjja', '4_lag_atlSICsep', '16_lag_pdoSSTjfm', '9_lag_cetTSjfm', '11_lag_eurPSLjfm', '17_lag_naoPSLjfm', '15_lag_traFB', '4_lag_traBO', '23_lag_seurTSjfm', '15_lag_traWP', '20_lag_stratZ50ndj01', '21_lag_nhSICsep', '4_lag_stratZ50ndj01', '16_lag_traFSC', '4_lag_7_median_traIFC', '14_lag_nhSICsep', '18_lag_scpPSLjfm', '14_lag_satlSSTjfm', '16_lag_ormenSSTjfm', '18_lag_labSSTjfm', '23_lag_arcTSjfm', '10_lag_shSICsep', '4_lag_7_median_eapPSLjfm', '20_lag_nppc2SSTjfm', '21_lag_nppc3SSTjfm', '23_lag_naoPSLjfm', '4_lag_7_median_traEU', '14_lag_amoSSTmjjaso']","[0.06240105127252323, 0.06509072234223436, 0.14607011676894668, 0.13128508055826793, 0.013119609793235494, 0.0644434648364958, 0.08050307642355674, 0.03468345789751966, 0.11534163048476018, 0.12747966051686857, 0.04999124359365686, 0.10320939342075965, 0.03267396175730519, 0.04484308068861119, 0.035053177108211424, 0.030367968552298535, 0.21720468546176616, 0.11495965907077359, 0.05527504873373106, 0.02166321409238705, 0.13142206287519279, 0.0392766199827306, 0.069252352106758, 0.08517048570098003, 0.02759721026594835, 0.0856337605692978, 0.07773806733114438, 0.04623501928897045, 0.1568652655262506, 0.1590923729916012]","11_lag_arcTSjfm, 22_lag_traBS, 4_lag_7_median_ismPRjja, 4_lag_atlSICsep, 16_lag_pdoSSTjfm, 9_lag_cetTSjfm, 11_lag_eurPSLjfm, 17_lag_naoPSLjfm, 15_lag_traFB, 4_lag_traBO, 23_lag_seurTSjfm, 15_lag_traWP, 20_lag_stratZ50ndj01, 21_lag_nhSICsep, 4_lag_stratZ50ndj01, 16_lag_traFSC, 4_lag_7_median_traIFC, 14_lag_nhSICsep, 18_lag_scpPSLjfm, 14_lag_satlSSTjfm, 16_lag_ormenSSTjfm, 18_lag_labSSTjfm, 23_lag_arcTSjfm, 10_lag_shSICsep, 4_lag_7_median_eapPSLjfm, 20_lag_nppc2SSTjfm, 21_lag_nppc3SSTjfm, 23_lag_naoPSLjfm, 4_lag_7_median_traEU, 14_lag_amoSSTmjjaso_2535_4"
