model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traFSC,slow,866.5,2005.5,0.4,15,1,1,21.594237990363286,0.21040612045000573,1755,"['1_lag_11_median_yrvPRjja', '1_lag_11_median_samPSLann', '1_lag_13_median_pdoSSTjfm', '1_lag_3_median_traIT', '1_lag_7_median_stratZ50ndj02', '1_lag_nchinaPRjja', '1_lag_9_median_nhTSjfm', '1_lag_9_median_traFB', '1_lag_5_median_ismPRjja', '11_lag_traBS', '1_lag_2_median_glTSjfm', '14_lag_mhfATL45', '1_lag_2_median_solFORC', '6_lag_eurPSLjfm', '1_lag_12_median_nhSICsep', '5_lag_naoPSLjfm', '11_lag_amoSSTmjjaso', '4_lag_shSICmar', '1_lag_12_median_alpi', '1_lag_14_median_mhfIP30', '1_lag_7_median_scpPSLjfm', '3_lag_traDS', '1_lag_3_median_atlSICjfm', '14_lag_stratZ50ndj02', '11_lag_samPSLann', '11_lag_cetTSjfm', '1_lag_12_median_traIFC', '1_lag_3_median_traTLS', '3_lag_nhSICsep', '1_lag_12_median_traBO']","[6.416661590385642, 2.2380064957182064, 8.130529624688219, 0.07003263049075059, 6.865450657198105, 5.363300482668906, 2.1017371123071733, 3.6773006454911243, 3.464334353944243, 0.29980926552248377, 2.352212441305861, 9.40865119686462, 3.5411988278993167, 4.0200096536695495, 2.927119310828388, 2.1299561804523854, 0.6761455345950207, 2.011370570783038, 3.914813847843323, 8.337947266511996, 3.2173449329633392, 5.899618044520503, 7.118475327966209, 5.250625040940719, 2.3710350847953023, 6.7414066662555285, 5.126420284448536, 2.880915750587503, 2.4637013888989623, 5.408827055595438]","1_lag_11_median_yrvPRjja, 1_lag_11_median_samPSLann, 1_lag_13_median_pdoSSTjfm, 1_lag_3_median_traIT, 1_lag_7_median_stratZ50ndj02, 1_lag_nchinaPRjja, 1_lag_9_median_nhTSjfm, 1_lag_9_median_traFB, 1_lag_5_median_ismPRjja, 11_lag_traBS, 1_lag_2_median_glTSjfm, 14_lag_mhfATL45, 1_lag_2_median_solFORC, 6_lag_eurPSLjfm, 1_lag_12_median_nhSICsep, 5_lag_naoPSLjfm, 11_lag_amoSSTmjjaso, 4_lag_shSICmar, 1_lag_12_median_alpi, 1_lag_14_median_mhfIP30, 1_lag_7_median_scpPSLjfm, 3_lag_traDS, 1_lag_3_median_atlSICjfm, 14_lag_stratZ50ndj02, 11_lag_samPSLann, 11_lag_cetTSjfm, 1_lag_12_median_traIFC, 1_lag_3_median_traTLS, 3_lag_nhSICsep, 1_lag_12_median_traBO_1755_1"
LRforcedPSO,1,30,traFSC,slow,867.5,2005.5,0.4,16,1,1,21.486501958169903,0.19736411480581378,1885,"['1_lag_7_median_nppc3SSTjfm', '4_lag_ormenSSTjfm', '15_lag_amoSSTmjjaso', '1_lag_4_median_stratZ50ndj01', '4_lag_stratZ50ndj03', '1_lag_5_median_traDP', '10_lag_samPSLann', '14_lag_traIFC', '7_lag_traMC', '1_lag_traIT', '1_lag_8_median_traFSC', '13_lag_traFSC', '1_lag_4_median_yrvPRjja', '1_lag_5_median_shTSjfm', '1_lag_traFS', '10_lag_tripol1', '1_lag_2_median_traDS', '12_lag_amo3', '5_lag_amo2', '1_lag_5_median_mhfIP30', '1_lag_7_median_shSICsep', '6_lag_scpPSLjfm', '9_lag_nhSICsep', '1_lag_6_median_seurTSjfm', '1_lag_traBS', '1_lag_15_median_eurPSLjfm', '1_lag_15_median_yrvPRjja', '1_lag_11_median_mhfATL45', '7_lag_mhfATL45', '1_lag_11_median_nhTSjfm']","[6.551564022908572, 6.234480624681254, 4.455510334893653, 0.9876538806210391, 1.9077423069069948, 3.926139052615465, 3.6804114582442793, 0.566196454730628, 2.808382844124761, 3.481557181943014, 7.42676527315767, 8.088117893271614, 7.816407416512064, 2.3443100657500864, 6.965400611497166, 0.9363430759247784, 0.8946150297929822, 1.1054107001779236, 8.39380065236842, 0.38511732159606993, 0.3666176818509719, 6.327772224668992, 5.0996547832581705, 2.4063521977452567, 6.107154923461167, 4.893480460666357, 2.502545974149717, 2.819879293920115, 1.8627285113524668, 0.663193907835165]","1_lag_7_median_nppc3SSTjfm, 4_lag_ormenSSTjfm, 15_lag_amoSSTmjjaso, 1_lag_4_median_stratZ50ndj01, 4_lag_stratZ50ndj03, 1_lag_5_median_traDP, 10_lag_samPSLann, 14_lag_traIFC, 7_lag_traMC, 1_lag_traIT, 1_lag_8_median_traFSC, 13_lag_traFSC, 1_lag_4_median_yrvPRjja, 1_lag_5_median_shTSjfm, 1_lag_traFS, 10_lag_tripol1, 1_lag_2_median_traDS, 12_lag_amo3, 5_lag_amo2, 1_lag_5_median_mhfIP30, 1_lag_7_median_shSICsep, 6_lag_scpPSLjfm, 9_lag_nhSICsep, 1_lag_6_median_seurTSjfm, 1_lag_traBS, 1_lag_15_median_eurPSLjfm, 1_lag_15_median_yrvPRjja, 1_lag_11_median_mhfATL45, 7_lag_mhfATL45, 1_lag_11_median_nhTSjfm_1885_1"
LRforcedPSO,2,30,traFSC,slow,868.5,2005.5,0.4,17,1,1,21.100604930928295,0.06694078884688527,2015,"['8_lag_glTSjfm', '1_lag_2_median_traTLS', '1_lag_9_median_stratZ50ndj04', '1_lag_7_median_pdoSSTjfm', '1_lag_9_median_amoSSTmjjaso', '1_lag_8_median_nchinaPRjja', '15_lag_cetTSjfm', '5_lag_ismPRjja', '8_lag_traBO', '6_lag_solFORC', '5_lag_nhSICjfm', '5_lag_eapPSLjfm', '1_lag_12_median_amoSSTmjjaso', '1_lag_16_median_stratZ50ndj04', '1_lag_2_median_traIFC', '1_lag_3_median_traFSC', '11_lag_nhSICsep', '9_lag_mhfATL30', '1_lag_5_median_wnorPRjfm', '2_lag_seurTSjfm', '1_lag_satlSSTjfm', '1_lag_11_median_stratZ50ndj01', '1_lag_16_median_nppc3SSTjfm', '1_lag_8_median_ginwSSTjfm', '1_lag_12_median_shSICsep', '1_lag_8_median_ismPRjja', '1_lag_6_median_naoPSLjfm', '11_lag_traTLS', '3_lag_tripol3', '15_lag_traFSC']","[3.318638461622898, 0.007225002343112408, 0.26868254605743935, 1.7218566645459923, 8.70714439238332, 0.05914321658633703, 8.51477667408297, 0.41902482897485527, 7.080289949694977, 2.516553260083601, 4.635947755656684, 5.638207944276225, 8.019054188434296, 2.3347247188068243, 1.628377729781704, 9.311155289212945, 3.0132116032613254, 7.216559441754744, 2.0997353549076774, 2.9330153900620424, 5.468277314967969, 1.406650715152626, 4.210913097053119, 1.2066138596793348, 2.0899283422318398, 1.261688672910708, 2.43187280388131, 9.888747692366799, 3.6466981918815193, 3.7968903112690793]","8_lag_glTSjfm, 1_lag_2_median_traTLS, 1_lag_9_median_stratZ50ndj04, 1_lag_7_median_pdoSSTjfm, 1_lag_9_median_amoSSTmjjaso, 1_lag_8_median_nchinaPRjja, 15_lag_cetTSjfm, 5_lag_ismPRjja, 8_lag_traBO, 6_lag_solFORC, 5_lag_nhSICjfm, 5_lag_eapPSLjfm, 1_lag_12_median_amoSSTmjjaso, 1_lag_16_median_stratZ50ndj04, 1_lag_2_median_traIFC, 1_lag_3_median_traFSC, 11_lag_nhSICsep, 9_lag_mhfATL30, 1_lag_5_median_wnorPRjfm, 2_lag_seurTSjfm, 1_lag_satlSSTjfm, 1_lag_11_median_stratZ50ndj01, 1_lag_16_median_nppc3SSTjfm, 1_lag_8_median_ginwSSTjfm, 1_lag_12_median_shSICsep, 1_lag_8_median_ismPRjja, 1_lag_6_median_naoPSLjfm, 11_lag_traTLS, 3_lag_tripol3, 15_lag_traFSC_2015_1"
LRforcedPSO,3,30,traFSC,slow,869.5,2005.5,0.4,18,1,1,24.644406175632593,0.03728784663442684,2145,"['15_lag_yrvPRjja', '1_lag_7_median_traDP', '10_lag_solFORC', '1_lag_15_median_glTSjfm', '1_lag_7_median_stratZ50ndj02', '2_lag_nppc2SSTjfm', '3_lag_stratZ50ndj03', '2_lag_stratZ50ndj04', '5_lag_scpPSLjfm', '10_lag_stratZ50ndj03', '1_lag_8_median_traTLS', '17_lag_scpPSLjfm', '1_lag_11_median_AMOCann', '6_lag_ensoSSTjfm', '10_lag_tripol1', '1_lag_5_median_scpPSLjfm', '1_lag_stratZ50ndj01', '1_lag_5_median_nppc2SSTjfm', '4_lag_stratZ50ndj01', '1_lag_15_median_traWP', '1_lag_3_median_ismPRjja', '11_lag_traMC', '1_lag_3_median_traCA', '5_lag_traFSC', '6_lag_labSSTjfm', '1_lag_11_median_mhfATL30', '1_lag_7_median_traWP', '1_lag_traEC', '8_lag_stratZ50ndj04', '14_lag_yrvPRjja']","[0.4109111467191102, 3.3796122794590584, 4.507787551219922, 6.456706526782114, 1.3272477775710616, 7.458554371630349, 6.734810020533992, 3.0827919717855856, 5.243499432286267, 6.7240300526359675, 1.3621647025797365, 3.6362150342959643, 6.701521237354262, 2.0620529762021143, 7.229493619746712, 1.8741239544482937, 4.864933168038714, 9.291237860733697, 5.356027287282144, 3.0277853737826543, 9.964501477485758, 2.669885828521533, 7.196997477757076, 5.92860389359144, 5.612314781432035, 1.1253909632206138, 0.099107247501653, 3.0000312195478465, 4.855183168806885, 0.20617626590537164]","15_lag_yrvPRjja, 1_lag_7_median_traDP, 10_lag_solFORC, 1_lag_15_median_glTSjfm, 1_lag_7_median_stratZ50ndj02, 2_lag_nppc2SSTjfm, 3_lag_stratZ50ndj03, 2_lag_stratZ50ndj04, 5_lag_scpPSLjfm, 10_lag_stratZ50ndj03, 1_lag_8_median_traTLS, 17_lag_scpPSLjfm, 1_lag_11_median_AMOCann, 6_lag_ensoSSTjfm, 10_lag_tripol1, 1_lag_5_median_scpPSLjfm, 1_lag_stratZ50ndj01, 1_lag_5_median_nppc2SSTjfm, 4_lag_stratZ50ndj01, 1_lag_15_median_traWP, 1_lag_3_median_ismPRjja, 11_lag_traMC, 1_lag_3_median_traCA, 5_lag_traFSC, 6_lag_labSSTjfm, 1_lag_11_median_mhfATL30, 1_lag_7_median_traWP, 1_lag_traEC, 8_lag_stratZ50ndj04, 14_lag_yrvPRjja_2145_1"
LRforcedPSO,4,30,traFSC,slow,870.5,2005.5,0.4,19,1,1,24.22813935203102,-0.06427370322448783,2275,"['13_lag_seurTSjfm', '16_lag_naoPSLjfm', '17_lag_seurTSjfm', '3_lag_traDS', '1_lag_traDP', '11_lag_traIFC', '1_lag_11_median_solFORC', '1_lag_10_median_AMOCann', '3_lag_nppc3SSTjfm', '13_lag_traFB', '1_lag_14_median_ormenSSTjfm', '11_lag_eurPSLjfm', '1_lag_13_median_traTLS', '8_lag_amo3', '16_lag_arcTSjfm', '6_lag_tripol1', '1_lag_7_median_traBS', '1_lag_12_median_traFB', '14_lag_traBS', '1_lag_14_median_shSICmar', '16_lag_traTLS', '1_lag_8_median_alpi', '9_lag_traFB', '11_lag_labSSTjfm', '16_lag_mhfATL30', '1_lag_6_median_labSSTjfm', '1_lag_16_median_amo2', '1_lag_7_median_traDP', '1_lag_12_median_traTLS', '1_lag_6_median_traTLS']","[0.1075698689054363, 1.2067019631535096, 2.3727603102783377, 0.238768055275834, 3.754007543748843, 0.4032295755120465, 5.230207812965649, 0.4578138533889735, 6.853172956273216, 2.241225112482528, 6.954850344590074, 1.8323308598834487, 8.345358664544388, 0.9144656115308898, 6.454480644774843, 1.1384120977922159, 3.6832813078715336, 1.5847138898111304, 0.3140620423771523, 8.409254676028207, 0.0563323438680392, 3.910699476780122, 9.133825188047592, 6.143778736368688, 0.2964621223554236, 4.933345182708613, 7.159873264075593, 6.306829239948431, 6.453738186318269, 3.29694089165113]","13_lag_seurTSjfm, 16_lag_naoPSLjfm, 17_lag_seurTSjfm, 3_lag_traDS, 1_lag_traDP, 11_lag_traIFC, 1_lag_11_median_solFORC, 1_lag_10_median_AMOCann, 3_lag_nppc3SSTjfm, 13_lag_traFB, 1_lag_14_median_ormenSSTjfm, 11_lag_eurPSLjfm, 1_lag_13_median_traTLS, 8_lag_amo3, 16_lag_arcTSjfm, 6_lag_tripol1, 1_lag_7_median_traBS, 1_lag_12_median_traFB, 14_lag_traBS, 1_lag_14_median_shSICmar, 16_lag_traTLS, 1_lag_8_median_alpi, 9_lag_traFB, 11_lag_labSSTjfm, 16_lag_mhfATL30, 1_lag_6_median_labSSTjfm, 1_lag_16_median_amo2, 1_lag_7_median_traDP, 1_lag_12_median_traTLS, 1_lag_6_median_traTLS_2275_1"
LRforcedPSO,5,30,traFSC,slow,871.5,2005.5,0.4,20,1,1,22.848491766303432,0.06471899218983351,2405,"['1_lag_16_median_mhfATL45', '4_lag_traDP', '19_lag_traDS', '11_lag_traDS', '7_lag_traFB', '15_lag_traEU', '6_lag_amo2', '1_lag_3_median_amo1', '1_lag_4_median_traFB', '9_lag_mhfIP30', '1_lag_10_median_stratZ50ndj02', '1_lag_19_median_traEU', '1_lag_15_median_glTSjfm', '1_lag_11_median_wnorPRjfm', '1_lag_14_median_nppc3SSTjfm', '14_lag_amoSSTmjjaso', '1_lag_5_median_ormenSSTjfm', '1_lag_15_median_scpPSLjfm', '8_lag_ormenSSTjfm', '1_lag_14_median_traFS', '7_lag_ismPRjja', '14_lag_nppc3SSTjfm', '1_lag_15_median_tripol2', '1_lag_6_median_eapPSLjfm', '18_lag_arcTSjfm', '15_lag_ensoSSTjfm', '1_lag_12_median_nhSICsep', '1_lag_13_median_shSICsep', '12_lag_mhfATL60', '18_lag_eapPSLjfm']","[1.7950366928225918, 7.024875245437756, 2.9801350868693515, 9.913584447042012, 9.140025171490326, 4.215175944153248, 0.17760385501214415, 3.890305063416392, 1.1143990472890248, 3.9736111613695506, 3.0703982713583233, 8.133320935188976, 2.322458590357108, 6.01443984850561, 2.2742597127068827, 4.276636210579849, 6.0222100441157345, 4.685645684322957, 4.936569558555027, 7.266689672057012, 6.292405705286965, 1.3657191498338932, 2.844212555718741, 2.5785735154311844, 0.778302722818875, 6.237432744533223, 6.823256260249309, 5.549877533184892, 1.7453886160071512, 4.992816170031206]","1_lag_16_median_mhfATL45, 4_lag_traDP, 19_lag_traDS, 11_lag_traDS, 7_lag_traFB, 15_lag_traEU, 6_lag_amo2, 1_lag_3_median_amo1, 1_lag_4_median_traFB, 9_lag_mhfIP30, 1_lag_10_median_stratZ50ndj02, 1_lag_19_median_traEU, 1_lag_15_median_glTSjfm, 1_lag_11_median_wnorPRjfm, 1_lag_14_median_nppc3SSTjfm, 14_lag_amoSSTmjjaso, 1_lag_5_median_ormenSSTjfm, 1_lag_15_median_scpPSLjfm, 8_lag_ormenSSTjfm, 1_lag_14_median_traFS, 7_lag_ismPRjja, 14_lag_nppc3SSTjfm, 1_lag_15_median_tripol2, 1_lag_6_median_eapPSLjfm, 18_lag_arcTSjfm, 15_lag_ensoSSTjfm, 1_lag_12_median_nhSICsep, 1_lag_13_median_shSICsep, 12_lag_mhfATL60, 18_lag_eapPSLjfm_2405_1"
LRforcedPSO,6,30,traFSC,slow,872.5,2005.5,0.4,21,1,1,21.61774097002707,0.16215273446090536,2535,"['1_lag_18_median_traMC', '2_lag_ormenSSTjfm', '4_lag_traFSC', '1_lag_5_median_tripol3', '10_lag_traMC', '18_lag_amo1', '1_lag_8_median_stratZ50ndj02', '1_lag_4_median_ensoSSTjfm', '4_lag_traMC', '1_lag_9_median_scpPSLjfm', '12_lag_traDP', '1_lag_16_median_eapPSLjfm', '1_lag_2_median_tripol2', '1_lag_2_median_ensoSSTjfm', '1_lag_11_median_nppc2SSTjfm', '20_lag_traDS', '1_lag_7_median_mhfATL45', '6_lag_traMC', '1_lag_4_median_ormenSSTjfm', '3_lag_shTSjfm', '13_lag_wnorPRjfm', '6_lag_samPSLann', '1_lag_4_median_amo3', '12_lag_traDS', '2_lag_tripol1', '1_lag_3_median_stratZ50ndj03', '19_lag_eapPSLjfm', '4_lag_stratZ50ndj03', '1_lag_18_median_traBS', '15_lag_traFB']","[3.89505619440669, 1.3432191516442522, 4.235180304665931, 6.4444719442843095, 1.0159283806478356, 5.070635447422909, 7.205406902407013, 8.167768623050591, 0.6854983948633109, 2.4194993726203595, 5.842965082200222, 3.6863316700236375, 6.146968472537129, 7.508103777084745, 1.3803348799005377, 7.844242889545285, 0.3695333706234827, 2.4368272170846783, 7.865328656272805, 6.3386346939929545, 0.6480079082710439, 4.731370777343638, 1.105695409508245, 6.835562753771658, 5.080926492530036, 9.727866633022046, 3.3935686436630093, 4.056893184770194, 3.1938711942517735, 1.6791630746600248]","1_lag_18_median_traMC, 2_lag_ormenSSTjfm, 4_lag_traFSC, 1_lag_5_median_tripol3, 10_lag_traMC, 18_lag_amo1, 1_lag_8_median_stratZ50ndj02, 1_lag_4_median_ensoSSTjfm, 4_lag_traMC, 1_lag_9_median_scpPSLjfm, 12_lag_traDP, 1_lag_16_median_eapPSLjfm, 1_lag_2_median_tripol2, 1_lag_2_median_ensoSSTjfm, 1_lag_11_median_nppc2SSTjfm, 20_lag_traDS, 1_lag_7_median_mhfATL45, 6_lag_traMC, 1_lag_4_median_ormenSSTjfm, 3_lag_shTSjfm, 13_lag_wnorPRjfm, 6_lag_samPSLann, 1_lag_4_median_amo3, 12_lag_traDS, 2_lag_tripol1, 1_lag_3_median_stratZ50ndj03, 19_lag_eapPSLjfm, 4_lag_stratZ50ndj03, 1_lag_18_median_traBS, 15_lag_traFB_2535_1"
LRforcedPSO,7,30,traFSC,slow,873.5,2005.5,0.4,22,2,2,23.620562651384198,-0.033434597739779096,2535,"['2_lag_3_median_nhSICsep', '6_lag_amoSSTmjjaso', '18_lag_glTSjfm', '16_lag_atlSICsep', '2_lag_nhSICsep', '14_lag_shTSjfm', '2_lag_21_median_satlSSTjfm', '2_lag_14_median_traIFC', '2_lag_19_median_arcTSjfm', '2_lag_4_median_shTSjfm', '2_lag_3_median_ormenSSTjfm', '2_lag_17_median_traEU', '8_lag_shSICmar', '2_lag_17_median_traIT', '2_lag_7_median_AMOCann', '5_lag_neurTSjfm', '10_lag_traEC', '3_lag_atlSICsep', '2_lag_19_median_gyreSSTjfm', '8_lag_wnorPRjfm', '11_lag_pdoSSTjfm', '2_lag_wnorPRjfm', '11_lag_mhfATL60', '2_lag_15_median_AMOCann', '2_lag_11_median_eurPSLjfm', '4_lag_solFORC', '2_lag_15_median_traFS', '2_lag_11_median_traBO', '6_lag_amo2', '2_lag_15_median_shSICmar']","[6.619490099525937, 1.4351682785024984, 3.39116975441077, 1.5711421544759183, 5.487506253137642, 9.171045480930495, 3.695555827854311, 5.351827094115507, 9.521012903001441, 1.2637921110173878, 2.097214879009379, 1.474758905561453, 5.726583600939929, 1.1274824731844806, 4.775382378660932, 7.80349793900879, 8.809931206392655, 6.1575181426327035, 4.181670949030563, 3.5393849040507863, 2.12910736903678, 3.8632486515332998, 5.296213341992775, 1.1649536848015192, 4.019754506485484, 4.100720993366988, 2.9445256343303967, 4.350656821585808, 0.2732373194247124, 2.358687841180343]","2_lag_3_median_nhSICsep, 6_lag_amoSSTmjjaso, 18_lag_glTSjfm, 16_lag_atlSICsep, 2_lag_nhSICsep, 14_lag_shTSjfm, 2_lag_21_median_satlSSTjfm, 2_lag_14_median_traIFC, 2_lag_19_median_arcTSjfm, 2_lag_4_median_shTSjfm, 2_lag_3_median_ormenSSTjfm, 2_lag_17_median_traEU, 8_lag_shSICmar, 2_lag_17_median_traIT, 2_lag_7_median_AMOCann, 5_lag_neurTSjfm, 10_lag_traEC, 3_lag_atlSICsep, 2_lag_19_median_gyreSSTjfm, 8_lag_wnorPRjfm, 11_lag_pdoSSTjfm, 2_lag_wnorPRjfm, 11_lag_mhfATL60, 2_lag_15_median_AMOCann, 2_lag_11_median_eurPSLjfm, 4_lag_solFORC, 2_lag_15_median_traFS, 2_lag_11_median_traBO, 6_lag_amo2, 2_lag_15_median_shSICmar_2535_2"
LRforcedPSO,8,30,traFSC,slow,874.5,2005.5,0.4,23,3,3,20.540874760902074,0.07379641736715983,2535,"['18_lag_arcTSjfm', '14_lag_mhfIP30', '7_lag_traIFC', '3_lag_21_median_nchinaPRjja', '12_lag_amo3', '4_lag_traFSC', '3_lag_20_median_glTSjfm', '5_lag_nhSICsep', '3_lag_5_median_ginwSSTjfm', '3_lag_16_median_tripol3', '3_lag_16_median_traDP', '18_lag_tripol3', '3_lag_17_median_stratZ50ndj04', '12_lag_traFB', '9_lag_traFSC', '14_lag_nchinaPRjja', '9_lag_tripol1', '3_lag_6_median_traFSC', '8_lag_AMOCann', '11_lag_traDS', '17_lag_gyreSSTjfm', '17_lag_amoSSTmjjaso', '3_lag_17_median_amoSSTmjjaso', '3_lag_9_median_atlSICsep', '6_lag_nhSICjfm', '3_lag_10_median_amo3', '3_lag_14_median_tripol1', '19_lag_labSSTjfm', '17_lag_AMOCann', '3_lag_19_median_amo2']","[8.5831972429481, 1.9616799025848195, 1.016919052373419, 4.897604004328013, 1.386018139250698, 7.535405374633619, 3.744412974033353, 7.026935396133236, 1.7163096308028365, 4.269458445892422, 4.214500845206574, 0.8724296205008049, 9.355579452791417, 1.70630266091543, 0.8188197286150949, 9.498055086943914, 9.419210402052954, 5.167503849433931, 0.615802437829128, 7.808285206069394, 5.503477266344074, 2.978559757261589, 8.959355661479371, 3.643042176705073, 0.039248275703203106, 7.151413032252907, 9.476315696647355, 2.40563802703031, 2.816397890167199, 3.9516874783746303]","18_lag_arcTSjfm, 14_lag_mhfIP30, 7_lag_traIFC, 3_lag_21_median_nchinaPRjja, 12_lag_amo3, 4_lag_traFSC, 3_lag_20_median_glTSjfm, 5_lag_nhSICsep, 3_lag_5_median_ginwSSTjfm, 3_lag_16_median_tripol3, 3_lag_16_median_traDP, 18_lag_tripol3, 3_lag_17_median_stratZ50ndj04, 12_lag_traFB, 9_lag_traFSC, 14_lag_nchinaPRjja, 9_lag_tripol1, 3_lag_6_median_traFSC, 8_lag_AMOCann, 11_lag_traDS, 17_lag_gyreSSTjfm, 17_lag_amoSSTmjjaso, 3_lag_17_median_amoSSTmjjaso, 3_lag_9_median_atlSICsep, 6_lag_nhSICjfm, 3_lag_10_median_amo3, 3_lag_14_median_tripol1, 19_lag_labSSTjfm, 17_lag_AMOCann, 3_lag_19_median_amo2_2535_3"
LRforcedPSO,9,30,traFSC,slow,875.5,2005.5,0.4,24,4,4,22.446852381554997,-0.06354267336436997,2535,"['4_lag_7_median_ginwSSTjfm', '5_lag_pdoSSTjfm', '19_lag_amoSSTmjjaso', '4_lag_19_median_samPSLann', '12_lag_traIT', '4_lag_23_median_wnorPRjfm', '15_lag_traFS', '4_lag_18_median_nhTSjfm', '14_lag_nppc2SSTjfm', '7_lag_shSICmar', '4_lag_14_median_eapPSLjfm', '4_lag_13_median_ismPRjja', '19_lag_traBO', '10_lag_traCA', '17_lag_eapPSLjfm', '4_lag_19_median_amo3', '4_lag_18_median_shSICsep', '4_lag_13_median_traCA', '19_lag_atlSICsep', '5_lag_nppc2SSTjfm', '14_lag_ensoSSTjfm', '22_lag_atlSICjfm', '4_lag_22_median_amo3', '10_lag_nhTSjfm', '4_lag_10_median_wnorPRjfm', '4_lag_nhSICjfm', '10_lag_alpi', '22_lag_AMOCann', '11_lag_traFSC', '4_lag_12_median_nhSICsep']","[0.17519043851117289, 5.415985293701782, 0.7965439071656029, 3.014713878749573, 8.659644717649451, 5.410753358861575, 6.145074546923343, 6.525987335367333, 4.343660578557175, 2.419105277575449, 0.8569520047238921, 4.782791737391383, 4.862522887504122, 1.9126658666166119, 4.043670735498726, 5.377942136483174, 1.472941643488877, 1.1422229823811456, 2.0698727546766875, 2.2451314634056674, 0.21858724686022235, 4.871248930428525, 2.0075855360266903, 3.9798058599311448, 8.154406940153699, 7.436083520174339, 6.643305432425257, 7.63710337312234, 3.768063338540159, 4.235921658100925]","4_lag_7_median_ginwSSTjfm, 5_lag_pdoSSTjfm, 19_lag_amoSSTmjjaso, 4_lag_19_median_samPSLann, 12_lag_traIT, 4_lag_23_median_wnorPRjfm, 15_lag_traFS, 4_lag_18_median_nhTSjfm, 14_lag_nppc2SSTjfm, 7_lag_shSICmar, 4_lag_14_median_eapPSLjfm, 4_lag_13_median_ismPRjja, 19_lag_traBO, 10_lag_traCA, 17_lag_eapPSLjfm, 4_lag_19_median_amo3, 4_lag_18_median_shSICsep, 4_lag_13_median_traCA, 19_lag_atlSICsep, 5_lag_nppc2SSTjfm, 14_lag_ensoSSTjfm, 22_lag_atlSICjfm, 4_lag_22_median_amo3, 10_lag_nhTSjfm, 4_lag_10_median_wnorPRjfm, 4_lag_nhSICjfm, 10_lag_alpi, 22_lag_AMOCann, 11_lag_traFSC, 4_lag_12_median_nhSICsep_2535_4"
