model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traIFC,slow,1714.5,2005.5,0.6,15,1,1,19.261552205573107,0.14203213959907773,1755,"['13_lag_eapPSLjfm', '1_lag_7_median_traWP', '10_lag_traBO', '1_lag_11_median_mhfATL30', '1_lag_10_median_mhfATL60', '14_lag_yrvPRjja', '6_lag_eapPSLjfm', '2_lag_mhfATL30', '1_lag_11_median_stratZ50ndj04', '1_lag_11_median_nppc2SSTjfm', '1_lag_8_median_traIFC', '1_lag_5_median_amo3', '1_lag_10_median_nhTSjfm', '2_lag_mhfATL45', '6_lag_traFSC', '1_lag_14_median_atlSICjfm', '1_lag_14_median_traFSC', '1_lag_7_median_ensoSSTjfm', '1_lag_11_median_shSICsep', '11_lag_stratZ50ndj03', '3_lag_mhfATL45', '1_lag_5_median_traFS', '1_lag_2_median_seurTSjfm', '8_lag_atlSICsep', '3_lag_traWP', '12_lag_neurTSjfm', '1_lag_10_median_traMC', '8_lag_traFSC', '1_lag_13_median_seurTSjfm', '1_lag_9_median_ginwSSTjfm']","[0.24185807536744264, 9.209441743402127, 9.595377360065182, 6.708113108020093, 7.592086835245656, 0.04031255931433364, 4.078110178475971, 1.0096189072394228, 8.836405662512952, 9.217469249513599, 3.6682358439285423, 4.311903920990076, 1.4280358544010667, 2.486329232515036, 3.404544172530411, 8.98978025402668, 1.464165430547224, 3.01500177864952, 4.444765731528976, 1.0538539127149953, 1.9510027356157629, 5.289084306086863, 6.079144518384014, 2.026784953722796, 3.545283560346755, 4.359828737236839, 5.731858381614806, 1.6602016845891008, 9.421144442947798, 6.157765175858012]","13_lag_eapPSLjfm, 1_lag_7_median_traWP, 10_lag_traBO, 1_lag_11_median_mhfATL30, 1_lag_10_median_mhfATL60, 14_lag_yrvPRjja, 6_lag_eapPSLjfm, 2_lag_mhfATL30, 1_lag_11_median_stratZ50ndj04, 1_lag_11_median_nppc2SSTjfm, 1_lag_8_median_traIFC, 1_lag_5_median_amo3, 1_lag_10_median_nhTSjfm, 2_lag_mhfATL45, 6_lag_traFSC, 1_lag_14_median_atlSICjfm, 1_lag_14_median_traFSC, 1_lag_7_median_ensoSSTjfm, 1_lag_11_median_shSICsep, 11_lag_stratZ50ndj03, 3_lag_mhfATL45, 1_lag_5_median_traFS, 1_lag_2_median_seurTSjfm, 8_lag_atlSICsep, 3_lag_traWP, 12_lag_neurTSjfm, 1_lag_10_median_traMC, 8_lag_traFSC, 1_lag_13_median_seurTSjfm, 1_lag_9_median_ginwSSTjfm_1755_1"
LRforcedPSO,1,30,traIFC,slow,1715.5,2005.5,0.6,16,1,1,31.278274123930164,0.10069041795538167,1885,"['1_lag_8_median_satlSSTjfm', '1_lag_6_median_shTSjfm', '1_lag_8_median_nchinaPRjja', '1_lag_7_median_samPSLann', '1_lag_15_median_amo2', '1_lag_12_median_satlSSTjfm', '1_lag_6_median_traFSC', '13_lag_mhfATL30', '7_lag_atlSICjfm', '1_lag_6_median_glTSjfm', '1_lag_3_median_atlSICsep', '3_lag_satlSSTjfm', '9_lag_nchinaPRjja', '1_lag_9_median_shTSjfm', '1_lag_11_median_traDS', '1_lag_5_median_cetTSjfm', '6_lag_traWP', '1_lag_4_median_nppc2SSTjfm', '1_lag_9_median_gyreSSTjfm', '10_lag_stratZ50ndj01', '1_lag_traDS', '1_lag_10_median_amo2', '1_lag_12_median_mhfATL30', '14_lag_eapPSLjfm', '1_lag_7_median_stratZ50ndj03', '11_lag_tripol1', '10_lag_nhTSjfm', '15_lag_samPSLann', '8_lag_traMC', '4_lag_nhSICjfm']","[5.081496080476637, 2.394114758868433, 7.119670555748225, 0.4411645638509132, 5.996654346514092, 3.188281449796957, 3.7457539450661486, 5.748957962306402, 2.596760066598387, 2.9484519842315215, 2.6799210440620502, 2.256350958573594, 3.9442049895127838, 6.613812422742214, 0.7563139816186055, 9.756592019844337, 0.4214351612939655, 2.6263026293454743, 2.71828993036517, 2.0288233311803676, 6.237344678786927, 2.5874584155901736, 8.195952356213176, 2.3578057590543233, 0.10823169526089593, 0.8451365070567611, 9.019095136959393, 7.107588978999832, 1.2874505369370084, 3.5757423347987194]","1_lag_8_median_satlSSTjfm, 1_lag_6_median_shTSjfm, 1_lag_8_median_nchinaPRjja, 1_lag_7_median_samPSLann, 1_lag_15_median_amo2, 1_lag_12_median_satlSSTjfm, 1_lag_6_median_traFSC, 13_lag_mhfATL30, 7_lag_atlSICjfm, 1_lag_6_median_glTSjfm, 1_lag_3_median_atlSICsep, 3_lag_satlSSTjfm, 9_lag_nchinaPRjja, 1_lag_9_median_shTSjfm, 1_lag_11_median_traDS, 1_lag_5_median_cetTSjfm, 6_lag_traWP, 1_lag_4_median_nppc2SSTjfm, 1_lag_9_median_gyreSSTjfm, 10_lag_stratZ50ndj01, 1_lag_traDS, 1_lag_10_median_amo2, 1_lag_12_median_mhfATL30, 14_lag_eapPSLjfm, 1_lag_7_median_stratZ50ndj03, 11_lag_tripol1, 10_lag_nhTSjfm, 15_lag_samPSLann, 8_lag_traMC, 4_lag_nhSICjfm_1885_1"
LRforcedPSO,2,30,traIFC,slow,1716.5,2005.5,0.6,17,1,1,50.69522525461416,0.03387803077026692,2015,"['1_lag_11_median_traFSC', '16_lag_traDS', '13_lag_tripol2', '1_lag_15_median_traMC', '1_lag_3_median_glomaSSTjfm', '1_lag_7_median_samPSLann', '11_lag_solFORC', '12_lag_nchinaPRjja', '2_lag_gyreSSTjfm', '1_lag_13_median_glomaSSTjfm', '1_lag_14_median_ginwSSTjfm', '14_lag_eurPSLjfm', '1_lag_15_median_amoSSTmjjaso', '1_lag_6_median_traFB', '6_lag_amoSSTmjjaso', '15_lag_cetTSjfm', '2_lag_atlSICjfm', '5_lag_ginwSSTjfm', '1_lag_11_median_tripol1', '1_lag_12_median_glTSjfm', '1_lag_15_median_glomaSSTjfm', '8_lag_traDP', '6_lag_eurPSLjfm', '1_lag_10_median_traBO', '9_lag_tripol3', '1_lag_8_median_yrvPRjja', '1_lag_12_median_traIT', '11_lag_atlSICsep', '1_lag_11_median_arcTSjfm', '1_lag_10_median_tripol1']","[4.490625710576047, 8.635442290856636, 4.6562252280423255, 2.178502914029165, 3.0307859700888216, 9.344342064999797, 4.428817407540782, 7.010138467330805, 4.9177092192859835, 8.258100556770913, 2.000359183053167, 5.653285576073907, 2.508241411092815, 7.935658610913938, 3.360103725435783, 7.271254405437816, 3.376285531019178, 2.563443960811071, 2.6563498769387834, 0.5875167571422484, 2.991970354671003, 5.73618557150472, 3.4206762752758184, 6.157642459263357, 3.883208440508339, 6.576550085562708, 0.41164153947564586, 1.1403684941959682, 2.9508983572138128, 9.483913874561885]","1_lag_11_median_traFSC, 16_lag_traDS, 13_lag_tripol2, 1_lag_15_median_traMC, 1_lag_3_median_glomaSSTjfm, 1_lag_7_median_samPSLann, 11_lag_solFORC, 12_lag_nchinaPRjja, 2_lag_gyreSSTjfm, 1_lag_13_median_glomaSSTjfm, 1_lag_14_median_ginwSSTjfm, 14_lag_eurPSLjfm, 1_lag_15_median_amoSSTmjjaso, 1_lag_6_median_traFB, 6_lag_amoSSTmjjaso, 15_lag_cetTSjfm, 2_lag_atlSICjfm, 5_lag_ginwSSTjfm, 1_lag_11_median_tripol1, 1_lag_12_median_glTSjfm, 1_lag_15_median_glomaSSTjfm, 8_lag_traDP, 6_lag_eurPSLjfm, 1_lag_10_median_traBO, 9_lag_tripol3, 1_lag_8_median_yrvPRjja, 1_lag_12_median_traIT, 11_lag_atlSICsep, 1_lag_11_median_arcTSjfm, 1_lag_10_median_tripol1_2015_1"
LRforcedPSO,3,30,traIFC,slow,1717.5,2005.5,0.6,18,1,1,37.7685304872597,-0.08447104831055975,2145,"['1_lag_9_median_shTSjfm', '1_lag_13_median_traDS', '12_lag_cetTSjfm', '1_lag_7_median_yrvPRjja', '16_lag_traFSC', '1_lag_9_median_shSICsep', '17_lag_AMOCann', '1_lag_15_median_stratZ50ndj01', '17_lag_amoSSTmjjaso', '1_lag_7_median_arcTSjfm', '11_lag_nppc2SSTjfm', '9_lag_samPSLann', '1_lag_amo1', '1_lag_7_median_traEU', '1_lag_16_median_labSSTjfm', '2_lag_naoPSLjfm', '9_lag_naoPSLjfm', '1_lag_13_median_stratZ50ndj01', '1_lag_17_median_samPSLann', '13_lag_yrvPRjja', '1_lag_13_median_traEU', '16_lag_nhSICjfm', '6_lag_naoPSLjfm', '4_lag_shTSjfm', '3_lag_traBS', '11_lag_stratZ50ndj03', '11_lag_shSICsep', '7_lag_tripol2', '11_lag_naoPSLjfm', '16_lag_scpPSLjfm']","[5.312245961918971, 7.624103204182447, 2.108382786017044, 7.42156702901611, 9.953491212102115, 1.89617200254634, 5.258397925047635, 7.27600365162562, 8.622189585157741, 9.486348065819001, 0.8607586055827525, 3.2726501760778888, 0.10284465963314382, 2.065100077868877, 5.675734652231082, 1.7802185901566503, 0.34603998334104347, 9.316032312756334, 3.491212723029495, 2.314361645617817, 8.700123759818915, 0.9960559041831711, 4.252721484913804, 3.0409107843008627, 8.38541358903987, 5.5775743460302785, 1.3788291663428502, 0.7980054970252155, 2.6398554233240823, 1.5393506740732406]","1_lag_9_median_shTSjfm, 1_lag_13_median_traDS, 12_lag_cetTSjfm, 1_lag_7_median_yrvPRjja, 16_lag_traFSC, 1_lag_9_median_shSICsep, 17_lag_AMOCann, 1_lag_15_median_stratZ50ndj01, 17_lag_amoSSTmjjaso, 1_lag_7_median_arcTSjfm, 11_lag_nppc2SSTjfm, 9_lag_samPSLann, 1_lag_amo1, 1_lag_7_median_traEU, 1_lag_16_median_labSSTjfm, 2_lag_naoPSLjfm, 9_lag_naoPSLjfm, 1_lag_13_median_stratZ50ndj01, 1_lag_17_median_samPSLann, 13_lag_yrvPRjja, 1_lag_13_median_traEU, 16_lag_nhSICjfm, 6_lag_naoPSLjfm, 4_lag_shTSjfm, 3_lag_traBS, 11_lag_stratZ50ndj03, 11_lag_shSICsep, 7_lag_tripol2, 11_lag_naoPSLjfm, 16_lag_scpPSLjfm_2145_1"
LRforcedPSO,4,30,traIFC,slow,1718.5,2005.5,0.6,19,1,1,22.932115449093054,-0.02574117596890857,2275,"['1_lag_13_median_seurTSjfm', '1_lag_3_median_shSICmar', '3_lag_satlSSTjfm', '14_lag_shTSjfm', '4_lag_atlSICjfm', '11_lag_traEU', '1_lag_16_median_traDP', '7_lag_tripol1', '1_lag_3_median_glomaSSTjfm', '2_lag_mhfIP30', '1_lag_9_median_cetTSjfm', '1_lag_11_median_arcTSjfm', '15_lag_traIT', '1_lag_11_median_traIFC', '3_lag_traDP', '7_lag_neurTSjfm', '3_lag_traIT', '1_lag_4_median_solFORC', '1_lag_6_median_traBS', '1_lag_glomaSSTjfm', '5_lag_traBO', '13_lag_wnorPRjfm', '1_lag_15_median_stratZ50ndj01', '1_lag_14_median_traBS', '1_lag_9_median_traFSC', '1_lag_17_median_neurTSjfm', '1_lag_13_median_eapPSLjfm', '3_lag_ginwSSTjfm', '1_lag_2_median_traMC', '1_lag_nchinaPRjja']","[0.35320017072185195, 0.056554640177761684, 2.6088180923458246, 3.0193936173943463, 5.440612872590435, 2.792761628107634, 4.461229745562982, 3.0296551028754637, 4.662097772150462, 5.075132391970174, 2.1634312293305102, 3.2035111851165183, 9.583194171010438, 4.321364922768966, 0.07227015999521136, 8.211103503249749, 0.8079757137403654, 1.8881386363338333, 9.147899897227195, 0.5682843604279508, 3.070976271864849, 2.0762747894379974, 0.087925917363048, 1.635495479513347, 3.725262982762194, 1.0508465556973157, 0.7393756242388605, 7.3863355056226965, 5.350894568873741, 0.550189041719225]","1_lag_13_median_seurTSjfm, 1_lag_3_median_shSICmar, 3_lag_satlSSTjfm, 14_lag_shTSjfm, 4_lag_atlSICjfm, 11_lag_traEU, 1_lag_16_median_traDP, 7_lag_tripol1, 1_lag_3_median_glomaSSTjfm, 2_lag_mhfIP30, 1_lag_9_median_cetTSjfm, 1_lag_11_median_arcTSjfm, 15_lag_traIT, 1_lag_11_median_traIFC, 3_lag_traDP, 7_lag_neurTSjfm, 3_lag_traIT, 1_lag_4_median_solFORC, 1_lag_6_median_traBS, 1_lag_glomaSSTjfm, 5_lag_traBO, 13_lag_wnorPRjfm, 1_lag_15_median_stratZ50ndj01, 1_lag_14_median_traBS, 1_lag_9_median_traFSC, 1_lag_17_median_neurTSjfm, 1_lag_13_median_eapPSLjfm, 3_lag_ginwSSTjfm, 1_lag_2_median_traMC, 1_lag_nchinaPRjja_2275_1"
LRforcedPSO,5,30,traIFC,slow,1719.5,2005.5,0.6,20,1,1,24.841116189162598,-0.014632001323039674,2405,"['19_lag_atlSICjfm', '1_lag_12_median_shSICsep', '1_lag_19_median_traWP', '1_lag_14_median_atlSICjfm', '1_lag_14_median_seurTSjfm', '1_lag_11_median_scpPSLjfm', '1_lag_11_median_amo2', '1_lag_10_median_yrvPRjja', '1_lag_18_median_traFSC', '1_lag_2_median_satlSSTjfm', '7_lag_stratZ50ndj01', '18_lag_traCA', '1_lag_19_median_traFB', '1_lag_14_median_mhfATL30', '1_lag_10_median_stratZ50ndj04', '17_lag_stratZ50ndj03', '1_lag_2_median_shSICmar', '1_lag_9_median_atlSICjfm', '1_lag_16_median_stratZ50ndj04', '1_lag_11_median_mhfIP30', '9_lag_traEC', '9_lag_solFORC', '1_lag_5_median_nhSICjfm', '1_lag_16_median_labSSTjfm', '14_lag_arcTSjfm', '7_lag_stratZ50ndj02', '10_lag_traTLS', '6_lag_solFORC', '1_lag_15_median_nhSICjfm', '1_lag_19_median_traEC']","[1.6037421704143604, 9.331629781184713, 2.9963577256545353, 7.105881439269939, 3.886942389711601, 8.027100139673479, 0.35230439921421564, 7.178929491804343, 5.245246936958502, 1.6829182228864337, 8.047319986296841, 9.637670530886158, 5.136526540796961, 3.1734422045110904, 7.435721418833339, 1.4274397126395737, 2.845655483796012, 7.311478160667857, 7.21994254043593, 2.3413731898367534, 2.406381617578548, 2.5265464637744266, 7.515397520133387, 5.884661770532119, 2.341858767184082, 3.6531102300910483, 0.17882923561077035, 6.289643467453199, 3.661238884644762, 2.715120063386058]","19_lag_atlSICjfm, 1_lag_12_median_shSICsep, 1_lag_19_median_traWP, 1_lag_14_median_atlSICjfm, 1_lag_14_median_seurTSjfm, 1_lag_11_median_scpPSLjfm, 1_lag_11_median_amo2, 1_lag_10_median_yrvPRjja, 1_lag_18_median_traFSC, 1_lag_2_median_satlSSTjfm, 7_lag_stratZ50ndj01, 18_lag_traCA, 1_lag_19_median_traFB, 1_lag_14_median_mhfATL30, 1_lag_10_median_stratZ50ndj04, 17_lag_stratZ50ndj03, 1_lag_2_median_shSICmar, 1_lag_9_median_atlSICjfm, 1_lag_16_median_stratZ50ndj04, 1_lag_11_median_mhfIP30, 9_lag_traEC, 9_lag_solFORC, 1_lag_5_median_nhSICjfm, 1_lag_16_median_labSSTjfm, 14_lag_arcTSjfm, 7_lag_stratZ50ndj02, 10_lag_traTLS, 6_lag_solFORC, 1_lag_15_median_nhSICjfm, 1_lag_19_median_traEC_2405_1"
LRforcedPSO,6,30,traIFC,slow,1720.5,2005.5,0.6,21,1,1,34.178150577285344,-0.1119725747235946,2535,"['1_lag_2_median_mhfATL60', '1_lag_2_median_glTSjfm', '1_lag_5_median_eapPSLjfm', '11_lag_tripol2', '1_lag_15_median_alpi', '1_lag_12_median_traFS', '1_lag_19_median_traDP', '1_lag_10_median_neurTSjfm', '1_lag_ginwSSTjfm', '6_lag_traTLS', '1_lag_4_median_ensoSSTjfm', '11_lag_traBO', '5_lag_stratZ50ndj02', '1_lag_15_median_nhTSjfm', '6_lag_labSSTjfm', '1_lag_17_median_samPSLann', '10_lag_shSICmar', '1_lag_13_median_nhSICsep', '1_lag_4_median_nhSICsep', '1_lag_4_median_cetTSjfm', '1_lag_20_median_glTSjfm', '7_lag_stratZ50ndj04', '7_lag_glTSjfm', '10_lag_mhfATL30', '20_lag_mhfIP30', '9_lag_stratZ50ndj03', '13_lag_traEU', '4_lag_satlSSTjfm', '16_lag_stratZ50ndj03', '10_lag_scpPSLjfm']","[0.17397078777470298, 2.1763268560718707, 3.3548276010092675, 7.276751843078831, 5.06601027940372, 5.515013168915832, 1.878394922956856, 1.4819877775432921, 5.5715961839085315, 2.3874892009052413, 3.4622242519822866, 5.280223766395173, 6.4931259535084145, 1.3127142749365461, 3.1190202879628544, 7.9195343232850774, 2.7997459988350215, 4.046520285251576, 4.825549231454007, 0.8933196429564365, 9.610101929492036, 6.139311994727043, 7.925500164374572, 0.7000572514167853, 1.5539878516459904, 4.881618422729634, 7.661121089291811, 5.333016555709403, 1.4737251339830788, 4.985540057158445]","1_lag_2_median_mhfATL60, 1_lag_2_median_glTSjfm, 1_lag_5_median_eapPSLjfm, 11_lag_tripol2, 1_lag_15_median_alpi, 1_lag_12_median_traFS, 1_lag_19_median_traDP, 1_lag_10_median_neurTSjfm, 1_lag_ginwSSTjfm, 6_lag_traTLS, 1_lag_4_median_ensoSSTjfm, 11_lag_traBO, 5_lag_stratZ50ndj02, 1_lag_15_median_nhTSjfm, 6_lag_labSSTjfm, 1_lag_17_median_samPSLann, 10_lag_shSICmar, 1_lag_13_median_nhSICsep, 1_lag_4_median_nhSICsep, 1_lag_4_median_cetTSjfm, 1_lag_20_median_glTSjfm, 7_lag_stratZ50ndj04, 7_lag_glTSjfm, 10_lag_mhfATL30, 20_lag_mhfIP30, 9_lag_stratZ50ndj03, 13_lag_traEU, 4_lag_satlSSTjfm, 16_lag_stratZ50ndj03, 10_lag_scpPSLjfm_2535_1"
LRforcedPSO,7,30,traIFC,slow,1721.5,2005.5,0.6,22,2,2,31.146877436996284,-0.08631279134182294,2535,"['2_lag_7_median_mhfATL30', '3_lag_shSICmar', '7_lag_amo3', '15_lag_traBO', '2_lag_14_median_traEC', '2_lag_3_median_nhSICjfm', '2_lag_12_median_ginwSSTjfm', '2_lag_11_median_solFORC', '2_lag_9_median_traFSC', '7_lag_eurPSLjfm', '18_lag_traFS', '6_lag_AMOCann', '2_lag_9_median_stratZ50ndj03', '2_lag_9_median_traEU', '2_lag_19_median_traTLS', '6_lag_traBO', '3_lag_tripol3', '2_lag_scpPSLjfm', '16_lag_traDS', '2_lag_8_median_traMC', '19_lag_tripol3', '13_lag_amoSSTmjjaso', '2_lag_20_median_mhfATL30', '12_lag_traCA', '19_lag_gyreSSTjfm', '2_lag_10_median_solFORC', '7_lag_stratZ50ndj03', '8_lag_shSICmar', '2_lag_6_median_traTLS', '2_lag_12_median_cetTSjfm']","[7.4456906780268595, 3.1197533625938085, 2.263152648786768, 5.465670366447391, 0.8845034144338548, 2.9991440936189147, 9.64321832419326, 2.9787914182715785, 8.266782808000414, 4.386117512742496, 3.698577999304682, 2.085454056929823, 5.638378705845087, 3.3322415356186923, 4.654052607876215, 8.327263539146866, 9.765237371656681, 5.769614382745971, 1.7150152417760793, 8.851593660906946, 9.093910835759743, 0.994185544108861, 7.425358474161747, 3.421231711266417, 3.4009138991291294, 4.122705614834925, 4.49671391270466, 2.520140792321177, 4.394518958025715, 9.988698351730417]","2_lag_7_median_mhfATL30, 3_lag_shSICmar, 7_lag_amo3, 15_lag_traBO, 2_lag_14_median_traEC, 2_lag_3_median_nhSICjfm, 2_lag_12_median_ginwSSTjfm, 2_lag_11_median_solFORC, 2_lag_9_median_traFSC, 7_lag_eurPSLjfm, 18_lag_traFS, 6_lag_AMOCann, 2_lag_9_median_stratZ50ndj03, 2_lag_9_median_traEU, 2_lag_19_median_traTLS, 6_lag_traBO, 3_lag_tripol3, 2_lag_scpPSLjfm, 16_lag_traDS, 2_lag_8_median_traMC, 19_lag_tripol3, 13_lag_amoSSTmjjaso, 2_lag_20_median_mhfATL30, 12_lag_traCA, 19_lag_gyreSSTjfm, 2_lag_10_median_solFORC, 7_lag_stratZ50ndj03, 8_lag_shSICmar, 2_lag_6_median_traTLS, 2_lag_12_median_cetTSjfm_2535_2"
LRforcedPSO,8,30,traIFC,slow,1722.5,2005.5,0.6,23,3,3,31.059368649275655,-0.048963110062772,2535,"['18_lag_traWP', '3_lag_8_median_ginwSSTjfm', '22_lag_nhSICsep', '21_lag_mhfATL30', '9_lag_seurTSjfm', '22_lag_traBS', '3_lag_16_median_solFORC', '17_lag_yrvPRjja', '6_lag_satlSSTjfm', '13_lag_traBS', '3_lag_7_median_stratZ50ndj04', '3_lag_17_median_glTSjfm', '16_lag_amo2', '3_lag_traIFC', '3_lag_8_median_amo3', '3_lag_20_median_solFORC', '3_lag_17_median_nhSICsep', '11_lag_arcTSjfm', '3_lag_18_median_labSSTjfm', '22_lag_yrvPRjja', '3_lag_6_median_amo1', '18_lag_tripol2', '20_lag_mhfATL45', '3_lag_18_median_traDP', '5_lag_seurTSjfm', '7_lag_traEC', '17_lag_nhSICjfm', '16_lag_traDS', '3_lag_15_median_tripol2', '3_lag_20_median_ismPRjja']","[6.656281327105088, 3.468703190451359, 3.7969120376448195, 9.125792096126828, 5.079382170693247, 0.3269313070838127, 7.000969056905781, 5.388179570673186, 6.220417471161399, 2.334850065881051, 3.638049724439661, 8.549826724907895, 6.436584041264165, 1.2972119576133938, 2.446174374117245, 1.5906500951118563, 2.772603845639461, 4.938665678647032, 9.598903079588762, 2.779961068170703, 9.345211924321095, 0.5802483665304408, 4.976696896209203, 2.3282882055621767, 0.8430885501178516, 0.7828604019264205, 8.07101398658454, 8.573634906889788, 6.322997288985328, 8.56929002622919]","18_lag_traWP, 3_lag_8_median_ginwSSTjfm, 22_lag_nhSICsep, 21_lag_mhfATL30, 9_lag_seurTSjfm, 22_lag_traBS, 3_lag_16_median_solFORC, 17_lag_yrvPRjja, 6_lag_satlSSTjfm, 13_lag_traBS, 3_lag_7_median_stratZ50ndj04, 3_lag_17_median_glTSjfm, 16_lag_amo2, 3_lag_traIFC, 3_lag_8_median_amo3, 3_lag_20_median_solFORC, 3_lag_17_median_nhSICsep, 11_lag_arcTSjfm, 3_lag_18_median_labSSTjfm, 22_lag_yrvPRjja, 3_lag_6_median_amo1, 18_lag_tripol2, 20_lag_mhfATL45, 3_lag_18_median_traDP, 5_lag_seurTSjfm, 7_lag_traEC, 17_lag_nhSICjfm, 16_lag_traDS, 3_lag_15_median_tripol2, 3_lag_20_median_ismPRjja_2535_3"
LRforcedPSO,9,30,traIFC,slow,1723.5,2005.5,0.6,24,4,4,22.138165358970053,0.1003961341908495,2535,"['7_lag_tripol1', '9_lag_nchinaPRjja', '4_lag_7_median_tripol2', '21_lag_nhSICjfm', '10_lag_atlSICjfm', '4_lag_9_median_tripol1', '4_lag_14_median_arcTSjfm', '18_lag_gyreSSTjfm', '4_lag_8_median_solFORC', '4_lag_22_median_glTSjfm', '5_lag_traFSC', '4_lag_18_median_traDP', '4_lag_16_median_traBS', '8_lag_arcTSjfm', '4_lag_13_median_traBS', '4_lag_22_median_alpi', '5_lag_traMC', '4_lag_11_median_ismPRjja', '4_lag_7_median_traBS', '4_lag_9_median_seurTSjfm', '10_lag_traDP', '13_lag_cetTSjfm', '22_lag_nchinaPRjja', '4_lag_5_median_yrvPRjja', '11_lag_ismPRjja', '4_lag_19_median_yrvPRjja', '17_lag_satlSSTjfm', '13_lag_amo1', '4_lag_10_median_stratZ50ndj03', '13_lag_yrvPRjja']","[1.5146060067117322, 9.333632029388859, 5.901446702938971, 8.335946432796174, 4.1110131854375425, 1.8626432907861012, 4.815644419880323, 3.346927672820808, 2.891578359362854, 2.8769376532292252, 0.8974085414179545, 5.620568805874942, 5.325209278818566, 0.8391523504705454, 6.987889121451869, 4.8683992596656145, 1.202206143311475, 3.0724472582418088, 1.0178910685018199, 0.503806144722498, 7.663203746778886, 0.29366110501904963, 1.8213213560700865, 6.54091738292945, 0.38247806946102614, 6.578369922723873, 0.5018813049583564, 4.326755876752502, 6.586617978406387, 1.7244161335393375]","7_lag_tripol1, 9_lag_nchinaPRjja, 4_lag_7_median_tripol2, 21_lag_nhSICjfm, 10_lag_atlSICjfm, 4_lag_9_median_tripol1, 4_lag_14_median_arcTSjfm, 18_lag_gyreSSTjfm, 4_lag_8_median_solFORC, 4_lag_22_median_glTSjfm, 5_lag_traFSC, 4_lag_18_median_traDP, 4_lag_16_median_traBS, 8_lag_arcTSjfm, 4_lag_13_median_traBS, 4_lag_22_median_alpi, 5_lag_traMC, 4_lag_11_median_ismPRjja, 4_lag_7_median_traBS, 4_lag_9_median_seurTSjfm, 10_lag_traDP, 13_lag_cetTSjfm, 22_lag_nchinaPRjja, 4_lag_5_median_yrvPRjja, 11_lag_ismPRjja, 4_lag_19_median_yrvPRjja, 17_lag_satlSSTjfm, 13_lag_amo1, 4_lag_10_median_stratZ50ndj03, 13_lag_yrvPRjja_2535_4"
