model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traMC,slow,1714.5,2005.5,0.6,15,5,5,27.21496961480986,0.19507871529025997,1235,"['5_lag_7_median_nchinaPRjja', '12_lag_neurTSjfm', '5_lag_7_median_traEU', '13_lag_labSSTjfm', '5_lag_7_median_traDP', '13_lag_amo3', '7_lag_glTSjfm', '6_lag_satlSSTjfm', '5_lag_12_median_gyreSSTjfm', '5_lag_10_median_tripol2', '5_lag_9_median_atlSICsep', '5_lag_12_median_tripol3', '6_lag_AMOCann', '9_lag_glomaSSTjfm', '12_lag_traEC', '5_lag_13_median_satlSSTjfm', '5_lag_12_median_traFB', '5_lag_tripol1', '10_lag_naoPSLjfm', '10_lag_nppc2SSTjfm', '5_lag_8_median_mhfATL60', '12_lag_atlSICsep', '5_lag_14_median_satlSSTjfm', '5_lag_8_median_traFB', '5_lag_11_median_amo2', '14_lag_traIFC', '6_lag_traBS', '5_lag_8_median_nppc2SSTjfm', '10_lag_tripol2', '6_lag_gyreSSTjfm']","[1.3835481587939071, 1.942116800727561, 3.270495135112233, 1.7450007290910996, 1.3486446956520979, 2.5057439611322696, 8.366553338124216, 3.1601085560970414, 1.6742125147798408, 3.47427307068277, 4.433896551738458, 1.8473167258557197, 3.5670149317820687, 4.737607679385917, 1.9660855232631107, 4.601940579272663, 5.581334900809104, 4.524221440013763, 8.042729248026754, 3.1586467119177435, 2.9936561554809193, 7.150076938004595, 4.400877090570834, 6.63309487015681, 3.9353674130474143, 0.04053662085190979, 5.260565847644516, 0.6312347132024918, 0.2710016231331096, 3.666139941570856]","5_lag_7_median_nchinaPRjja, 12_lag_neurTSjfm, 5_lag_7_median_traEU, 13_lag_labSSTjfm, 5_lag_7_median_traDP, 13_lag_amo3, 7_lag_glTSjfm, 6_lag_satlSSTjfm, 5_lag_12_median_gyreSSTjfm, 5_lag_10_median_tripol2, 5_lag_9_median_atlSICsep, 5_lag_12_median_tripol3, 6_lag_AMOCann, 9_lag_glomaSSTjfm, 12_lag_traEC, 5_lag_13_median_satlSSTjfm, 5_lag_12_median_traFB, 5_lag_tripol1, 10_lag_naoPSLjfm, 10_lag_nppc2SSTjfm, 5_lag_8_median_mhfATL60, 12_lag_atlSICsep, 5_lag_14_median_satlSSTjfm, 5_lag_8_median_traFB, 5_lag_11_median_amo2, 14_lag_traIFC, 6_lag_traBS, 5_lag_8_median_nppc2SSTjfm, 10_lag_tripol2, 6_lag_gyreSSTjfm_1235_5"
LRforcedPSO,1,30,traMC,slow,1715.5,2005.5,0.6,16,6,6,36.682294594635195,0.0011644253382916466,1235,"['6_lag_15_median_traFB', '6_lag_10_median_nhSICjfm', '6_lag_13_median_traDS', '8_lag_scpPSLjfm', '14_lag_ismPRjja', '6_lag_7_median_stratZ50ndj03', '6_lag_15_median_amo3', '6_lag_13_median_mhfATL30', '14_lag_traEC', '6_lag_14_median_traEU', '6_lag_15_median_traBS', '6_lag_11_median_ginwSSTjfm', '6_lag_nhTSjfm', '6_lag_12_median_eapPSLjfm', '11_lag_scpPSLjfm', '6_lag_13_median_ensoSSTjfm', '6_lag_12_median_nhSICjfm', '15_lag_neurTSjfm', '8_lag_traWP', '8_lag_traEC', '6_lag_9_median_stratZ50ndj03', '11_lag_amo1', '6_lag_8_median_traFSC', '7_lag_traFS', '6_lag_10_median_mhfATL45', '6_lag_7_median_seurTSjfm', '6_lag_8_median_amo1', '6_lag_7_median_stratZ50ndj04', '9_lag_amo2', '6_lag_9_median_mhfATL60']","[5.978757851684849, 3.0433906298080657, 8.724836168574043, 0.26159232292637213, 1.1130544314221176, 1.517957035909724, 9.215272081281118, 1.7386046237332522, 0.6684744434894831, 9.08231317930772, 0.7068008604514038, 5.592192216010623, 6.9882289620816636, 7.0563512833870305, 2.226364011839461, 3.1208554839775786, 9.094470390584322, 1.13507647224443, 2.7389226312997073, 9.747545766925896, 4.702652610799332, 2.6400010711878945, 4.67799283228279, 2.530399187645484, 6.164404867886184, 2.9553756523947294, 4.279067791791906, 5.586721298938548, 0.15103985835918365, 6.140574086492862]","6_lag_15_median_traFB, 6_lag_10_median_nhSICjfm, 6_lag_13_median_traDS, 8_lag_scpPSLjfm, 14_lag_ismPRjja, 6_lag_7_median_stratZ50ndj03, 6_lag_15_median_amo3, 6_lag_13_median_mhfATL30, 14_lag_traEC, 6_lag_14_median_traEU, 6_lag_15_median_traBS, 6_lag_11_median_ginwSSTjfm, 6_lag_nhTSjfm, 6_lag_12_median_eapPSLjfm, 11_lag_scpPSLjfm, 6_lag_13_median_ensoSSTjfm, 6_lag_12_median_nhSICjfm, 15_lag_neurTSjfm, 8_lag_traWP, 8_lag_traEC, 6_lag_9_median_stratZ50ndj03, 11_lag_amo1, 6_lag_8_median_traFSC, 7_lag_traFS, 6_lag_10_median_mhfATL45, 6_lag_7_median_seurTSjfm, 6_lag_8_median_amo1, 6_lag_7_median_stratZ50ndj04, 9_lag_amo2, 6_lag_9_median_mhfATL60_1235_6"
LRforcedPSO,2,30,traMC,slow,1716.5,2005.5,0.6,17,7,7,48.96280417698778,0.20275946376229728,1235,"['7_lag_9_median_amo3', '13_lag_stratZ50ndj03', '12_lag_nhSICsep', '9_lag_traBS', '15_lag_traBS', '7_lag_15_median_naoPSLjfm', '7_lag_8_median_traCA', '7_lag_shTSjfm', '14_lag_tripol3', '11_lag_stratZ50ndj01', '7_lag_13_median_traDP', '7_lag_14_median_ensoSSTjfm', '7_lag_11_median_seurTSjfm', '13_lag_traFS', '16_lag_traBO', '11_lag_amo3', '10_lag_mhfIP30', '7_lag_8_median_stratZ50ndj02', '7_lag_12_median_ormenSSTjfm', '7_lag_10_median_traBO', '10_lag_tripol2', '9_lag_traDS', '8_lag_traBO', '7_lag_16_median_atlSICjfm', '7_lag_13_median_neurTSjfm', '7_lag_8_median_traTLS', '14_lag_amoSSTmjjaso', '14_lag_atlSICsep', '9_lag_traEC', '7_lag_13_median_mhfATL45']","[5.629475193688624, 9.614405457811925, 7.448475222646107, 2.0792663313731126, 2.695420970181466, 1.4440263180605193, 0.007698891954078135, 6.752175018606859, 6.659368587847321, 0.40824930585523944, 9.890755776298903, 3.6696073847823385, 3.4357865119960564, 0.607237249044644, 0.2233871455851837, 6.22028390747547, 0.36357304839640214, 5.381062354477891, 1.6363827361128322, 5.766166451987038, 5.633858004848536, 4.457831831574017, 9.329967796051301, 4.731279020679688, 5.866815374140915, 0.6006353707568479, 0.7846360160028922, 9.451268812155064, 1.542767380373835, 4.101439955628958]","7_lag_9_median_amo3, 13_lag_stratZ50ndj03, 12_lag_nhSICsep, 9_lag_traBS, 15_lag_traBS, 7_lag_15_median_naoPSLjfm, 7_lag_8_median_traCA, 7_lag_shTSjfm, 14_lag_tripol3, 11_lag_stratZ50ndj01, 7_lag_13_median_traDP, 7_lag_14_median_ensoSSTjfm, 7_lag_11_median_seurTSjfm, 13_lag_traFS, 16_lag_traBO, 11_lag_amo3, 10_lag_mhfIP30, 7_lag_8_median_stratZ50ndj02, 7_lag_12_median_ormenSSTjfm, 7_lag_10_median_traBO, 10_lag_tripol2, 9_lag_traDS, 8_lag_traBO, 7_lag_16_median_atlSICjfm, 7_lag_13_median_neurTSjfm, 7_lag_8_median_traTLS, 14_lag_amoSSTmjjaso, 14_lag_atlSICsep, 9_lag_traEC, 7_lag_13_median_mhfATL45_1235_7"
LRforcedPSO,3,30,traMC,slow,1717.5,2005.5,0.6,18,8,8,23.323291231222175,0.0358464360011148,1235,"['8_lag_14_median_stratZ50ndj02', '9_lag_atlSICjfm', '13_lag_alpi', '15_lag_stratZ50ndj04', '9_lag_traEU', '8_lag_17_median_ormenSSTjfm', '8_lag_12_median_traMC', '8_lag_12_median_shSICsep', '8_lag_12_median_glTSjfm', '14_lag_traCA', '8_lag_12_median_mhfIP30', '14_lag_ismPRjja', '15_lag_mhfIP30', '16_lag_nhTSjfm', '12_lag_atlSICsep', '15_lag_traWP', '14_lag_eapPSLjfm', '11_lag_cetTSjfm', '8_lag_13_median_traBO', '10_lag_yrvPRjja', '16_lag_traCA', '8_lag_10_median_labSSTjfm', '8_lag_13_median_stratZ50ndj02', '16_lag_traTLS', '8_lag_11_median_ormenSSTjfm', '14_lag_gyreSSTjfm', '8_lag_10_median_nchinaPRjja', '8_lag_9_median_atlSICjfm', '13_lag_traMC', '8_lag_16_median_ginwSSTjfm']","[2.479018795643748, 1.8417161956613821, 2.867350642608475, 9.66671295400629, 2.3532710568132265, 4.552165607724385, 1.2481622036960225, 3.438152483958463, 1.8353582468834002, 1.55183061569568, 7.296977805949279, 7.683379358209912, 3.2400418804169124, 3.01971202836806, 1.3440777944254112, 0.3243659496393487, 0.2606413109300725, 8.115935583553341, 7.7476169787978755, 3.2376799275697543, 1.432017869734537, 3.5270357925950417, 6.276285011076695, 4.593716228880291, 3.0552645648998062, 1.2172581401558098, 3.359948109708249, 6.012642993123203, 3.0412649430291854, 8.894488845272715]","8_lag_14_median_stratZ50ndj02, 9_lag_atlSICjfm, 13_lag_alpi, 15_lag_stratZ50ndj04, 9_lag_traEU, 8_lag_17_median_ormenSSTjfm, 8_lag_12_median_traMC, 8_lag_12_median_shSICsep, 8_lag_12_median_glTSjfm, 14_lag_traCA, 8_lag_12_median_mhfIP30, 14_lag_ismPRjja, 15_lag_mhfIP30, 16_lag_nhTSjfm, 12_lag_atlSICsep, 15_lag_traWP, 14_lag_eapPSLjfm, 11_lag_cetTSjfm, 8_lag_13_median_traBO, 10_lag_yrvPRjja, 16_lag_traCA, 8_lag_10_median_labSSTjfm, 8_lag_13_median_stratZ50ndj02, 16_lag_traTLS, 8_lag_11_median_ormenSSTjfm, 14_lag_gyreSSTjfm, 8_lag_10_median_nchinaPRjja, 8_lag_9_median_atlSICjfm, 13_lag_traMC, 8_lag_16_median_ginwSSTjfm_1235_8"
LRforcedPSO,4,30,traMC,slow,1718.5,2005.5,0.6,19,9,9,24.15969285206063,-0.019270575346945523,1235,"['9_lag_18_median_labSSTjfm', '9_lag_14_median_nppc3SSTjfm', '13_lag_nhTSjfm', '11_lag_nhTSjfm', '9_lag_traEC', '17_lag_traEU', '14_lag_stratZ50ndj01', '9_lag_12_median_traTLS', '10_lag_nhTSjfm', '16_lag_nppc3SSTjfm', '9_lag_ismPRjja', '14_lag_traIT', '9_lag_17_median_arcTSjfm', '16_lag_solFORC', '14_lag_ensoSSTjfm', '11_lag_mhfATL60', '11_lag_traFSC', '9_lag_18_median_stratZ50ndj02', '14_lag_atlSICjfm', '13_lag_stratZ50ndj03', '9_lag_18_median_atlSICsep', '10_lag_traEU', '10_lag_traIFC', '14_lag_ginwSSTjfm', '17_lag_atlSICsep', '9_lag_16_median_scpPSLjfm', '9_lag_18_median_traTLS', '14_lag_mhfATL45', '9_lag_12_median_shSICmar', '13_lag_satlSSTjfm']","[9.445820974175064, 0.8594924392552894, 4.959983971837854, 3.8752741815136478, 4.057721830907646, 1.7383081739680257, 3.260073974034386, 4.6814920066350885, 8.658497733853137, 4.456848200998806, 1.3334994420449924, 5.035753713550434, 4.1549514352071775, 5.45634725317286, 0.21987853512769817, 7.280815480402023, 3.3072598268787985, 7.94652790648054, 0.7476570615336176, 6.052572711218659, 4.393873940881239, 3.3236118864918414, 2.9358636490874126, 5.4649179249229345, 7.8653489008074295, 9.297010796770973, 2.1725710899670876, 9.610042073969025, 1.7017926850556275, 1.1846109545167138]","9_lag_18_median_labSSTjfm, 9_lag_14_median_nppc3SSTjfm, 13_lag_nhTSjfm, 11_lag_nhTSjfm, 9_lag_traEC, 17_lag_traEU, 14_lag_stratZ50ndj01, 9_lag_12_median_traTLS, 10_lag_nhTSjfm, 16_lag_nppc3SSTjfm, 9_lag_ismPRjja, 14_lag_traIT, 9_lag_17_median_arcTSjfm, 16_lag_solFORC, 14_lag_ensoSSTjfm, 11_lag_mhfATL60, 11_lag_traFSC, 9_lag_18_median_stratZ50ndj02, 14_lag_atlSICjfm, 13_lag_stratZ50ndj03, 9_lag_18_median_atlSICsep, 10_lag_traEU, 10_lag_traIFC, 14_lag_ginwSSTjfm, 17_lag_atlSICsep, 9_lag_16_median_scpPSLjfm, 9_lag_18_median_traTLS, 14_lag_mhfATL45, 9_lag_12_median_shSICmar, 13_lag_satlSSTjfm_1235_9"
LRforcedPSO,5,30,traMC,slow,1719.5,2005.5,0.6,20,10,10,23.52661746059504,0.040215159434706924,1235,"['15_lag_glomaSSTjfm', '13_lag_naoPSLjfm', '10_lag_11_median_gyreSSTjfm', '10_lag_13_median_traBS', '10_lag_19_median_traTLS', '19_lag_wnorPRjfm', '16_lag_traDP', '10_lag_14_median_labSSTjfm', '10_lag_19_median_shSICmar', '19_lag_AMOCann', '12_lag_traFSC', '16_lag_stratZ50ndj03', '10_lag_traFSC', '11_lag_samPSLann', '10_lag_11_median_ismPRjja', '18_lag_atlSICsep', '10_lag_11_median_stratZ50ndj04', '13_lag_traBS', '10_lag_13_median_samPSLann', '10_lag_14_median_traBO', '17_lag_amo1', '10_lag_14_median_ismPRjja', '10_lag_glomaSSTjfm', '11_lag_traIT', '11_lag_ormenSSTjfm', '10_lag_16_median_atlSICsep', '10_lag_traCA', '10_lag_14_median_alpi', '14_lag_nhTSjfm', '15_lag_tripol1']","[8.06089160838714, 4.0747472672484655, 6.577944989276587, 3.03484490335509, 7.343603484043644, 3.9679306800041765, 1.9747016390971979, 0.4363220571744506, 7.767901176867758, 6.7679716196695985, 9.607630906565216, 0.4416666880671034, 5.648648200168548, 2.180115077182716, 6.276271289530846, 2.734864817334312, 3.7507509921055657, 9.247151654047354, 5.666470728676931, 0.2179839034022919, 9.559594841142118, 3.6291098838295195, 4.20449067552234, 2.9567092812274076, 4.152180771286298, 3.7516082532238126, 0.5219078360761031, 2.9537152059019327, 1.4425395512579016, 1.2487362483692017]","15_lag_glomaSSTjfm, 13_lag_naoPSLjfm, 10_lag_11_median_gyreSSTjfm, 10_lag_13_median_traBS, 10_lag_19_median_traTLS, 19_lag_wnorPRjfm, 16_lag_traDP, 10_lag_14_median_labSSTjfm, 10_lag_19_median_shSICmar, 19_lag_AMOCann, 12_lag_traFSC, 16_lag_stratZ50ndj03, 10_lag_traFSC, 11_lag_samPSLann, 10_lag_11_median_ismPRjja, 18_lag_atlSICsep, 10_lag_11_median_stratZ50ndj04, 13_lag_traBS, 10_lag_13_median_samPSLann, 10_lag_14_median_traBO, 17_lag_amo1, 10_lag_14_median_ismPRjja, 10_lag_glomaSSTjfm, 11_lag_traIT, 11_lag_ormenSSTjfm, 10_lag_16_median_atlSICsep, 10_lag_traCA, 10_lag_14_median_alpi, 14_lag_nhTSjfm, 15_lag_tripol1_1235_10"
LRforcedPSO,6,30,traMC,slow,1720.5,2005.5,0.6,21,11,11,27.600812835807652,-0.006225486459937769,1235,"['11_lag_15_median_shTSjfm', '11_lag_18_median_traDP', '13_lag_traTLS', '11_lag_17_median_labSSTjfm', '15_lag_mhfATL30', '19_lag_traCA', '11_lag_16_median_traIFC', '17_lag_satlSSTjfm', '13_lag_alpi', '18_lag_traDS', '19_lag_nppc3SSTjfm', '11_lag_14_median_nhSICsep', '11_lag_20_median_amoSSTmjjaso', '11_lag_12_median_ensoSSTjfm', '11_lag_16_median_traFB', '11_lag_wnorPRjfm', '19_lag_neurTSjfm', '12_lag_glTSjfm', '12_lag_traDP', '11_lag_16_median_wnorPRjfm', '19_lag_wnorPRjfm', '18_lag_ensoSSTjfm', '17_lag_eurPSLjfm', '16_lag_atlSICjfm', '11_lag_16_median_traFS', '18_lag_wnorPRjfm', '11_lag_15_median_stratZ50ndj03', '14_lag_eurPSLjfm', '19_lag_AMOCann', '11_lag_12_median_naoPSLjfm']","[3.779363884322291, 3.747873293869808, 0.5656935122091777, 2.8100254625344645, 0.47249396369917207, 0.029682144525274623, 7.33016268566886, 9.084896843932093, 8.071886789566706, 2.6595130541989924, 5.910738186399893, 4.490818131216958, 7.963421732200079, 3.7631728633549812, 0.917786351107722, 2.5589218459959504, 0.3407032080782084, 4.586273283903758, 5.825881157848027, 5.356278047696142, 1.341185099539688, 7.9864001760348575, 3.2659546484908013, 9.711011082016789, 6.619898661968864, 6.977963867307524, 6.4984073620236735, 0.8290909442247525, 2.7081632792666444, 5.433430925282828]","11_lag_15_median_shTSjfm, 11_lag_18_median_traDP, 13_lag_traTLS, 11_lag_17_median_labSSTjfm, 15_lag_mhfATL30, 19_lag_traCA, 11_lag_16_median_traIFC, 17_lag_satlSSTjfm, 13_lag_alpi, 18_lag_traDS, 19_lag_nppc3SSTjfm, 11_lag_14_median_nhSICsep, 11_lag_20_median_amoSSTmjjaso, 11_lag_12_median_ensoSSTjfm, 11_lag_16_median_traFB, 11_lag_wnorPRjfm, 19_lag_neurTSjfm, 12_lag_glTSjfm, 12_lag_traDP, 11_lag_16_median_wnorPRjfm, 19_lag_wnorPRjfm, 18_lag_ensoSSTjfm, 17_lag_eurPSLjfm, 16_lag_atlSICjfm, 11_lag_16_median_traFS, 18_lag_wnorPRjfm, 11_lag_15_median_stratZ50ndj03, 14_lag_eurPSLjfm, 19_lag_AMOCann, 11_lag_12_median_naoPSLjfm_1235_11"
LRforcedPSO,7,30,traMC,slow,1721.5,2005.5,0.6,22,12,12,25.297102479525435,-0.05738742117332833,1235,"['16_lag_amo1', '20_lag_nchinaPRjja', '12_lag_nchinaPRjja', '18_lag_arcTSjfm', '12_lag_15_median_shSICsep', '15_lag_mhfATL60', '16_lag_solFORC', '21_lag_stratZ50ndj03', '12_lag_18_median_glomaSSTjfm', '12_lag_14_median_traBO', '12_lag_17_median_shSICmar', '21_lag_naoPSLjfm', '19_lag_amo2', '17_lag_eapPSLjfm', '12_lag_21_median_traFSC', '17_lag_stratZ50ndj01', '12_lag_stratZ50ndj01', '14_lag_shSICsep', '15_lag_traIT', '12_lag_17_median_solFORC', '12_lag_19_median_traIFC', '14_lag_amo3', '12_lag_21_median_alpi', '12_lag_13_median_solFORC', '18_lag_traMC', '12_lag_16_median_nhSICjfm', '21_lag_mhfATL60', '17_lag_labSSTjfm', '12_lag_17_median_eapPSLjfm', '17_lag_mhfATL60']","[4.950425029599481, 0.5779699764864858, 1.2679579133547776, 3.9530602778735524, 3.401481361639953, 1.798188139145438, 3.076104612706681, 1.2716538503969943, 4.37710041904494, 7.681566350552998, 1.3564351361086917, 5.385895820660922, 0.0857347457547224, 5.6848752812508945, 7.592767193123908, 2.889570839851892, 1.987208658282329, 0.7835444160919458, 2.3950613220738104, 8.14673795464027, 8.035845271699893, 0.9388077517956894, 7.0393096049485955, 4.893977168078223, 5.588549048248247, 9.836148939347396, 6.958038392108246, 5.891764738329872, 5.623526807040866, 0.2503279206285498]","16_lag_amo1, 20_lag_nchinaPRjja, 12_lag_nchinaPRjja, 18_lag_arcTSjfm, 12_lag_15_median_shSICsep, 15_lag_mhfATL60, 16_lag_solFORC, 21_lag_stratZ50ndj03, 12_lag_18_median_glomaSSTjfm, 12_lag_14_median_traBO, 12_lag_17_median_shSICmar, 21_lag_naoPSLjfm, 19_lag_amo2, 17_lag_eapPSLjfm, 12_lag_21_median_traFSC, 17_lag_stratZ50ndj01, 12_lag_stratZ50ndj01, 14_lag_shSICsep, 15_lag_traIT, 12_lag_17_median_solFORC, 12_lag_19_median_traIFC, 14_lag_amo3, 12_lag_21_median_alpi, 12_lag_13_median_solFORC, 18_lag_traMC, 12_lag_16_median_nhSICjfm, 21_lag_mhfATL60, 17_lag_labSSTjfm, 12_lag_17_median_eapPSLjfm, 17_lag_mhfATL60_1235_12"
LRforcedPSO,8,30,traMC,slow,1722.5,2005.5,0.6,23,13,13,23.608383428254587,0.029527370996508318,1235,"['20_lag_alpi', '13_lag_20_median_stratZ50ndj02', '13_lag_21_median_nhTSjfm', '19_lag_tripol3', '13_lag_16_median_traWP', '21_lag_ismPRjja', '15_lag_alpi', '13_lag_16_median_traEC', '22_lag_tripol2', '13_lag_16_median_gyreSSTjfm', '13_lag_15_median_traMC', '13_lag_20_median_gyreSSTjfm', '22_lag_glomaSSTjfm', '21_lag_ormenSSTjfm', '18_lag_nchinaPRjja', '15_lag_ismPRjja', '13_lag_19_median_AMOCann', '16_lag_glomaSSTjfm', '13_lag_traFSC', '17_lag_nppc2SSTjfm', '19_lag_traWP', '16_lag_gyreSSTjfm', '20_lag_scpPSLjfm', '13_lag_22_median_traFSC', '13_lag_20_median_glTSjfm', '14_lag_traEU', '17_lag_nhSICjfm', '13_lag_16_median_stratZ50ndj02', '13_lag_21_median_tripol1', '20_lag_pdoSSTjfm']","[3.8782986460190276, 5.606479746212845, 4.530287354536499, 2.021707816678738, 1.9068130985314102, 4.189390693082182, 3.3237278437467577, 7.624454035685716, 8.16755461584443, 1.1043451268526425, 6.057882117974547, 2.0094477361142786, 2.892004076460079, 4.931035341641476, 3.3885273278522154, 2.7786706673826256, 1.3223207434555224, 7.49398354131338, 9.993536259522337, 4.167271409068441, 7.643355243596912, 9.112000588189787, 1.6288730074161712, 2.1737030451136707, 2.9326723159986408, 9.288580759320642, 3.384101522473406, 5.016431545178928, 2.0021299049551615, 0.47909775042964675]","20_lag_alpi, 13_lag_20_median_stratZ50ndj02, 13_lag_21_median_nhTSjfm, 19_lag_tripol3, 13_lag_16_median_traWP, 21_lag_ismPRjja, 15_lag_alpi, 13_lag_16_median_traEC, 22_lag_tripol2, 13_lag_16_median_gyreSSTjfm, 13_lag_15_median_traMC, 13_lag_20_median_gyreSSTjfm, 22_lag_glomaSSTjfm, 21_lag_ormenSSTjfm, 18_lag_nchinaPRjja, 15_lag_ismPRjja, 13_lag_19_median_AMOCann, 16_lag_glomaSSTjfm, 13_lag_traFSC, 17_lag_nppc2SSTjfm, 19_lag_traWP, 16_lag_gyreSSTjfm, 20_lag_scpPSLjfm, 13_lag_22_median_traFSC, 13_lag_20_median_glTSjfm, 14_lag_traEU, 17_lag_nhSICjfm, 13_lag_16_median_stratZ50ndj02, 13_lag_21_median_tripol1, 20_lag_pdoSSTjfm_1235_13"
LRforcedPSO,9,30,traMC,slow,1723.5,2005.5,0.6,24,14,14,22.020577376714822,-0.048860838019508246,1235,"['14_lag_15_median_pdoSSTjfm', '22_lag_nhTSjfm', '23_lag_stratZ50ndj02', '18_lag_alpi', '23_lag_scpPSLjfm', '22_lag_labSSTjfm', '19_lag_tripol1', '15_lag_solFORC', '16_lag_glomaSSTjfm', '14_lag_17_median_traBO', '14_lag_17_median_tripol2', '20_lag_stratZ50ndj03', '18_lag_nhTSjfm', '18_lag_amo3', '14_lag_22_median_traWP', '14_lag_20_median_mhfATL60', '17_lag_ormenSSTjfm', '14_lag_18_median_traMC', '14_lag_20_median_nhSICsep', '14_lag_20_median_traDP', '22_lag_eurPSLjfm', '19_lag_eapPSLjfm', '17_lag_eapPSLjfm', '14_lag_ormenSSTjfm', '14_lag_21_median_traFS', '14_lag_16_median_traDS', '14_lag_20_median_traTLS', '14_lag_16_median_yrvPRjja', '17_lag_mhfATL45', '15_lag_naoPSLjfm']","[5.261459351506115, 3.0229338920242155, 5.057263792076673, 0.2776069087909061, 6.379729678686791, 1.3386344039862443, 3.2458211609033114, 8.898546172993026, 9.122938446811235, 9.152215705485926, 3.0045867980799112, 1.6945464400774846, 4.3814828032450475, 4.392105880323884, 3.0513895400472046, 2.5823271755620407, 5.997200911590539, 5.263928385984686, 1.1723762277713217, 0.7645906626257784, 0.4855123220629576, 6.947954623853931, 9.039036671161757, 1.4329274390095286, 2.878146673734485, 8.429017299001742, 2.65195417951767, 2.821174664315828, 7.292138048911298, 3.6782605219817697]","14_lag_15_median_pdoSSTjfm, 22_lag_nhTSjfm, 23_lag_stratZ50ndj02, 18_lag_alpi, 23_lag_scpPSLjfm, 22_lag_labSSTjfm, 19_lag_tripol1, 15_lag_solFORC, 16_lag_glomaSSTjfm, 14_lag_17_median_traBO, 14_lag_17_median_tripol2, 20_lag_stratZ50ndj03, 18_lag_nhTSjfm, 18_lag_amo3, 14_lag_22_median_traWP, 14_lag_20_median_mhfATL60, 17_lag_ormenSSTjfm, 14_lag_18_median_traMC, 14_lag_20_median_nhSICsep, 14_lag_20_median_traDP, 22_lag_eurPSLjfm, 19_lag_eapPSLjfm, 17_lag_eapPSLjfm, 14_lag_ormenSSTjfm, 14_lag_21_median_traFS, 14_lag_16_median_traDS, 14_lag_20_median_traTLS, 14_lag_16_median_yrvPRjja, 17_lag_mhfATL45, 15_lag_naoPSLjfm_1235_14"
