model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,traTLS,slow,866.5,2005.5,0.4,15,5,5,29.170919211569352,0.033792448507308226,1235,"['5_lag_11_median_amo1', '12_lag_pdoSSTjfm', '5_lag_8_median_amo3', '8_lag_traFB', '10_lag_nchinaPRjja', '5_lag_13_median_tripol3', '13_lag_shSICmar', '5_lag_alpi', '6_lag_nppc3SSTjfm', '9_lag_nppc2SSTjfm', '5_lag_9_median_traMC', '5_lag_8_median_traIFC', '11_lag_scpPSLjfm', '6_lag_traMC', '7_lag_wnorPRjfm', '14_lag_mhfATL30', '5_lag_12_median_traMC', '5_lag_6_median_shTSjfm', '5_lag_7_median_AMOCann', '14_lag_scpPSLjfm', '13_lag_glomaSSTjfm', '5_lag_glTSjfm', '5_lag_14_median_AMOCann', '5_lag_13_median_nppc3SSTjfm', '13_lag_amo1', '7_lag_nchinaPRjja', '8_lag_eurPSLjfm', '5_lag_7_median_nchinaPRjja', '5_lag_9_median_nhTSjfm', '5_lag_11_median_mhfATL30']","[3.0547679276741295, 1.8514852027493038, 0.02548156817871927, 5.222124231281269, 2.5990388982464694, 8.524426411008733, 6.638079067030862, 1.5097082042862375, 6.664010021523918, 5.09250282504248, 6.2259356911657315, 1.6967105878867965, 6.695198579211166, 0.18634390171233406, 1.499370152574759, 6.241654781403614, 5.18528523064065, 7.26716725244934, 6.029440873544619, 2.843869900506908, 5.185504045519107, 4.180803356905636, 5.411885862663485, 7.264409006727259, 4.285323894167917, 8.919914060879577, 6.350061347397428, 6.740501432410902, 2.812703296886168, 9.362163584399902]","5_lag_11_median_amo1, 12_lag_pdoSSTjfm, 5_lag_8_median_amo3, 8_lag_traFB, 10_lag_nchinaPRjja, 5_lag_13_median_tripol3, 13_lag_shSICmar, 5_lag_alpi, 6_lag_nppc3SSTjfm, 9_lag_nppc2SSTjfm, 5_lag_9_median_traMC, 5_lag_8_median_traIFC, 11_lag_scpPSLjfm, 6_lag_traMC, 7_lag_wnorPRjfm, 14_lag_mhfATL30, 5_lag_12_median_traMC, 5_lag_6_median_shTSjfm, 5_lag_7_median_AMOCann, 14_lag_scpPSLjfm, 13_lag_glomaSSTjfm, 5_lag_glTSjfm, 5_lag_14_median_AMOCann, 5_lag_13_median_nppc3SSTjfm, 13_lag_amo1, 7_lag_nchinaPRjja, 8_lag_eurPSLjfm, 5_lag_7_median_nchinaPRjja, 5_lag_9_median_nhTSjfm, 5_lag_11_median_mhfATL30_1235_5"
LRforcedPSO,1,30,traTLS,slow,867.5,2005.5,0.4,16,6,6,23.347641843423173,-0.036909802990552285,1235,"['10_lag_yrvPRjja', '6_lag_13_median_nhSICsep', '6_lag_7_median_nppc3SSTjfm', '6_lag_11_median_satlSSTjfm', '8_lag_traTLS', '6_lag_11_median_mhfIP30', '10_lag_nhSICjfm', '6_lag_8_median_traTLS', '15_lag_naoPSLjfm', '6_lag_ismPRjja', '9_lag_mhfATL45', '6_lag_7_median_traDS', '14_lag_traFS', '6_lag_15_median_traFB', '6_lag_shSICmar', '6_lag_mhfATL30', '6_lag_15_median_mhfATL30', '6_lag_11_median_traMC', '6_lag_14_median_ormenSSTjfm', '6_lag_9_median_seurTSjfm', '12_lag_eapPSLjfm', '6_lag_14_median_alpi', '10_lag_atlSICjfm', '6_lag_11_median_solFORC', '6_lag_14_median_traWP', '6_lag_15_median_stratZ50ndj04', '6_lag_15_median_arcTSjfm', '6_lag_traTLS', '7_lag_tripol2', '12_lag_solFORC']","[8.515000930065463, 4.122257077072229, 0.14711634690048037, 4.135510151870946, 3.775399316952049, 1.661470478744281, 8.570133491726764, 2.652092822429214, 0.8695347115892087, 0.7970737695818997, 5.606453688865226, 0.498120068002077, 3.907903343607181, 6.36992973283672, 2.2974851877550373, 4.745323712847538, 5.647503173589193, 3.4032053161330023, 1.3943102109518222, 6.105361427424471, 6.3745819700371555, 1.757573747356151, 6.950990180397545, 0.4012533290328335, 7.606347344901616, 8.304057538242258, 0.040491633711498665, 1.665149113098888, 6.851485433940825, 7.671341859352065]","10_lag_yrvPRjja, 6_lag_13_median_nhSICsep, 6_lag_7_median_nppc3SSTjfm, 6_lag_11_median_satlSSTjfm, 8_lag_traTLS, 6_lag_11_median_mhfIP30, 10_lag_nhSICjfm, 6_lag_8_median_traTLS, 15_lag_naoPSLjfm, 6_lag_ismPRjja, 9_lag_mhfATL45, 6_lag_7_median_traDS, 14_lag_traFS, 6_lag_15_median_traFB, 6_lag_shSICmar, 6_lag_mhfATL30, 6_lag_15_median_mhfATL30, 6_lag_11_median_traMC, 6_lag_14_median_ormenSSTjfm, 6_lag_9_median_seurTSjfm, 12_lag_eapPSLjfm, 6_lag_14_median_alpi, 10_lag_atlSICjfm, 6_lag_11_median_solFORC, 6_lag_14_median_traWP, 6_lag_15_median_stratZ50ndj04, 6_lag_15_median_arcTSjfm, 6_lag_traTLS, 7_lag_tripol2, 12_lag_solFORC_1235_6"
LRforcedPSO,2,30,traTLS,slow,868.5,2005.5,0.4,17,7,7,24.569539531331895,0.06000339124917588,1235,"['7_lag_8_median_tripol2', '7_lag_11_median_tripol2', '7_lag_11_median_stratZ50ndj02', '12_lag_ismPRjja', '7_lag_11_median_nhTSjfm', '15_lag_traEC', '12_lag_nhSICjfm', '14_lag_solFORC', '16_lag_solFORC', '7_lag_15_median_gyreSSTjfm', '16_lag_traIFC', '7_lag_12_median_traIT', '10_lag_scpPSLjfm', '7_lag_11_median_nppc2SSTjfm', '7_lag_14_median_traFS', '7_lag_amo1', '7_lag_9_median_cetTSjfm', '8_lag_tripol1', '7_lag_11_median_traMC', '11_lag_glTSjfm', '7_lag_9_median_traEC', '7_lag_8_median_cetTSjfm', '14_lag_amoSSTmjjaso', '8_lag_traDP', '9_lag_mhfATL30', '7_lag_16_median_traFB', '14_lag_traFSC', '11_lag_stratZ50ndj03', '11_lag_neurTSjfm', '7_lag_13_median_satlSSTjfm']","[7.225822038227319, 6.102522517879635, 0.03534944557467057, 4.13377040470195, 0.01841735807902012, 2.728233526255206, 1.8275132666628924, 6.2795790791000305, 3.794436406680717, 6.502476737729687, 1.169513062526466, 0.9216373246892395, 0.10709249496398954, 0.31218584962376283, 8.135681254096635, 8.691939965921772, 5.234171038851427, 5.610035673999216, 7.036140377450273, 1.9239193190354715, 2.963099077053389, 2.061941466026166, 8.095602049666109, 4.633054575192208, 2.31929560901982, 6.763185342833356, 0.9979377437101444, 1.6387310363413494, 0.6708343128291432, 1.1559963522618837]","7_lag_8_median_tripol2, 7_lag_11_median_tripol2, 7_lag_11_median_stratZ50ndj02, 12_lag_ismPRjja, 7_lag_11_median_nhTSjfm, 15_lag_traEC, 12_lag_nhSICjfm, 14_lag_solFORC, 16_lag_solFORC, 7_lag_15_median_gyreSSTjfm, 16_lag_traIFC, 7_lag_12_median_traIT, 10_lag_scpPSLjfm, 7_lag_11_median_nppc2SSTjfm, 7_lag_14_median_traFS, 7_lag_amo1, 7_lag_9_median_cetTSjfm, 8_lag_tripol1, 7_lag_11_median_traMC, 11_lag_glTSjfm, 7_lag_9_median_traEC, 7_lag_8_median_cetTSjfm, 14_lag_amoSSTmjjaso, 8_lag_traDP, 9_lag_mhfATL30, 7_lag_16_median_traFB, 14_lag_traFSC, 11_lag_stratZ50ndj03, 11_lag_neurTSjfm, 7_lag_13_median_satlSSTjfm_1235_7"
LRforcedPSO,3,30,traTLS,slow,869.5,2005.5,0.4,18,8,8,20.845250996800946,0.001151706750070583,1235,"['8_lag_10_median_arcTSjfm', '8_lag_13_median_traIT', '14_lag_alpi', '11_lag_atlSICsep', '8_lag_16_median_traBO', '13_lag_atlSICsep', '8_lag_11_median_cetTSjfm', '8_lag_17_median_stratZ50ndj03', '17_lag_atlSICjfm', '9_lag_amoSSTmjjaso', '10_lag_amo2', '8_lag_13_median_nhSICsep', '13_lag_glomaSSTjfm', '12_lag_nchinaPRjja', '17_lag_traBO', '8_lag_16_median_satlSSTjfm', '8_lag_15_median_glomaSSTjfm', '11_lag_ensoSSTjfm', '16_lag_pdoSSTjfm', '15_lag_arcTSjfm', '8_lag_13_median_stratZ50ndj03', '12_lag_gyreSSTjfm', '8_lag_9_median_atlSICjfm', '8_lag_14_median_nppc3SSTjfm', '13_lag_amo3', '8_lag_16_median_naoPSLjfm', '17_lag_nppc2SSTjfm', '8_lag_17_median_solFORC', '8_lag_nhTSjfm', '14_lag_traTLS']","[1.6410031708595056, 4.259604648680499, 3.093726551294754, 8.982238684627744, 6.648929400374474, 2.4510040877070374, 4.518457940927556, 1.5340336529564542, 2.360907722402864, 2.287075320588796, 3.263754970240605, 0.7196412115777164, 1.8392055476719662, 8.735912075586967, 3.904773747932504, 4.6290165214118755, 5.279946483579407, 3.4661274593606777, 4.047086952435988, 2.177541025455536, 4.2000670303728, 4.935813063429537, 0.3201731473548435, 3.685678107062289, 6.754828894324195, 5.049511329381078, 1.5007746610532031, 0.1047797254757441, 0.29241413392943905, 4.427238146171188]","8_lag_10_median_arcTSjfm, 8_lag_13_median_traIT, 14_lag_alpi, 11_lag_atlSICsep, 8_lag_16_median_traBO, 13_lag_atlSICsep, 8_lag_11_median_cetTSjfm, 8_lag_17_median_stratZ50ndj03, 17_lag_atlSICjfm, 9_lag_amoSSTmjjaso, 10_lag_amo2, 8_lag_13_median_nhSICsep, 13_lag_glomaSSTjfm, 12_lag_nchinaPRjja, 17_lag_traBO, 8_lag_16_median_satlSSTjfm, 8_lag_15_median_glomaSSTjfm, 11_lag_ensoSSTjfm, 16_lag_pdoSSTjfm, 15_lag_arcTSjfm, 8_lag_13_median_stratZ50ndj03, 12_lag_gyreSSTjfm, 8_lag_9_median_atlSICjfm, 8_lag_14_median_nppc3SSTjfm, 13_lag_amo3, 8_lag_16_median_naoPSLjfm, 17_lag_nppc2SSTjfm, 8_lag_17_median_solFORC, 8_lag_nhTSjfm, 14_lag_traTLS_1235_8"
LRforcedPSO,4,30,traTLS,slow,870.5,2005.5,0.4,19,9,9,21.035485733185077,0.06518406140009116,1235,"['9_lag_16_median_alpi', '15_lag_traEC', '11_lag_naoPSLjfm', '9_lag_11_median_stratZ50ndj01', '9_lag_samPSLann', '9_lag_18_median_seurTSjfm', '9_lag_15_median_naoPSLjfm', '16_lag_traCA', '9_lag_16_median_ismPRjja', '11_lag_pdoSSTjfm', '9_lag_traMC', '9_lag_17_median_wnorPRjfm', '9_lag_12_median_glTSjfm', '13_lag_stratZ50ndj01', '10_lag_seurTSjfm', '9_lag_12_median_alpi', '10_lag_ormenSSTjfm', '10_lag_shSICsep', '18_lag_shSICsep', '14_lag_traFB', '9_lag_13_median_ormenSSTjfm', '14_lag_traMC', '9_lag_17_median_tripol3', '17_lag_gyreSSTjfm', '14_lag_atlSICjfm', '11_lag_ginwSSTjfm', '11_lag_shTSjfm', '9_lag_11_median_traDP', '12_lag_AMOCann', '13_lag_ensoSSTjfm']","[3.798105588501441, 3.918927906737699, 3.8520656846828523, 9.628770964500557, 4.34932259169136, 4.312833932086755, 2.441186347380418, 2.116858156635244, 1.8131937138109393, 0.22300976394366678, 3.5868689907579476, 4.837341119140845, 2.2969580133862344, 2.96241977385975, 6.7992183597225715, 3.042197077343925, 7.040107078684665, 0.2821068792049193, 4.474762368931774, 3.471004521137475, 5.33759050043653, 3.0670412730788854, 4.265619312097137, 4.1948805047505555, 0.6298043676013148, 1.4514981569916223, 7.771483962748814, 2.3976393714712536, 6.084521020222773, 1.3186562843058347]","9_lag_16_median_alpi, 15_lag_traEC, 11_lag_naoPSLjfm, 9_lag_11_median_stratZ50ndj01, 9_lag_samPSLann, 9_lag_18_median_seurTSjfm, 9_lag_15_median_naoPSLjfm, 16_lag_traCA, 9_lag_16_median_ismPRjja, 11_lag_pdoSSTjfm, 9_lag_traMC, 9_lag_17_median_wnorPRjfm, 9_lag_12_median_glTSjfm, 13_lag_stratZ50ndj01, 10_lag_seurTSjfm, 9_lag_12_median_alpi, 10_lag_ormenSSTjfm, 10_lag_shSICsep, 18_lag_shSICsep, 14_lag_traFB, 9_lag_13_median_ormenSSTjfm, 14_lag_traMC, 9_lag_17_median_tripol3, 17_lag_gyreSSTjfm, 14_lag_atlSICjfm, 11_lag_ginwSSTjfm, 11_lag_shTSjfm, 9_lag_11_median_traDP, 12_lag_AMOCann, 13_lag_ensoSSTjfm_1235_9"
LRforcedPSO,5,30,traTLS,slow,871.5,2005.5,0.4,20,10,10,25.38248468218376,-0.08003291676037208,1235,"['18_lag_stratZ50ndj04', '10_lag_mhfATL60', '11_lag_tripol2', '10_lag_14_median_glomaSSTjfm', '14_lag_nhSICsep', '16_lag_stratZ50ndj01', '10_lag_16_median_ormenSSTjfm', '10_lag_13_median_traTLS', '10_lag_12_median_yrvPRjja', '13_lag_shSICmar', '11_lag_ensoSSTjfm', '10_lag_19_median_stratZ50ndj04', '10_lag_17_median_amoSSTmjjaso', '10_lag_13_median_samPSLann', '13_lag_seurTSjfm', '19_lag_traMC', '17_lag_alpi', '10_lag_19_median_traIT', '19_lag_pdoSSTjfm', '10_lag_19_median_naoPSLjfm', '10_lag_11_median_traIT', '17_lag_gyreSSTjfm', '10_lag_18_median_traBS', '10_lag_12_median_traFB', '10_lag_AMOCann', '12_lag_AMOCann', '10_lag_atlSICsep', '10_lag_12_median_traCA', '10_lag_19_median_mhfATL60', '10_lag_11_median_glomaSSTjfm']","[3.907761709828308, 2.719251526564122, 5.734375929226099, 4.527560926525773, 2.7441581774039943, 1.1208020054514911, 4.599068717965686, 4.984921525656302, 1.300826779884666, 7.578113227521872, 7.572348856119908, 3.835694168857211, 0.6430455483741131, 9.997558431320194, 0.4024397056484812, 2.198000756405179, 2.8974284357035636, 8.192231160331563, 5.423535167739484, 1.253310630229798, 9.918055852485754, 7.446250107587598, 0.9527429994406376, 9.419887313594664, 4.19377102175726, 5.916093749566698, 0.3230812538058139, 3.9344598587926694, 2.907682814828396, 0.6391064752427233]","18_lag_stratZ50ndj04, 10_lag_mhfATL60, 11_lag_tripol2, 10_lag_14_median_glomaSSTjfm, 14_lag_nhSICsep, 16_lag_stratZ50ndj01, 10_lag_16_median_ormenSSTjfm, 10_lag_13_median_traTLS, 10_lag_12_median_yrvPRjja, 13_lag_shSICmar, 11_lag_ensoSSTjfm, 10_lag_19_median_stratZ50ndj04, 10_lag_17_median_amoSSTmjjaso, 10_lag_13_median_samPSLann, 13_lag_seurTSjfm, 19_lag_traMC, 17_lag_alpi, 10_lag_19_median_traIT, 19_lag_pdoSSTjfm, 10_lag_19_median_naoPSLjfm, 10_lag_11_median_traIT, 17_lag_gyreSSTjfm, 10_lag_18_median_traBS, 10_lag_12_median_traFB, 10_lag_AMOCann, 12_lag_AMOCann, 10_lag_atlSICsep, 10_lag_12_median_traCA, 10_lag_19_median_mhfATL60, 10_lag_11_median_glomaSSTjfm_1235_10"
LRforcedPSO,6,30,traTLS,slow,872.5,2005.5,0.4,21,11,11,22.80169666407033,0.0011659344306549889,1235,"['15_lag_stratZ50ndj03', '12_lag_shTSjfm', '11_lag_20_median_labSSTjfm', '14_lag_ismPRjja', '11_lag_17_median_alpi', '11_lag_18_median_glTSjfm', '16_lag_eurPSLjfm', '11_lag_20_median_neurTSjfm', '11_lag_17_median_traIFC', '11_lag_stratZ50ndj04', '20_lag_cetTSjfm', '11_lag_20_median_traIT', '11_lag_15_median_stratZ50ndj02', '11_lag_12_median_stratZ50ndj02', '11_lag_17_median_samPSLann', '11_lag_13_median_wnorPRjfm', '11_lag_14_median_traMC', '19_lag_mhfATL30', '11_lag_16_median_amo3', '11_lag_stratZ50ndj01', '16_lag_ensoSSTjfm', '11_lag_16_median_shTSjfm', '12_lag_traWP', '13_lag_nhSICsep', '14_lag_yrvPRjja', '11_lag_20_median_traEC', '11_lag_18_median_atlSICjfm', '11_lag_16_median_traWP', '11_lag_mhfIP30', '18_lag_stratZ50ndj03']","[3.9055424127283622, 6.319933070977719, 5.00236111717369, 0.7351190351114028, 6.107847773116754, 8.618628035361105, 3.8764935620254786, 9.310568760818505, 1.5879638124384279, 5.0227169546857, 2.583370342163418, 2.5143689285512423, 3.7703121624303098, 0.7557394640591788, 5.467000893881945, 4.098667098510296, 5.186840966215316, 3.407687568969431, 4.350460175835094, 4.670137941206471, 0.5843537561301897, 0.3810579474777498, 1.5781981869543475, 3.046035482185969, 4.189227764630036, 3.6424594087324262, 0.9109226611778158, 6.475653065688817, 6.381952150286223, 4.4653624487169825]","15_lag_stratZ50ndj03, 12_lag_shTSjfm, 11_lag_20_median_labSSTjfm, 14_lag_ismPRjja, 11_lag_17_median_alpi, 11_lag_18_median_glTSjfm, 16_lag_eurPSLjfm, 11_lag_20_median_neurTSjfm, 11_lag_17_median_traIFC, 11_lag_stratZ50ndj04, 20_lag_cetTSjfm, 11_lag_20_median_traIT, 11_lag_15_median_stratZ50ndj02, 11_lag_12_median_stratZ50ndj02, 11_lag_17_median_samPSLann, 11_lag_13_median_wnorPRjfm, 11_lag_14_median_traMC, 19_lag_mhfATL30, 11_lag_16_median_amo3, 11_lag_stratZ50ndj01, 16_lag_ensoSSTjfm, 11_lag_16_median_shTSjfm, 12_lag_traWP, 13_lag_nhSICsep, 14_lag_yrvPRjja, 11_lag_20_median_traEC, 11_lag_18_median_atlSICjfm, 11_lag_16_median_traWP, 11_lag_mhfIP30, 18_lag_stratZ50ndj03_1235_11"
LRforcedPSO,7,30,traTLS,slow,873.5,2005.5,0.4,22,12,12,23.982960178108055,0.0571690669291052,1235,"['13_lag_traFSC', '12_lag_16_median_traIFC', '12_lag_17_median_traEC', '12_lag_16_median_arcTSjfm', '21_lag_amo1', '12_lag_21_median_traBO', '12_lag_16_median_cetTSjfm', '16_lag_traMC', '12_lag_17_median_shSICsep', '16_lag_stratZ50ndj01', '12_lag_samPSLann', '14_lag_amo2', '17_lag_labSSTjfm', '12_lag_21_median_nhSICsep', '12_lag_19_median_naoPSLjfm', '12_lag_14_median_stratZ50ndj03', '12_lag_17_median_nchinaPRjja', '12_lag_20_median_ismPRjja', '12_lag_14_median_traIFC', '12_lag_18_median_ginwSSTjfm', '18_lag_traDP', '18_lag_yrvPRjja', '12_lag_13_median_nppc3SSTjfm', '16_lag_atlSICjfm', '18_lag_traIT', '15_lag_nchinaPRjja', '18_lag_cetTSjfm', '12_lag_18_median_traIFC', '17_lag_seurTSjfm', '12_lag_yrvPRjja']","[6.187432145583632, 9.761574273707176, 0.14470665921596648, 0.794049448082653, 0.5016192444399792, 2.532136570466843, 8.458898263563533, 3.1242843903312734, 1.5983657623634109, 0.17303415092348295, 1.5644861002391401, 2.1312499918243644, 4.874433769544664, 6.319941607461475, 2.7647274218776356, 4.860235979689214, 3.9556934580256247, 0.2735742347749657, 2.4464124148806636, 8.402156153070825, 0.9835042300416035, 1.1829046137076524, 3.1578825160464374, 1.595827727321133, 1.577907663275198, 7.270893416067093, 3.046359351119424, 2.7483653839562123, 5.0387720316372135, 5.135315367391176]","13_lag_traFSC, 12_lag_16_median_traIFC, 12_lag_17_median_traEC, 12_lag_16_median_arcTSjfm, 21_lag_amo1, 12_lag_21_median_traBO, 12_lag_16_median_cetTSjfm, 16_lag_traMC, 12_lag_17_median_shSICsep, 16_lag_stratZ50ndj01, 12_lag_samPSLann, 14_lag_amo2, 17_lag_labSSTjfm, 12_lag_21_median_nhSICsep, 12_lag_19_median_naoPSLjfm, 12_lag_14_median_stratZ50ndj03, 12_lag_17_median_nchinaPRjja, 12_lag_20_median_ismPRjja, 12_lag_14_median_traIFC, 12_lag_18_median_ginwSSTjfm, 18_lag_traDP, 18_lag_yrvPRjja, 12_lag_13_median_nppc3SSTjfm, 16_lag_atlSICjfm, 18_lag_traIT, 15_lag_nchinaPRjja, 18_lag_cetTSjfm, 12_lag_18_median_traIFC, 17_lag_seurTSjfm, 12_lag_yrvPRjja_1235_12"
LRforcedPSO,8,30,traTLS,slow,874.5,2005.5,0.4,23,13,13,23.40966961304739,-0.0031549501909332303,1235,"['13_lag_14_median_nhTSjfm', '13_lag_22_median_amo3', '13_lag_14_median_seurTSjfm', '13_lag_14_median_glomaSSTjfm', '13_lag_20_median_traFS', '13_lag_21_median_yrvPRjja', '13_lag_17_median_traEU', '14_lag_traEC', '13_lag_21_median_stratZ50ndj04', '13_lag_17_median_ginwSSTjfm', '20_lag_tripol1', '22_lag_gyreSSTjfm', '13_lag_19_median_eurPSLjfm', '13_lag_18_median_nhSICsep', '13_lag_15_median_ormenSSTjfm', '13_lag_21_median_nhSICjfm', '13_lag_19_median_eapPSLjfm', '13_lag_17_median_stratZ50ndj02', '13_lag_17_median_shSICsep', '13_lag_14_median_shSICsep', '13_lag_15_median_neurTSjfm', '21_lag_atlSICsep', '13_lag_15_median_traIFC', '16_lag_shSICmar', '13_lag_mhfATL30', '14_lag_amo3', '15_lag_solFORC', '21_lag_nhTSjfm', '13_lag_21_median_labSSTjfm', '14_lag_tripol1']","[5.392486286751792, 9.49009556897453, 6.272615634407721, 6.6642593553152345, 1.799939628857338, 5.746778009176875, 0.18771749860318465, 3.2115232202989556, 9.24629807198546, 2.613154572210994, 1.8661728675920415, 5.48913790510931, 4.154830541323056, 5.776657667213094, 3.303941722596557, 3.603569817835, 0.9122362115849469, 7.270261971485493, 1.4749588841012589, 4.08434556320922, 8.223604216177488, 6.643032059529947, 2.474100561025569, 0.6155228127381918, 3.6749892884007878, 1.633649384692479, 0.43901106190607564, 1.6014572101088138, 1.8010048210132386, 5.868145387297455]","13_lag_14_median_nhTSjfm, 13_lag_22_median_amo3, 13_lag_14_median_seurTSjfm, 13_lag_14_median_glomaSSTjfm, 13_lag_20_median_traFS, 13_lag_21_median_yrvPRjja, 13_lag_17_median_traEU, 14_lag_traEC, 13_lag_21_median_stratZ50ndj04, 13_lag_17_median_ginwSSTjfm, 20_lag_tripol1, 22_lag_gyreSSTjfm, 13_lag_19_median_eurPSLjfm, 13_lag_18_median_nhSICsep, 13_lag_15_median_ormenSSTjfm, 13_lag_21_median_nhSICjfm, 13_lag_19_median_eapPSLjfm, 13_lag_17_median_stratZ50ndj02, 13_lag_17_median_shSICsep, 13_lag_14_median_shSICsep, 13_lag_15_median_neurTSjfm, 21_lag_atlSICsep, 13_lag_15_median_traIFC, 16_lag_shSICmar, 13_lag_mhfATL30, 14_lag_amo3, 15_lag_solFORC, 21_lag_nhTSjfm, 13_lag_21_median_labSSTjfm, 14_lag_tripol1_1235_13"
LRforcedPSO,9,30,traTLS,slow,875.5,2005.5,0.4,24,14,14,20.4832094912305,0.05771391718898082,1235,"['14_lag_20_median_satlSSTjfm', '14_lag_23_median_nppc3SSTjfm', '17_lag_pdoSSTjfm', '14_lag_nppc2SSTjfm', '14_lag_23_median_traFB', '21_lag_glomaSSTjfm', '14_lag_21_median_glTSjfm', '16_lag_samPSLann', '20_lag_traEU', '14_lag_22_median_tripol2', '14_lag_23_median_traFS', '20_lag_shTSjfm', '14_lag_23_median_nchinaPRjja', '16_lag_traBO', '20_lag_amo2', '14_lag_22_median_pdoSSTjfm', '20_lag_traDS', '22_lag_traFSC', '18_lag_nppc3SSTjfm', '21_lag_wnorPRjfm', '22_lag_naoPSLjfm', '14_lag_20_median_traWP', '19_lag_solFORC', '14_lag_15_median_labSSTjfm', '14_lag_23_median_tripol1', '22_lag_AMOCann', '14_lag_23_median_mhfIP30', '23_lag_stratZ50ndj03', '14_lag_16_median_AMOCann', '14_lag_15_median_scpPSLjfm']","[3.0619603022944357, 4.159131612851677, 0.2309633283022272, 1.3767996883799647, 7.6615229050099884, 2.456556187859121, 8.078943298971897, 0.38157649397147253, 6.546546834035225, 1.3902395347882361, 8.929702653066734, 0.7750770720344597, 5.282478022845096, 3.7708425406204746, 2.461749703859926, 0.9337875916189127, 1.74054667008037, 0.4385540721615939, 5.64281394914683, 4.011538408512061, 0.9439988875320875, 5.598711558627039, 0.36142107850151106, 6.4237119104257046, 4.942913097513837, 8.550666095109023, 2.155093144722935, 8.347435952976284, 7.680679072621173, 3.3187658210048765]","14_lag_20_median_satlSSTjfm, 14_lag_23_median_nppc3SSTjfm, 17_lag_pdoSSTjfm, 14_lag_nppc2SSTjfm, 14_lag_23_median_traFB, 21_lag_glomaSSTjfm, 14_lag_21_median_glTSjfm, 16_lag_samPSLann, 20_lag_traEU, 14_lag_22_median_tripol2, 14_lag_23_median_traFS, 20_lag_shTSjfm, 14_lag_23_median_nchinaPRjja, 16_lag_traBO, 20_lag_amo2, 14_lag_22_median_pdoSSTjfm, 20_lag_traDS, 22_lag_traFSC, 18_lag_nppc3SSTjfm, 21_lag_wnorPRjfm, 22_lag_naoPSLjfm, 14_lag_20_median_traWP, 19_lag_solFORC, 14_lag_15_median_labSSTjfm, 14_lag_23_median_tripol1, 22_lag_AMOCann, 14_lag_23_median_mhfIP30, 23_lag_stratZ50ndj03, 14_lag_16_median_AMOCann, 14_lag_15_median_scpPSLjfm_1235_14"
