model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,traTLS,slow,1514.5,2005.5,0.8,15,5,10,12.419999479266645,-0.03481568144503783,1235,"['10_lag_naoPSLjfm', '14_lag_satlSSTjfm', '11_lag_traFB', '10_lag_atlSICjfm', '14_lag_cetTSjfm', '12_lag_traMC']","[0.07290789274663853, 0.08162734454896035, 0.04694979517368573, 0.09216445021549927, 0.06301171235597167, 0.0901146454023061]","10_lag_naoPSLjfm, 14_lag_satlSSTjfm, 11_lag_traFB, 10_lag_atlSICjfm, 14_lag_cetTSjfm, 12_lag_traMC_1235_10"
LinearRegression,1,6,traTLS,slow,1515.5,2005.5,0.8,16,6,9,12.492187427742527,-0.031632326111473937,1235,"['10_lag_naoPSLjfm', '9_lag_traWP', '11_lag_traFB', '14_lag_cetTSjfm', '10_lag_atlSICjfm', '12_lag_traMC']","[0.07529211713719369, 0.1347461043183622, 0.03435274355313142, 0.07439767836397053, 0.07636643391291635, 0.10292015304090543]","10_lag_naoPSLjfm, 9_lag_traWP, 11_lag_traFB, 14_lag_cetTSjfm, 10_lag_atlSICjfm, 12_lag_traMC_1235_9"
LinearRegression,2,6,traTLS,slow,1516.5,2005.5,0.8,17,7,7,12.22661673136445,-0.013375440503088247,1235,"['10_lag_mhfATL60', '7_lag_12_median_wnorPRjfm', '10_lag_traDP', '16_lag_traBS', '9_lag_amoSSTmjjaso', '9_lag_traWP']","[0.016066667655443952, 0.021592436575196355, 0.059664283278178826, 0.032481767314135115, 0.15906562998139157, 0.14073416247617926]","10_lag_mhfATL60, 7_lag_12_median_wnorPRjfm, 10_lag_traDP, 16_lag_traBS, 9_lag_amoSSTmjjaso, 9_lag_traWP_1235_7"
LinearRegression,3,6,traTLS,slow,1517.5,2005.5,0.8,18,8,8,12.91856448216473,-0.1199244645792811,1235,"['12_lag_tripol3', '14_lag_cetTSjfm', '14_lag_satlSSTjfm', '8_lag_mhfIP30', '8_lag_traDP', '12_lag_traMC']","[0.14057846001435925, 0.05134645407491428, 0.08878085246405772, 0.08351561815162126, 0.04384445715336772, 0.09317945182760934]","12_lag_tripol3, 14_lag_cetTSjfm, 14_lag_satlSSTjfm, 8_lag_mhfIP30, 8_lag_traDP, 12_lag_traMC_1235_8"
LinearRegression,4,6,traTLS,slow,1518.5,2005.5,0.8,19,9,9,13.18184643187115,-0.1135265571836658,1235,"['17_lag_nppc3SSTjfm', '18_lag_cetTSjfm', '9_lag_traWP', '14_lag_samPSLann', '12_lag_ginwSSTjfm', '12_lag_traMC']","[0.007651322509285781, 0.02686808747921867, 0.12670055869743357, 0.1336395908644129, 0.031206880232775534, 0.1048699608945261]","17_lag_nppc3SSTjfm, 18_lag_cetTSjfm, 9_lag_traWP, 14_lag_samPSLann, 12_lag_ginwSSTjfm, 12_lag_traMC_1235_9"
LinearRegression,5,6,traTLS,slow,1519.5,2005.5,0.8,20,10,10,12.585062116441813,-0.18357001747036303,1235,"['16_lag_nppc2SSTjfm', '12_lag_ginwSSTjfm', '16_lag_traWP', '16_lag_traDP', '12_lag_traMC', '10_lag_13_median_nchinaPRjja']","[0.03155386366131166, 0.04051000945198725, 0.04444619039778642, 0.07113486957778192, 0.08631619202159176, 0.017840427615812712]","16_lag_nppc2SSTjfm, 12_lag_ginwSSTjfm, 16_lag_traWP, 16_lag_traDP, 12_lag_traMC, 10_lag_13_median_nchinaPRjja_1235_10"
LinearRegression,6,6,traTLS,slow,1520.5,2005.5,0.8,21,11,11,12.186091723437114,-0.03413444241641815,1235,"['11_lag_14_median_pdoSSTjfm', '18_lag_naoPSLjfm', '16_lag_traDP', '15_lag_amo3', '20_lag_nhSICsep', '20_lag_samPSLann']","[0.0002089322809854951, 0.012368894027730004, 0.06429294270369289, 0.02007899185909616, 0.20603038176748587, 0.1350932128473869]","11_lag_14_median_pdoSSTjfm, 18_lag_naoPSLjfm, 16_lag_traDP, 15_lag_amo3, 20_lag_nhSICsep, 20_lag_samPSLann_1235_11"
LinearRegression,7,6,traTLS,slow,1521.5,2005.5,0.8,22,12,12,12.244487675965756,-0.11265047068425024,1235,"['18_lag_traEC', '12_lag_17_median_alpi', '21_lag_samPSLann', '16_lag_traDP', '12_lag_traMC', '12_lag_ginwSSTjfm']","[0.13136090625734928, 0.08718775012927964, 0.050654777283779456, 0.04329917639279533, 0.07037268428500652, 0.03058566313468815]","18_lag_traEC, 12_lag_17_median_alpi, 21_lag_samPSLann, 16_lag_traDP, 12_lag_traMC, 12_lag_ginwSSTjfm_1235_12"
LinearRegression,8,6,traTLS,slow,1522.5,2005.5,0.8,23,13,16,12.163025689235692,0.03084209910946252,1235,"['20_lag_nhSICjfm', '16_lag_traDP', '21_lag_naoPSLjfm', '16_lag_scpPSLjfm', '20_lag_traWP', '18_lag_traEC']","[0.047043574231409216, 0.039267982035957896, 0.013485427640504526, 0.051321422888156804, 0.1001066684713982, 0.13224338342961908]","20_lag_nhSICjfm, 16_lag_traDP, 21_lag_naoPSLjfm, 16_lag_scpPSLjfm, 20_lag_traWP, 18_lag_traEC_1235_16"
LinearRegression,9,6,traTLS,slow,1523.5,2005.5,0.8,24,14,14,11.978325078305767,0.06507024422517388,1235,"['16_lag_scpPSLjfm', '17_lag_traBS', '14_lag_traWP', '18_lag_samPSLann', '22_lag_mhfIP30', '20_lag_traWP']","[0.0508876083003793, 0.09085038131602588, 0.10822591635496905, 0.11517944340135115, 0.0722676594519613, 0.13102837323368932]","16_lag_scpPSLjfm, 17_lag_traBS, 14_lag_traWP, 18_lag_samPSLann, 22_lag_mhfIP30, 20_lag_traWP_1235_14"
