model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,10,traWP,slow,1714.5,2005.5,0.4,15,5,5,14.557235549878298,0.004152803119745578,1235,"['8_lag_ismPRjja', '7_lag_atlSICsep', '11_lag_yrvPRjja', '12_lag_mhfATL45', '11_lag_stratZ50ndj01', '9_lag_mhfIP30', '14_lag_nppc2SSTjfm', '5_lag_alpi', '11_lag_mhfIP30', '10_lag_stratZ50ndj03']","[0.07196397354040115, 0.026673337353076726, 0.13384577031310751, 0.01058649757162941, 0.11247153801954614, 0.06408868909603704, 0.19507253721087875, 0.11006553916136155, 0.14858478194980326, 0.09760562312992255]","8_lag_ismPRjja, 7_lag_atlSICsep, 11_lag_yrvPRjja, 12_lag_mhfATL45, 11_lag_stratZ50ndj01, 9_lag_mhfIP30, 14_lag_nppc2SSTjfm, 5_lag_alpi, 11_lag_mhfIP30, 10_lag_stratZ50ndj03_1235_5"
LinearRegression,1,10,traWP,slow,1715.5,2005.5,0.4,16,6,6,14.909681835368813,0.012033661739675076,1235,"['13_lag_shSICmar', '6_lag_amoSSTmjjaso', '15_lag_mhfIP30', '15_lag_atlSICsep', '15_lag_stratZ50ndj01', '11_lag_tripol1', '11_lag_yrvPRjja', '10_lag_yrvPRjja', '15_lag_traBS', '10_lag_stratZ50ndj03']","[0.0726047413962377, 0.2721147218193146, 0.08513512062285306, 0.14931537811705736, 0.095487934568506, 0.10798813017916248, 0.13747031034367027, 0.030974987855563255, 0.14326207377112776, 0.10980236043181334]","13_lag_shSICmar, 6_lag_amoSSTmjjaso, 15_lag_mhfIP30, 15_lag_atlSICsep, 15_lag_stratZ50ndj01, 11_lag_tripol1, 11_lag_yrvPRjja, 10_lag_yrvPRjja, 15_lag_traBS, 10_lag_stratZ50ndj03_1235_6"
LinearRegression,2,10,traWP,slow,1716.5,2005.5,0.4,17,7,7,14.31476665981898,0.021710390164354686,1235,"['11_lag_yrvPRjja', '15_lag_stratZ50ndj01', '11_lag_tripol1', '7_lag_atlSICsep', '15_lag_traBS', '10_lag_stratZ50ndj03', '10_lag_yrvPRjja', '16_lag_nchinaPRjja', '16_lag_traBS', '16_lag_stratZ50ndj03']","[0.12977073925962704, 0.02866151385309879, 0.08990848588155216, 0.034751239325527164, 0.1656857278161092, 0.1205265463859751, 0.06646907252941249, 0.1067596050640503, 0.10140847986752403, 0.04689293146021338]","11_lag_yrvPRjja, 15_lag_stratZ50ndj01, 11_lag_tripol1, 7_lag_atlSICsep, 15_lag_traBS, 10_lag_stratZ50ndj03, 10_lag_yrvPRjja, 16_lag_nchinaPRjja, 16_lag_traBS, 16_lag_stratZ50ndj03_1235_7"
LinearRegression,3,10,traWP,slow,1717.5,2005.5,0.4,18,8,10,13.420224381172096,0.10311540146080234,1235,"['16_lag_traFB', '17_lag_stratZ50ndj03', '11_lag_tripol1', '17_lag_scpPSLjfm', '15_lag_shSICmar', '10_lag_stratZ50ndj03', '15_lag_traBS', '16_lag_nchinaPRjja', '16_lag_traBS', '16_lag_stratZ50ndj03']","[0.24016715896817847, 0.09010913237001947, 0.054419017218512014, 0.12793450094266498, 0.11189181333467987, 0.08391148827298317, 0.1725891107341251, 0.09196789790382785, 0.09528777889969511, 0.07770537996272409]","16_lag_traFB, 17_lag_stratZ50ndj03, 11_lag_tripol1, 17_lag_scpPSLjfm, 15_lag_shSICmar, 10_lag_stratZ50ndj03, 15_lag_traBS, 16_lag_nchinaPRjja, 16_lag_traBS, 16_lag_stratZ50ndj03_1235_10"
LinearRegression,4,10,traWP,slow,1718.5,2005.5,0.4,19,9,10,13.47953818334873,0.07714688423538374,1235,"['10_lag_yrvPRjja', '13_lag_traEU', '17_lag_scpPSLjfm', '15_lag_traBS', '15_lag_shSICmar', '16_lag_traFB', '16_lag_nchinaPRjja', '16_lag_stratZ50ndj03', '16_lag_traBS', '18_lag_mhfIP30']","[0.021071903434861337, 0.015395627571730464, 0.12342912405044795, 0.148477065557688, 0.0954480824226338, 0.2487248773520606, 0.0857172231021362, 0.07438041250886356, 0.1180216767515112, 0.14031443129219112]","10_lag_yrvPRjja, 13_lag_traEU, 17_lag_scpPSLjfm, 15_lag_traBS, 15_lag_shSICmar, 16_lag_traFB, 16_lag_nchinaPRjja, 16_lag_stratZ50ndj03, 16_lag_traBS, 18_lag_mhfIP30_1235_10"
LinearRegression,5,10,traWP,slow,1719.5,2005.5,0.4,20,10,10,13.8370695727934,0.05410612911931509,1235,"['17_lag_stratZ50ndj03', '10_lag_ginwSSTjfm', '15_lag_shSICmar', '10_lag_yrvPRjja', '16_lag_stratZ50ndj03', '18_lag_mhfIP30', '17_lag_scpPSLjfm', '16_lag_nchinaPRjja', '16_lag_traFB', '16_lag_traBS']","[0.07892773679809971, 0.1421222397423145, 0.09147934742654065, 0.018337324216475402, 0.0800195941984689, 0.16209289470027116, 0.09069622981220217, 0.0758674485002447, 0.2280271423694305, 0.07553708448017962]","17_lag_stratZ50ndj03, 10_lag_ginwSSTjfm, 15_lag_shSICmar, 10_lag_yrvPRjja, 16_lag_stratZ50ndj03, 18_lag_mhfIP30, 17_lag_scpPSLjfm, 16_lag_nchinaPRjja, 16_lag_traFB, 16_lag_traBS_1235_10"
LinearRegression,6,10,traWP,slow,1720.5,2005.5,0.4,21,11,15,13.602782127301145,0.10429227517356632,1235,"['20_lag_yrvPRjja', '18_lag_yrvPRjja', '20_lag_nchinaPRjja', '15_lag_traBS', '18_lag_mhfIP30', '16_lag_stratZ50ndj03', '15_lag_traIT', '16_lag_nchinaPRjja', '16_lag_traFB', '16_lag_traBS']","[0.07101365361978161, 0.13359217764900058, 0.09625139608665624, 0.09047512764855963, 0.15471250826836713, 0.033286767318076664, 0.19493964899072216, 0.13303740483232457, 0.241478138209249, 0.09991262348524475]","20_lag_yrvPRjja, 18_lag_yrvPRjja, 20_lag_nchinaPRjja, 15_lag_traBS, 18_lag_mhfIP30, 16_lag_stratZ50ndj03, 15_lag_traIT, 16_lag_nchinaPRjja, 16_lag_traFB, 16_lag_traBS_1235_15"
LinearRegression,7,10,traWP,slow,1721.5,2005.5,0.4,22,12,12,13.101820402756623,0.1388254693559689,1235,"['21_lag_stratZ50ndj02', '18_lag_yrvPRjja', '15_lag_traIT', '18_lag_mhfIP30', '12_lag_traEU', '20_lag_nchinaPRjja', '15_lag_traBS', '16_lag_stratZ50ndj03', '16_lag_traFB', '16_lag_traBS']","[0.12619153866018598, 0.12297583013381957, 0.1647615655884107, 0.13837519527368186, 0.09020283384632861, 0.09101825294057114, 0.07645833193455136, 0.05365146453033506, 0.22574884420816632, 0.12339951767780676]","21_lag_stratZ50ndj02, 18_lag_yrvPRjja, 15_lag_traIT, 18_lag_mhfIP30, 12_lag_traEU, 20_lag_nchinaPRjja, 15_lag_traBS, 16_lag_stratZ50ndj03, 16_lag_traFB, 16_lag_traBS_1235_12"
LinearRegression,8,10,traWP,slow,1722.5,2005.5,0.4,23,13,13,11.803425324298576,0.37015262074385175,1235,"['15_lag_traBS', '20_lag_stratZ50ndj01', '17_lag_scpPSLjfm', '16_lag_stratZ50ndj03', '17_lag_nhSICsep', '13_lag_scpPSLjfm', '13_lag_traEU', '16_lag_traBS', '22_lag_eurPSLjfm', '16_lag_traFB']","[0.14506619557096526, 0.040981982174903925, 0.10987893919425824, 0.08008084500220893, 0.29307583721727926, 0.04828635522535837, 0.002218967056897307, 0.08839830951287865, 0.1376335987981732, 0.2922874326042918]","15_lag_traBS, 20_lag_stratZ50ndj01, 17_lag_scpPSLjfm, 16_lag_stratZ50ndj03, 17_lag_nhSICsep, 13_lag_scpPSLjfm, 13_lag_traEU, 16_lag_traBS, 22_lag_eurPSLjfm, 16_lag_traFB_1235_13"
LinearRegression,9,10,traWP,slow,1723.5,2005.5,0.4,24,14,14,11.209756251839107,0.3992302822608618,1235,"['17_lag_stratZ50ndj01', '14_lag_shSICmar', '20_lag_yrvPRjja', '17_lag_nhSICsep', '16_lag_traBS', '19_lag_nchinaPRjja', '19_lag_tripol3', '17_lag_scpPSLjfm', '16_lag_traFB', '23_lag_nchinaPRjja']","[0.031817584941994735, 0.1105432426435357, 0.0010028890036706487, 0.31326949781996, 0.061549928106332495, 0.06322120820899363, 0.08361520005165488, 0.1240494553277591, 0.26001823926608675, 0.12951026221813974]","17_lag_stratZ50ndj01, 14_lag_shSICmar, 20_lag_yrvPRjja, 17_lag_nhSICsep, 16_lag_traBS, 19_lag_nchinaPRjja, 19_lag_tripol3, 17_lag_scpPSLjfm, 16_lag_traFB, 23_lag_nchinaPRjja_1235_14"
