model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,30,tripol3,slow,1714.5,2005.5,0.6,15,1,1,17.022245292222575,0.41568306076403944,1755,"['4_lag_stratZ50ndj02', '13_lag_nchinaPRjja', '9_lag_tripol1', '1_lag_ensoSSTjfm', '1_lag_tripol3', '14_lag_ensoSSTjfm', '10_lag_traEU', '3_lag_traMC', '4_lag_scpPSLjfm', '8_lag_ismPRjja', '10_lag_scpPSLjfm', '5_lag_traTLS', '1_lag_traBS', '7_lag_atlSICsep', '12_lag_wnorPRjfm', '3_lag_traIT', '13_lag_shSICmar', '5_lag_tripol1', '12_lag_traEU', '11_lag_shSICmar', '4_lag_stratZ50ndj01', '9_lag_nchinaPRjja', '1_lag_nchinaPRjja', '9_lag_ismPRjja', '4_lag_traMC', '8_lag_stratZ50ndj03', '11_lag_nchinaPRjja', '14_lag_stratZ50ndj03', '3_lag_nchinaPRjja', '6_lag_atlSICsep']","[0.05707019182044246, 0.046387919796858496, 0.19495654575772176, 0.18262643590995598, 0.2424744786347441, 0.04849956211754657, 0.05467627697901779, 0.08955591223182242, 0.01284838438638858, 0.06567201936232675, 0.09910414509657565, 0.0756076810016592, 0.11609686158356013, 0.1568559606362743, 0.07193707675469684, 0.140593767965481, 0.03474439175339867, 0.13158638548012164, 0.1199494218886458, 0.09322755537745686, 0.08661209060611828, 0.07146209769886491, 0.06133095151510894, 0.06972684811316718, 0.07786540803617117, 0.06889527403772991, 0.06315403135051721, 0.07178602219079935, 0.08905231623615067, 0.10055217433878177]","4_lag_stratZ50ndj02, 13_lag_nchinaPRjja, 9_lag_tripol1, 1_lag_ensoSSTjfm, 1_lag_tripol3, 14_lag_ensoSSTjfm, 10_lag_traEU, 3_lag_traMC, 4_lag_scpPSLjfm, 8_lag_ismPRjja, 10_lag_scpPSLjfm, 5_lag_traTLS, 1_lag_traBS, 7_lag_atlSICsep, 12_lag_wnorPRjfm, 3_lag_traIT, 13_lag_shSICmar, 5_lag_tripol1, 12_lag_traEU, 11_lag_shSICmar, 4_lag_stratZ50ndj01, 9_lag_nchinaPRjja, 1_lag_nchinaPRjja, 9_lag_ismPRjja, 4_lag_traMC, 8_lag_stratZ50ndj03, 11_lag_nchinaPRjja, 14_lag_stratZ50ndj03, 3_lag_nchinaPRjja, 6_lag_atlSICsep_1755_1"
LinearRegression,1,30,tripol3,slow,1715.5,2005.5,0.6,16,1,1,17.620773730011397,0.3998519696386026,1885,"['4_lag_scpPSLjfm', '3_lag_traMC', '12_lag_eurPSLjfm', '1_lag_ensoSSTjfm', '11_lag_traDS', '12_lag_traEU', '1_lag_tripol3', '14_lag_stratZ50ndj02', '4_lag_stratZ50ndj02', '7_lag_atlSICsep', '9_lag_tripol1', '8_lag_ismPRjja', '10_lag_traEU', '14_lag_ensoSSTjfm', '5_lag_tripol1', '3_lag_traIT', '13_lag_shSICmar', '11_lag_shSICmar', '5_lag_traTLS', '13_lag_nchinaPRjja', '4_lag_stratZ50ndj01', '9_lag_nchinaPRjja', '9_lag_ismPRjja', '4_lag_traMC', '1_lag_nchinaPRjja', '14_lag_stratZ50ndj03', '8_lag_stratZ50ndj03', '3_lag_nchinaPRjja', '11_lag_nchinaPRjja', '6_lag_atlSICsep']","[0.009267051472537922, 0.07256804186005053, 0.04818541420023432, 0.1520653587442257, 0.14588432073824867, 0.14015911858136673, 0.2422657372287187, 0.1383451541688752, 0.06306314199752293, 0.14378211635551913, 0.20123048322664058, 0.027466746428331103, 0.03875043249666369, 0.055615997889740934, 0.1452078905084755, 0.15410128789146363, 0.03032950789114607, 0.13263308131965648, 0.07164604271217231, 0.07762765374065282, 0.08156030606410766, 0.07186020183928843, 0.06183392360378321, 0.0774165837346752, 0.05972684969598663, 0.07403732320464804, 0.09961727603233625, 0.07168499179028132, 0.06755428498684199, 0.08037884715517167]","4_lag_scpPSLjfm, 3_lag_traMC, 12_lag_eurPSLjfm, 1_lag_ensoSSTjfm, 11_lag_traDS, 12_lag_traEU, 1_lag_tripol3, 14_lag_stratZ50ndj02, 4_lag_stratZ50ndj02, 7_lag_atlSICsep, 9_lag_tripol1, 8_lag_ismPRjja, 10_lag_traEU, 14_lag_ensoSSTjfm, 5_lag_tripol1, 3_lag_traIT, 13_lag_shSICmar, 11_lag_shSICmar, 5_lag_traTLS, 13_lag_nchinaPRjja, 4_lag_stratZ50ndj01, 9_lag_nchinaPRjja, 9_lag_ismPRjja, 4_lag_traMC, 1_lag_nchinaPRjja, 14_lag_stratZ50ndj03, 8_lag_stratZ50ndj03, 3_lag_nchinaPRjja, 11_lag_nchinaPRjja, 6_lag_atlSICsep_1885_1"
LinearRegression,2,30,tripol3,slow,1716.5,2005.5,0.6,17,1,1,18.615570482643285,0.33271284951098706,2015,"['1_lag_traTLS', '14_lag_stratZ50ndj02', '12_lag_yrvPRjja', '7_lag_atlSICsep', '5_lag_tripol1', '4_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_tripol3', '1_lag_ensoSSTjfm', '12_lag_wnorPRjfm', '10_lag_scpPSLjfm', '1_lag_scpPSLjfm', '13_lag_shSICmar', '9_lag_tripol1', '3_lag_traIT', '13_lag_nchinaPRjja', '12_lag_traEU', '16_lag_shSICsep', '4_lag_stratZ50ndj02', '5_lag_traTLS', '9_lag_ismPRjja', '4_lag_traMC', '1_lag_nchinaPRjja', '9_lag_nchinaPRjja', '14_lag_stratZ50ndj03', '6_lag_atlSICsep', '8_lag_stratZ50ndj03', '3_lag_nchinaPRjja', '11_lag_nchinaPRjja', '16_lag_traEC']","[0.0021075872467844936, 0.13425098185903392, 0.07905589696699714, 0.16037924728328137, 0.07766516139377469, 0.09323620688440173, 0.2175500916041374, 0.18921462384858587, 0.19959102160020187, 0.04623440699532299, 0.0835779916926628, 0.10502011806401298, 0.04348324153820859, 0.18989070324117474, 0.09861133664124812, 0.04364654451355067, 0.1081837512052439, 0.032721437355146474, 0.06937612153615082, 0.07004979956898288, 0.09184452288301438, 0.03829623351314196, 0.0894134936120713, 0.1025828859623454, 0.08635227603575475, 0.10313329504525305, 0.05609851528262692, 0.0687127600839196, 0.04417827283855562, 0.17682421521700933]","1_lag_traTLS, 14_lag_stratZ50ndj02, 12_lag_yrvPRjja, 7_lag_atlSICsep, 5_lag_tripol1, 4_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_tripol3, 1_lag_ensoSSTjfm, 12_lag_wnorPRjfm, 10_lag_scpPSLjfm, 1_lag_scpPSLjfm, 13_lag_shSICmar, 9_lag_tripol1, 3_lag_traIT, 13_lag_nchinaPRjja, 12_lag_traEU, 16_lag_shSICsep, 4_lag_stratZ50ndj02, 5_lag_traTLS, 9_lag_ismPRjja, 4_lag_traMC, 1_lag_nchinaPRjja, 9_lag_nchinaPRjja, 14_lag_stratZ50ndj03, 6_lag_atlSICsep, 8_lag_stratZ50ndj03, 3_lag_nchinaPRjja, 11_lag_nchinaPRjja, 16_lag_traEC_2015_1"
LinearRegression,3,30,tripol3,slow,1717.5,2005.5,0.6,18,1,1,23.803534953206924,0.07855390690540816,2145,"['4_lag_mhfATL60', '14_lag_stratZ50ndj02', '17_lag_pdoSSTjfm', '14_lag_ensoSSTjfm', '13_lag_shSICmar', '10_lag_scpPSLjfm', '16_lag_traFB', '11_lag_shSICmar', '9_lag_ismPRjja', '12_lag_yrvPRjja', '4_lag_stratZ50ndj02', '3_lag_traIT', '12_lag_wnorPRjfm', '1_lag_ensoSSTjfm', '9_lag_tripol1', '16_lag_shSICsep', '12_lag_traEU', '1_lag_traTLS', '13_lag_nchinaPRjja', '17_lag_nchinaPRjja', '1_lag_nchinaPRjja', '1_lag_traIT', '6_lag_atlSICsep', '4_lag_traMC', '9_lag_nchinaPRjja', '3_lag_nchinaPRjja', '8_lag_stratZ50ndj03', '14_lag_stratZ50ndj03', '11_lag_nchinaPRjja', '16_lag_traEC']","[0.006339301438621195, 0.1428033166680872, 0.11426386577312485, 0.047160393573983043, 0.03034361682589224, 0.10598914769860736, 0.058571174323759606, 0.06650224499081679, 0.09583653587593931, 0.05599570916966682, 0.016416730676206043, 0.06446547327857177, 0.03567624236664441, 0.11610344461171315, 0.15846464177035147, 0.00562421349977164, 0.1166690343819107, 0.04023465693296579, 0.012798445849711688, 0.05825703209526986, 0.10437956602341518, 0.16280929521955814, 0.0037679429176105572, 0.019186264887181444, 0.11303527979393697, 0.06122665531872136, 0.037762239792861405, 0.09023907630484007, 0.08354250090800187, 0.23697860178035385]","4_lag_mhfATL60, 14_lag_stratZ50ndj02, 17_lag_pdoSSTjfm, 14_lag_ensoSSTjfm, 13_lag_shSICmar, 10_lag_scpPSLjfm, 16_lag_traFB, 11_lag_shSICmar, 9_lag_ismPRjja, 12_lag_yrvPRjja, 4_lag_stratZ50ndj02, 3_lag_traIT, 12_lag_wnorPRjfm, 1_lag_ensoSSTjfm, 9_lag_tripol1, 16_lag_shSICsep, 12_lag_traEU, 1_lag_traTLS, 13_lag_nchinaPRjja, 17_lag_nchinaPRjja, 1_lag_nchinaPRjja, 1_lag_traIT, 6_lag_atlSICsep, 4_lag_traMC, 9_lag_nchinaPRjja, 3_lag_nchinaPRjja, 8_lag_stratZ50ndj03, 14_lag_stratZ50ndj03, 11_lag_nchinaPRjja, 16_lag_traEC_2145_1"
LinearRegression,4,30,tripol3,slow,1718.5,2005.5,0.6,19,1,1,22.483052038237624,0.18604034401049696,2275,"['18_lag_ormenSSTjfm', '4_lag_scpPSLjfm', '3_lag_traMC', '12_lag_wnorPRjfm', '14_lag_stratZ50ndj02', '12_lag_yrvPRjja', '17_lag_pdoSSTjfm', '10_lag_scpPSLjfm', '9_lag_stratZ50ndj01', '16_lag_shSICsep', '9_lag_ismPRjja', '8_lag_ismPRjja', '13_lag_shSICmar', '11_lag_shSICmar', '9_lag_tripol1', '4_lag_traMC', '12_lag_traEU', '6_lag_atlSICsep', '1_lag_ensoSSTjfm', '17_lag_nchinaPRjja', '1_lag_traTLS', '1_lag_traIT', '1_lag_nchinaPRjja', '13_lag_nchinaPRjja', '8_lag_stratZ50ndj03', '14_lag_stratZ50ndj03', '3_lag_nchinaPRjja', '9_lag_nchinaPRjja', '11_lag_nchinaPRjja', '16_lag_traEC']","[0.06136563503509335, 0.012798610381287531, 0.06549274083124072, 0.043372652040331194, 0.1301539037649103, 0.032691483617953605, 0.11767513217309107, 0.12077770261239076, 0.0784975474754271, 0.0012455848108118284, 0.09182324379532722, 0.05969765183057819, 0.028162071414202534, 0.05589511718955139, 0.13485068793756189, 0.021391542618542123, 0.09769651960053227, 0.016169571519226416, 0.12893366309618734, 0.06631684435024729, 0.04706979160276008, 0.14949075195115752, 0.10071714088433709, 0.032347205756713834, 0.04056259462500053, 0.10189256649215608, 0.06719452111897475, 0.12677506780096306, 0.07187335333232345, 0.21300274645203474]","18_lag_ormenSSTjfm, 4_lag_scpPSLjfm, 3_lag_traMC, 12_lag_wnorPRjfm, 14_lag_stratZ50ndj02, 12_lag_yrvPRjja, 17_lag_pdoSSTjfm, 10_lag_scpPSLjfm, 9_lag_stratZ50ndj01, 16_lag_shSICsep, 9_lag_ismPRjja, 8_lag_ismPRjja, 13_lag_shSICmar, 11_lag_shSICmar, 9_lag_tripol1, 4_lag_traMC, 12_lag_traEU, 6_lag_atlSICsep, 1_lag_ensoSSTjfm, 17_lag_nchinaPRjja, 1_lag_traTLS, 1_lag_traIT, 1_lag_nchinaPRjja, 13_lag_nchinaPRjja, 8_lag_stratZ50ndj03, 14_lag_stratZ50ndj03, 3_lag_nchinaPRjja, 9_lag_nchinaPRjja, 11_lag_nchinaPRjja, 16_lag_traEC_2275_1"
LinearRegression,5,30,tripol3,slow,1719.5,2005.5,0.6,20,1,1,21.983633247268706,0.02922533318982716,2405,"['14_lag_stratZ50ndj02', '17_lag_wnorPRjfm', '9_lag_pdoSSTjfm', '1_lag_nchinaPRjja', '13_lag_stratZ50ndj04', '1_lag_traTLS', '12_lag_traWP', '3_lag_traMC', '12_lag_yrvPRjja', '18_lag_ormenSSTjfm', '6_lag_atlSICsep', '1_lag_traIT', '8_lag_stratZ50ndj01', '9_lag_tripol1', '9_lag_scpPSLjfm', '13_lag_nchinaPRjja', '9_lag_ismPRjja', '13_lag_eapPSLjfm', '14_lag_ensoSSTjfm', '13_lag_shSICmar', '14_lag_ismPRjja', '8_lag_ismPRjja', '8_lag_stratZ50ndj03', '1_lag_ensoSSTjfm', '12_lag_traEU', '9_lag_nchinaPRjja', '3_lag_nchinaPRjja', '14_lag_stratZ50ndj03', '11_lag_nchinaPRjja', '16_lag_traEC']","[0.15452294386052332, 0.09007603106341827, 0.11277668120407242, 0.07874838665531055, 0.0974207819328841, 0.025479671658241318, 0.0721321226547483, 0.090450376755092, 0.08743298023810163, 0.050852573846275444, 0.01337007733710415, 0.24261653891059748, 0.013153093768447713, 0.06229303436233003, 0.02395641457499455, 0.039281476745219285, 0.07726376516253852, 0.10192947275636006, 0.0733037723452182, 0.08848400807107107, 0.12857145889050803, 0.04605781673925219, 0.05524032976893474, 0.07495549599814648, 0.1215925723270751, 0.11823582769233293, 0.026180846316842914, 0.09058430780520639, 0.07965165022550079, 0.22047132334858047]","14_lag_stratZ50ndj02, 17_lag_wnorPRjfm, 9_lag_pdoSSTjfm, 1_lag_nchinaPRjja, 13_lag_stratZ50ndj04, 1_lag_traTLS, 12_lag_traWP, 3_lag_traMC, 12_lag_yrvPRjja, 18_lag_ormenSSTjfm, 6_lag_atlSICsep, 1_lag_traIT, 8_lag_stratZ50ndj01, 9_lag_tripol1, 9_lag_scpPSLjfm, 13_lag_nchinaPRjja, 9_lag_ismPRjja, 13_lag_eapPSLjfm, 14_lag_ensoSSTjfm, 13_lag_shSICmar, 14_lag_ismPRjja, 8_lag_ismPRjja, 8_lag_stratZ50ndj03, 1_lag_ensoSSTjfm, 12_lag_traEU, 9_lag_nchinaPRjja, 3_lag_nchinaPRjja, 14_lag_stratZ50ndj03, 11_lag_nchinaPRjja, 16_lag_traEC_2405_1"
LinearRegression,6,30,tripol3,slow,1720.5,2005.5,0.6,21,1,1,24.54732429452434,-0.06952600536180498,2535,"['15_lag_ismPRjja', '1_lag_nchinaPRjja', '20_lag_yrvPRjja', '11_lag_shSICmar', '1_lag_stratZ50ndj01', '6_lag_atlSICsep', '12_lag_traWP', '9_lag_tripol1', '14_lag_ismPRjja', '9_lag_ismPRjja', '9_lag_stratZ50ndj01', '1_lag_traIT', '1_lag_traBS', '13_lag_nchinaPRjja', '1_lag_traTLS', '8_lag_ismPRjja', '13_lag_shSICmar', '14_lag_ensoSSTjfm', '13_lag_eapPSLjfm', '8_lag_stratZ50ndj01', '9_lag_scpPSLjfm', '20_lag_stratZ50ndj01', '1_lag_ensoSSTjfm', '8_lag_stratZ50ndj03', '12_lag_traEU', '9_lag_nchinaPRjja', '3_lag_nchinaPRjja', '14_lag_stratZ50ndj03', '11_lag_nchinaPRjja', '16_lag_traEC']","[0.1013585493951845, 0.09477862208958336, 0.09558446058107864, 0.056314876909085786, 0.048161421172538, 0.004534107843019469, 0.11272564090552893, 0.09942187198795258, 0.13764323191697353, 0.1458827449073955, 0.09477922333892035, 0.21936013076784003, 0.07366989077843215, 0.06610187670226826, 0.009587035058621924, 0.026744134230721615, 0.005841625363050013, 0.08511704198698894, 0.11787204679213067, 0.07284846307473976, 0.02987937917126926, 0.08150805467727387, 0.0944462752104065, 0.03626569801449666, 0.12878813757064622, 0.07231656900023647, 0.018658783747557188, 0.0712667066089491, 0.09079062582727568, 0.2316942641317484]","15_lag_ismPRjja, 1_lag_nchinaPRjja, 20_lag_yrvPRjja, 11_lag_shSICmar, 1_lag_stratZ50ndj01, 6_lag_atlSICsep, 12_lag_traWP, 9_lag_tripol1, 14_lag_ismPRjja, 9_lag_ismPRjja, 9_lag_stratZ50ndj01, 1_lag_traIT, 1_lag_traBS, 13_lag_nchinaPRjja, 1_lag_traTLS, 8_lag_ismPRjja, 13_lag_shSICmar, 14_lag_ensoSSTjfm, 13_lag_eapPSLjfm, 8_lag_stratZ50ndj01, 9_lag_scpPSLjfm, 20_lag_stratZ50ndj01, 1_lag_ensoSSTjfm, 8_lag_stratZ50ndj03, 12_lag_traEU, 9_lag_nchinaPRjja, 3_lag_nchinaPRjja, 14_lag_stratZ50ndj03, 11_lag_nchinaPRjja, 16_lag_traEC_2535_1"
LinearRegression,7,30,tripol3,slow,1721.5,2005.5,0.6,22,2,2,22.521415945962506,0.0857629236902224,2535,"['6_lag_nchinaPRjja', '9_lag_pdoSSTjfm', '3_lag_nchinaPRjja', '2_lag_3_median_nchinaPRjja', '16_lag_eapPSLjfm', '13_lag_eapPSLjfm', '9_lag_stratZ50ndj01', '17_lag_wnorPRjfm', '9_lag_ismPRjja', '9_lag_tripol1', '17_lag_atlSICjfm', '14_lag_ismPRjja', '12_lag_wnorPRjfm', '8_lag_stratZ50ndj01', '14_lag_ensoSSTjfm', '12_lag_traWP', '8_lag_ismPRjja', '2_lag_alpi', '6_lag_stratZ50ndj03', '9_lag_nchinaPRjja', '20_lag_stratZ50ndj01', '8_lag_stratZ50ndj02', '9_lag_scpPSLjfm', '12_lag_traEU', '8_lag_stratZ50ndj03', '13_lag_nchinaPRjja', '21_lag_stratZ50ndj03', '14_lag_stratZ50ndj03', '11_lag_nchinaPRjja', '16_lag_traEC']","[0.06360486680344635, 0.07791224037974154, 2357365993751.4736, 2357365993751.5093, 0.06796769001755167, 0.11198420596920786, 0.08345651758966117, 0.0384932478151711, 0.025010920986847773, 0.07710639520232447, 0.1661751835800858, 0.1272928317375981, 0.09837141648748972, 0.004091990986575715, 0.12086396115399804, 0.13859661224598013, 0.07178896005971537, 0.07921503762773907, 0.06262747232154617, 0.046066358270422145, 0.11017686653141161, 0.023159215598472293, 0.0264780992190298, 0.08687628724033143, 0.07723448832402921, 0.052452704541353395, 0.16793958434889203, 0.07498245520627496, 0.08895404211097421, 0.18722637068447703]","6_lag_nchinaPRjja, 9_lag_pdoSSTjfm, 3_lag_nchinaPRjja, 2_lag_3_median_nchinaPRjja, 16_lag_eapPSLjfm, 13_lag_eapPSLjfm, 9_lag_stratZ50ndj01, 17_lag_wnorPRjfm, 9_lag_ismPRjja, 9_lag_tripol1, 17_lag_atlSICjfm, 14_lag_ismPRjja, 12_lag_wnorPRjfm, 8_lag_stratZ50ndj01, 14_lag_ensoSSTjfm, 12_lag_traWP, 8_lag_ismPRjja, 2_lag_alpi, 6_lag_stratZ50ndj03, 9_lag_nchinaPRjja, 20_lag_stratZ50ndj01, 8_lag_stratZ50ndj02, 9_lag_scpPSLjfm, 12_lag_traEU, 8_lag_stratZ50ndj03, 13_lag_nchinaPRjja, 21_lag_stratZ50ndj03, 14_lag_stratZ50ndj03, 11_lag_nchinaPRjja, 16_lag_traEC_2535_2"
LinearRegression,8,30,tripol3,slow,1722.5,2005.5,0.6,23,3,3,22.08385680079105,0.12593665899283638,2535,"['6_lag_traEC', '17_lag_mhfATL60', '20_lag_naoPSLjfm', '3_lag_atlSICsep', '8_lag_stratZ50ndj01', '9_lag_tripol1', '12_lag_wnorPRjfm', '9_lag_pdoSSTjfm', '12_lag_traWP', '3_lag_traMC', '22_lag_seurTSjfm', '8_lag_ismPRjja', '8_lag_stratZ50ndj02', '9_lag_scpPSLjfm', '12_lag_yrvPRjja', '14_lag_ismPRjja', '9_lag_stratZ50ndj01', '12_lag_traEU', '13_lag_eapPSLjfm', '20_lag_stratZ50ndj01', '9_lag_ismPRjja', '9_lag_nchinaPRjja', '6_lag_stratZ50ndj03', '14_lag_stratZ50ndj03', '8_lag_stratZ50ndj03', '3_lag_traIT', '21_lag_stratZ50ndj03', '13_lag_nchinaPRjja', '11_lag_nchinaPRjja', '16_lag_traEC']","[0.07165674028710946, 0.029418179692093527, 0.015538189802086714, 0.11227040813924426, 0.02092990855307683, 0.03317471247953, 0.07042940174228579, 0.15255130831954428, 0.14869468828187543, 0.12719335601680254, 0.12142027859781061, 0.06504176614147752, 0.020100480504411846, 0.025324204155941218, 0.07162499266779396, 0.14610954190641084, 0.0947903159352191, 0.07014159834888153, 0.049267443761738826, 0.07756910273831909, 0.04174075973570605, 0.054313700726689146, 0.056065197633932036, 0.08951565143502743, 0.07287494123908615, 0.06706176347521271, 0.15477006629311335, 0.057110151532268574, 0.09846668888292737, 0.23634121121718327]","6_lag_traEC, 17_lag_mhfATL60, 20_lag_naoPSLjfm, 3_lag_atlSICsep, 8_lag_stratZ50ndj01, 9_lag_tripol1, 12_lag_wnorPRjfm, 9_lag_pdoSSTjfm, 12_lag_traWP, 3_lag_traMC, 22_lag_seurTSjfm, 8_lag_ismPRjja, 8_lag_stratZ50ndj02, 9_lag_scpPSLjfm, 12_lag_yrvPRjja, 14_lag_ismPRjja, 9_lag_stratZ50ndj01, 12_lag_traEU, 13_lag_eapPSLjfm, 20_lag_stratZ50ndj01, 9_lag_ismPRjja, 9_lag_nchinaPRjja, 6_lag_stratZ50ndj03, 14_lag_stratZ50ndj03, 8_lag_stratZ50ndj03, 3_lag_traIT, 21_lag_stratZ50ndj03, 13_lag_nchinaPRjja, 11_lag_nchinaPRjja, 16_lag_traEC_2535_3"
LinearRegression,9,30,tripol3,slow,1723.5,2005.5,0.6,24,4,4,21.240040313603846,0.16938097253528464,2535,"['13_lag_stratZ50ndj04', '6_lag_traEC', '13_lag_AMOCann', '20_lag_naoPSLjfm', '17_lag_wnorPRjfm', '4_lag_traMC', '12_lag_traEU', '8_lag_stratZ50ndj02', '6_lag_stratZ50ndj03', '17_lag_cetTSjfm', '12_lag_yrvPRjja', '13_lag_eapPSLjfm', '10_lag_scpPSLjfm', '8_lag_stratZ50ndj01', '13_lag_shSICmar', '9_lag_ismPRjja', '9_lag_nchinaPRjja', '8_lag_stratZ50ndj03', '9_lag_traMC', '4_lag_traEU', '20_lag_stratZ50ndj01', '14_lag_ismPRjja', '20_lag_stratZ50ndj04', '9_lag_stratZ50ndj01', '14_lag_stratZ50ndj03', '16_lag_eurPSLjfm', '21_lag_stratZ50ndj03', '13_lag_nchinaPRjja', '16_lag_traEC', '11_lag_nchinaPRjja']","[0.11932191587504307, 0.030641976787947736, 0.02587935121470178, 0.04909983484961119, 0.0016288635715486241, 0.03396841800752329, 0.041992969491282235, 0.04491120497507882, 0.026565094759490995, 0.08370667241752766, 0.026230378890725554, 0.116152832187225, 0.11542577135536837, 0.024584551170543253, 0.0076756045701289145, 0.06859328087364779, 0.0746152915033537, 0.05368289705398281, 0.08703792861421113, 0.02855136636077001, 0.07614480707105709, 0.13836456504150127, 0.1337339339627404, 0.12021553994520238, 0.08353797519952655, 0.044247073540694515, 0.16534838458828266, 0.04980008238109967, 0.25829638625045653, 0.10852030110991977]","13_lag_stratZ50ndj04, 6_lag_traEC, 13_lag_AMOCann, 20_lag_naoPSLjfm, 17_lag_wnorPRjfm, 4_lag_traMC, 12_lag_traEU, 8_lag_stratZ50ndj02, 6_lag_stratZ50ndj03, 17_lag_cetTSjfm, 12_lag_yrvPRjja, 13_lag_eapPSLjfm, 10_lag_scpPSLjfm, 8_lag_stratZ50ndj01, 13_lag_shSICmar, 9_lag_ismPRjja, 9_lag_nchinaPRjja, 8_lag_stratZ50ndj03, 9_lag_traMC, 4_lag_traEU, 20_lag_stratZ50ndj01, 14_lag_ismPRjja, 20_lag_stratZ50ndj04, 9_lag_stratZ50ndj01, 14_lag_stratZ50ndj03, 16_lag_eurPSLjfm, 21_lag_stratZ50ndj03, 13_lag_nchinaPRjja, 16_lag_traEC, 11_lag_nchinaPRjja_2535_4"
