model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LRforcedPSO,0,30,wnorPRjfm,slow,1514.5,2005.5,0.6,15,5,5,25.34837129158448,0.03974190531130912,1235,"['5_lag_7_median_mhfATL30', '5_lag_14_median_tripol2', '5_lag_11_median_traFSC', '5_lag_13_median_pdoSSTjfm', '5_lag_11_median_yrvPRjja', '5_lag_shSICsep', '10_lag_ormenSSTjfm', '5_lag_9_median_neurTSjfm', '5_lag_9_median_atlSICsep', '5_lag_11_median_traEU', '5_lag_7_median_nhSICjfm', '5_lag_10_median_stratZ50ndj02', '7_lag_eapPSLjfm', '5_lag_9_median_nhTSjfm', '5_lag_10_median_traFB', '9_lag_eurPSLjfm', '5_lag_pdoSSTjfm', '12_lag_traFS', '12_lag_mhfIP30', '14_lag_shSICmar', '8_lag_solFORC', '10_lag_traEU', '5_lag_13_median_cetTSjfm', '12_lag_amoSSTmjjaso', '13_lag_amo2', '5_lag_10_median_ismPRjja', '6_lag_gyreSSTjfm', '5_lag_7_median_amo2', '5_lag_9_median_traEC', '5_lag_6_median_nhTSjfm']","[4.041417905358651, 1.4300760309496923, 3.383815430094856, 5.314766925255747, 5.299973273610064, 2.613222438450866, 3.345545093117943, 2.8593518225083736, 2.774401973554202, 6.091683139302312, 7.5671870981231, 5.705521874719528, 6.303248912872178, 8.58177193860534, 5.220882485059257, 5.9777303823477945, 0.6153208851848468, 2.0102086058781854, 4.606334835860615, 6.030984379536153, 5.803709825865052, 6.5751209853371755, 0.47219377686897346, 8.806300661429361, 9.231669376427202, 0.5748923276755704, 4.22026952460644, 1.1170961519801708, 6.873778749770246, 3.9158210588718276]","5_lag_7_median_mhfATL30, 5_lag_14_median_tripol2, 5_lag_11_median_traFSC, 5_lag_13_median_pdoSSTjfm, 5_lag_11_median_yrvPRjja, 5_lag_shSICsep, 10_lag_ormenSSTjfm, 5_lag_9_median_neurTSjfm, 5_lag_9_median_atlSICsep, 5_lag_11_median_traEU, 5_lag_7_median_nhSICjfm, 5_lag_10_median_stratZ50ndj02, 7_lag_eapPSLjfm, 5_lag_9_median_nhTSjfm, 5_lag_10_median_traFB, 9_lag_eurPSLjfm, 5_lag_pdoSSTjfm, 12_lag_traFS, 12_lag_mhfIP30, 14_lag_shSICmar, 8_lag_solFORC, 10_lag_traEU, 5_lag_13_median_cetTSjfm, 12_lag_amoSSTmjjaso, 13_lag_amo2, 5_lag_10_median_ismPRjja, 6_lag_gyreSSTjfm, 5_lag_7_median_amo2, 5_lag_9_median_traEC, 5_lag_6_median_nhTSjfm_1235_5"
LRforcedPSO,1,30,wnorPRjfm,slow,1515.5,2005.5,0.6,16,6,6,26.667114819240584,-0.08166861731512325,1235,"['6_lag_13_median_traIT', '6_lag_11_median_ginwSSTjfm', '6_lag_11_median_yrvPRjja', '6_lag_9_median_wnorPRjfm', '11_lag_traIFC', '6_lag_14_median_nchinaPRjja', '6_lag_labSSTjfm', '15_lag_labSSTjfm', '6_lag_11_median_traWP', '8_lag_glTSjfm', '9_lag_stratZ50ndj02', '6_lag_13_median_amo2', '6_lag_8_median_amoSSTmjjaso', '6_lag_14_median_nhSICjfm', '6_lag_12_median_mhfATL45', '6_lag_12_median_glomaSSTjfm', '8_lag_nppc2SSTjfm', '11_lag_atlSICjfm', '6_lag_12_median_amo1', '15_lag_shSICmar', '14_lag_nhSICsep', '6_lag_12_median_seurTSjfm', '6_lag_AMOCann', '6_lag_15_median_shTSjfm', '7_lag_ormenSSTjfm', '6_lag_12_median_shTSjfm', '14_lag_traFB', '12_lag_traFSC', '11_lag_scpPSLjfm', '7_lag_samPSLann']","[9.497511094089475, 5.402311467991567, 5.6843425549459745, 2.643750692119916, 5.931830117687504, 0.8760112524738481, 0.504770016539549, 0.30220760698292004, 8.94383551175839, 2.778358247397133, 0.1284770594178113, 4.670217606585066, 5.76664596602027, 9.555074083597983, 5.096910504116845, 2.773568678158844, 0.5704936347735163, 1.2547624859011748, 3.8534320464238725, 9.08747929133764, 8.149065467739739, 4.380792971407805, 0.7976550771114805, 3.445384850612541, 7.596500928926218, 4.787429594840091, 1.2593096501492376, 2.8077078880278776, 7.184808195048202, 4.394769617970942]","6_lag_13_median_traIT, 6_lag_11_median_ginwSSTjfm, 6_lag_11_median_yrvPRjja, 6_lag_9_median_wnorPRjfm, 11_lag_traIFC, 6_lag_14_median_nchinaPRjja, 6_lag_labSSTjfm, 15_lag_labSSTjfm, 6_lag_11_median_traWP, 8_lag_glTSjfm, 9_lag_stratZ50ndj02, 6_lag_13_median_amo2, 6_lag_8_median_amoSSTmjjaso, 6_lag_14_median_nhSICjfm, 6_lag_12_median_mhfATL45, 6_lag_12_median_glomaSSTjfm, 8_lag_nppc2SSTjfm, 11_lag_atlSICjfm, 6_lag_12_median_amo1, 15_lag_shSICmar, 14_lag_nhSICsep, 6_lag_12_median_seurTSjfm, 6_lag_AMOCann, 6_lag_15_median_shTSjfm, 7_lag_ormenSSTjfm, 6_lag_12_median_shTSjfm, 14_lag_traFB, 12_lag_traFSC, 11_lag_scpPSLjfm, 7_lag_samPSLann_1235_6"
LRforcedPSO,2,30,wnorPRjfm,slow,1516.5,2005.5,0.6,17,7,7,22.781060566241486,0.055874896827415296,1235,"['8_lag_amoSSTmjjaso', '12_lag_satlSSTjfm', '7_lag_11_median_glTSjfm', '11_lag_shSICsep', '7_lag_11_median_AMOCann', '7_lag_8_median_atlSICjfm', '7_lag_15_median_traBO', '7_lag_11_median_traCA', '7_lag_stratZ50ndj04', '10_lag_traFSC', '10_lag_stratZ50ndj04', '11_lag_eapPSLjfm', '7_lag_12_median_samPSLann', '7_lag_13_median_naoPSLjfm', '12_lag_eurPSLjfm', '7_lag_10_median_traMC', '12_lag_tripol1', '8_lag_stratZ50ndj01', '7_lag_12_median_seurTSjfm', '15_lag_traCA', '7_lag_10_median_traIFC', '9_lag_ginwSSTjfm', '16_lag_traBO', '7_lag_10_median_atlSICsep', '7_lag_11_median_naoPSLjfm', '14_lag_traIFC', '14_lag_mhfATL60', '13_lag_shSICmar', '14_lag_solFORC', '7_lag_16_median_nppc2SSTjfm']","[4.416109209477385, 5.859989930610803, 4.926611945251453, 5.561569078969901, 4.463831062302697, 6.812627043070236, 0.1091177858059389, 8.918196991756016, 6.213540455160365, 2.7656221659046114, 3.7874179322682373, 5.603902399751526, 0.0396387052605629, 4.9890837473483955, 7.385171175539956, 8.941857945972544, 3.0158521494779027, 4.227889023993892, 3.5643792188441914, 1.9500094693098653, 2.2737154099326418, 3.326074269263559, 3.4236282022859754, 4.272196346239856, 7.053479745746156, 6.095933911109093, 1.2102181800824585, 2.197883788949553, 4.40983770608489, 7.00499524321909]","8_lag_amoSSTmjjaso, 12_lag_satlSSTjfm, 7_lag_11_median_glTSjfm, 11_lag_shSICsep, 7_lag_11_median_AMOCann, 7_lag_8_median_atlSICjfm, 7_lag_15_median_traBO, 7_lag_11_median_traCA, 7_lag_stratZ50ndj04, 10_lag_traFSC, 10_lag_stratZ50ndj04, 11_lag_eapPSLjfm, 7_lag_12_median_samPSLann, 7_lag_13_median_naoPSLjfm, 12_lag_eurPSLjfm, 7_lag_10_median_traMC, 12_lag_tripol1, 8_lag_stratZ50ndj01, 7_lag_12_median_seurTSjfm, 15_lag_traCA, 7_lag_10_median_traIFC, 9_lag_ginwSSTjfm, 16_lag_traBO, 7_lag_10_median_atlSICsep, 7_lag_11_median_naoPSLjfm, 14_lag_traIFC, 14_lag_mhfATL60, 13_lag_shSICmar, 14_lag_solFORC, 7_lag_16_median_nppc2SSTjfm_1235_7"
LRforcedPSO,3,30,wnorPRjfm,slow,1517.5,2005.5,0.6,18,8,8,28.873259128779367,0.17912211429987623,1235,"['8_lag_10_median_traFB', '8_lag_16_median_amo3', '17_lag_traWP', '8_lag_10_median_pdoSSTjfm', '11_lag_traFS', '11_lag_traDP', '8_lag_10_median_arcTSjfm', '13_lag_ginwSSTjfm', '13_lag_arcTSjfm', '10_lag_alpi', '9_lag_pdoSSTjfm', '8_lag_14_median_tripol3', '8_lag_11_median_mhfATL45', '8_lag_14_median_tripol2', '8_lag_mhfATL60', '11_lag_nppc3SSTjfm', '8_lag_12_median_tripol3', '8_lag_traEC', '16_lag_nchinaPRjja', '17_lag_nhTSjfm', '8_lag_9_median_stratZ50ndj03', '16_lag_ormenSSTjfm', '12_lag_gyreSSTjfm', '14_lag_shSICmar', '9_lag_traIFC', '8_lag_12_median_mhfATL30', '15_lag_nhTSjfm', '14_lag_shTSjfm', '8_lag_17_median_ensoSSTjfm', '8_lag_14_median_traMC']","[2.243604368158234, 0.7499347454768817, 3.0421451713914216, 6.323332436862657, 5.66841100749569, 0.5066207966298855, 8.495483449682359, 1.7763931822496417, 6.584039957995728, 9.114446589500638, 9.895203346579395, 4.260893879649325, 9.16729294328357, 1.0818339347575208, 0.03317929445414869, 6.7355976967862885, 0.425420978639913, 9.533369348333867, 1.9844890358123664, 5.268521595576004, 2.3518560167404416, 3.1356802907077963, 4.042457309716639, 5.345188464613832, 6.029030057957552, 5.85685315445226, 8.371324086606762, 0.7032281422611639, 9.390752910584073, 1.7998891424700005]","8_lag_10_median_traFB, 8_lag_16_median_amo3, 17_lag_traWP, 8_lag_10_median_pdoSSTjfm, 11_lag_traFS, 11_lag_traDP, 8_lag_10_median_arcTSjfm, 13_lag_ginwSSTjfm, 13_lag_arcTSjfm, 10_lag_alpi, 9_lag_pdoSSTjfm, 8_lag_14_median_tripol3, 8_lag_11_median_mhfATL45, 8_lag_14_median_tripol2, 8_lag_mhfATL60, 11_lag_nppc3SSTjfm, 8_lag_12_median_tripol3, 8_lag_traEC, 16_lag_nchinaPRjja, 17_lag_nhTSjfm, 8_lag_9_median_stratZ50ndj03, 16_lag_ormenSSTjfm, 12_lag_gyreSSTjfm, 14_lag_shSICmar, 9_lag_traIFC, 8_lag_12_median_mhfATL30, 15_lag_nhTSjfm, 14_lag_shTSjfm, 8_lag_17_median_ensoSSTjfm, 8_lag_14_median_traMC_1235_8"
LRforcedPSO,4,30,wnorPRjfm,slow,1518.5,2005.5,0.6,19,9,9,24.634300948901608,0.1258364414743981,1235,"['9_lag_17_median_arcTSjfm', '9_lag_14_median_neurTSjfm', '13_lag_nppc2SSTjfm', '9_lag_12_median_nchinaPRjja', '9_lag_11_median_eurPSLjfm', '9_lag_amoSSTmjjaso', '9_lag_14_median_traIFC', '9_lag_14_median_tripol2', '9_lag_traDS', '9_lag_15_median_traFSC', '9_lag_12_median_tripol2', '9_lag_13_median_glomaSSTjfm', '13_lag_traMC', '11_lag_traFSC', '9_lag_18_median_traBS', '9_lag_14_median_traEU', '12_lag_ismPRjja', '9_lag_11_median_scpPSLjfm', '9_lag_traFSC', '9_lag_traIT', '16_lag_scpPSLjfm', '11_lag_amoSSTmjjaso', '16_lag_shSICsep', '11_lag_gyreSSTjfm', '9_lag_14_median_mhfATL60', '9_lag_17_median_satlSSTjfm', '9_lag_12_median_ensoSSTjfm', '12_lag_traDS', '9_lag_12_median_traBS', '9_lag_11_median_tripol3']","[1.9071721308242058, 0.2888420428842906, 0.42852107559816055, 3.2019010298874795, 1.3752093428831422, 2.9679938084148088, 4.510523913824295, 9.544995938585462, 0.17803301688285877, 2.8610480682298896, 0.8372655019263107, 5.587781046817664, 1.9131141874922832, 6.528246643009155, 6.843967268920266, 9.422169595299438, 7.497938221138063, 8.777283332225041, 1.635537709231908, 7.012159023159419, 1.419924961358305, 8.729688008585608, 5.351816107932645, 6.4400710417164, 3.6026021258237346, 3.490241508664898, 2.181252228447468, 8.543514563824278, 7.230117051140471, 2.1756055871839797]","9_lag_17_median_arcTSjfm, 9_lag_14_median_neurTSjfm, 13_lag_nppc2SSTjfm, 9_lag_12_median_nchinaPRjja, 9_lag_11_median_eurPSLjfm, 9_lag_amoSSTmjjaso, 9_lag_14_median_traIFC, 9_lag_14_median_tripol2, 9_lag_traDS, 9_lag_15_median_traFSC, 9_lag_12_median_tripol2, 9_lag_13_median_glomaSSTjfm, 13_lag_traMC, 11_lag_traFSC, 9_lag_18_median_traBS, 9_lag_14_median_traEU, 12_lag_ismPRjja, 9_lag_11_median_scpPSLjfm, 9_lag_traFSC, 9_lag_traIT, 16_lag_scpPSLjfm, 11_lag_amoSSTmjjaso, 16_lag_shSICsep, 11_lag_gyreSSTjfm, 9_lag_14_median_mhfATL60, 9_lag_17_median_satlSSTjfm, 9_lag_12_median_ensoSSTjfm, 12_lag_traDS, 9_lag_12_median_traBS, 9_lag_11_median_tripol3_1235_9"
LRforcedPSO,5,30,wnorPRjfm,slow,1519.5,2005.5,0.6,20,10,10,34.70819038738316,-0.0032864770184360403,1235,"['10_lag_17_median_traDS', '15_lag_stratZ50ndj04', '13_lag_eapPSLjfm', '10_lag_13_median_wnorPRjfm', '10_lag_16_median_atlSICsep', '16_lag_glomaSSTjfm', '10_lag_12_median_traBS', '11_lag_mhfIP30', '10_lag_19_median_traTLS', '18_lag_ormenSSTjfm', '10_lag_13_median_alpi', '10_lag_14_median_tripol1', '10_lag_13_median_arcTSjfm', '16_lag_amo1', '18_lag_stratZ50ndj02', '10_lag_11_median_mhfATL30', '10_lag_14_median_traEU', '10_lag_12_median_shTSjfm', '15_lag_mhfATL60', '19_lag_stratZ50ndj04', '10_lag_11_median_nhTSjfm', '19_lag_amo3', '17_lag_traTLS', '10_lag_11_median_mhfATL45', '11_lag_alpi', '10_lag_14_median_stratZ50ndj04', '11_lag_traBS', '11_lag_shSICmar', '18_lag_yrvPRjja', '10_lag_15_median_yrvPRjja']","[3.932395859725071, 9.006118414393178, 2.902749050582818, 0.5943679351751925, 8.925738676023645, 0.2898527308691161, 2.622149794637256, 8.85635476951174, 1.8056187574572924, 7.619317643351806, 1.2806784520515748, 7.775134786415762, 3.592378329492398, 6.857968370888404, 4.51786167238855, 7.960239230255496, 7.441423923440286, 4.415150062782001, 7.710121345609309, 1.584822799543197, 4.043977329754156, 1.1043655815436964, 5.094838771135192, 3.8577592103585934, 6.528415340499045, 5.0826266201650805, 2.2869541957232116, 1.2419290475247244, 7.6675201770453665, 2.9343036474220874]","10_lag_17_median_traDS, 15_lag_stratZ50ndj04, 13_lag_eapPSLjfm, 10_lag_13_median_wnorPRjfm, 10_lag_16_median_atlSICsep, 16_lag_glomaSSTjfm, 10_lag_12_median_traBS, 11_lag_mhfIP30, 10_lag_19_median_traTLS, 18_lag_ormenSSTjfm, 10_lag_13_median_alpi, 10_lag_14_median_tripol1, 10_lag_13_median_arcTSjfm, 16_lag_amo1, 18_lag_stratZ50ndj02, 10_lag_11_median_mhfATL30, 10_lag_14_median_traEU, 10_lag_12_median_shTSjfm, 15_lag_mhfATL60, 19_lag_stratZ50ndj04, 10_lag_11_median_nhTSjfm, 19_lag_amo3, 17_lag_traTLS, 10_lag_11_median_mhfATL45, 11_lag_alpi, 10_lag_14_median_stratZ50ndj04, 11_lag_traBS, 11_lag_shSICmar, 18_lag_yrvPRjja, 10_lag_15_median_yrvPRjja_1235_10"
LRforcedPSO,6,30,wnorPRjfm,slow,1520.5,2005.5,0.6,21,11,11,22.32342765325083,0.10513492782432642,1235,"['19_lag_stratZ50ndj02', '11_lag_12_median_traIT', '20_lag_traBS', '11_lag_13_median_traIT', '11_lag_16_median_stratZ50ndj04', '11_lag_16_median_scpPSLjfm', '11_lag_19_median_nhSICjfm', '17_lag_traFS', '11_lag_12_median_amo1', '11_lag_18_median_nhSICsep', '16_lag_stratZ50ndj01', '11_lag_18_median_wnorPRjfm', '11_lag_15_median_labSSTjfm', '15_lag_seurTSjfm', '19_lag_alpi', '11_lag_18_median_gyreSSTjfm', '17_lag_stratZ50ndj01', '15_lag_stratZ50ndj04', '12_lag_naoPSLjfm', '15_lag_wnorPRjfm', '15_lag_solFORC', '17_lag_traEC', '18_lag_glomaSSTjfm', '11_lag_16_median_tripol2', '11_lag_19_median_ormenSSTjfm', '11_lag_15_median_AMOCann', '18_lag_samPSLann', '13_lag_samPSLann', '11_lag_labSSTjfm', '11_lag_19_median_shSICmar']","[7.4172844446291535, 8.164166693100237, 0.5030208282502695, 5.5334358348431305, 4.023395516813448, 2.037489388905154, 7.041883905886689, 3.489018079236443, 0.4997076918492702, 1.6325636508900327, 7.449111896288221, 1.7285575903571235, 0.7848922174501922, 4.038882357015801, 1.9468359922350746, 3.3295998115423986, 6.223097176926693, 1.91200088316387, 7.479376105943663, 4.855895943797868, 6.855838063021583, 9.689862058920543, 1.4583617715092458, 4.772551055605387, 7.23514074598803, 8.721731244591723, 5.780413770925956, 3.0871186478585493, 8.420131859748679, 6.967179017022889]","19_lag_stratZ50ndj02, 11_lag_12_median_traIT, 20_lag_traBS, 11_lag_13_median_traIT, 11_lag_16_median_stratZ50ndj04, 11_lag_16_median_scpPSLjfm, 11_lag_19_median_nhSICjfm, 17_lag_traFS, 11_lag_12_median_amo1, 11_lag_18_median_nhSICsep, 16_lag_stratZ50ndj01, 11_lag_18_median_wnorPRjfm, 11_lag_15_median_labSSTjfm, 15_lag_seurTSjfm, 19_lag_alpi, 11_lag_18_median_gyreSSTjfm, 17_lag_stratZ50ndj01, 15_lag_stratZ50ndj04, 12_lag_naoPSLjfm, 15_lag_wnorPRjfm, 15_lag_solFORC, 17_lag_traEC, 18_lag_glomaSSTjfm, 11_lag_16_median_tripol2, 11_lag_19_median_ormenSSTjfm, 11_lag_15_median_AMOCann, 18_lag_samPSLann, 13_lag_samPSLann, 11_lag_labSSTjfm, 11_lag_19_median_shSICmar_1235_11"
LRforcedPSO,7,30,wnorPRjfm,slow,1521.5,2005.5,0.6,22,12,12,22.99511969562539,0.15502732806523128,1235,"['12_lag_14_median_amo3', '12_lag_14_median_ginwSSTjfm', '18_lag_mhfIP30', '12_lag_20_median_solFORC', '12_lag_17_median_nhSICsep', '12_lag_19_median_atlSICsep', '12_lag_17_median_gyreSSTjfm', '12_lag_14_median_stratZ50ndj01', '12_lag_traDS', '12_lag_20_median_yrvPRjja', '17_lag_wnorPRjfm', '12_lag_16_median_traBO', '17_lag_amoSSTmjjaso', '12_lag_21_median_scpPSLjfm', '12_lag_15_median_tripol1', '21_lag_scpPSLjfm', '12_lag_16_median_atlSICjfm', '12_lag_13_median_solFORC', '14_lag_naoPSLjfm', '18_lag_tripol2', '12_lag_15_median_shSICmar', '19_lag_traEC', '12_lag_15_median_tripol2', '12_lag_17_median_AMOCann', '12_lag_15_median_stratZ50ndj04', '14_lag_traDS', '12_lag_13_median_nhSICsep', '13_lag_neurTSjfm', '15_lag_glomaSSTjfm', '13_lag_traWP']","[9.106950755251264, 4.189830269910624, 3.0219079857722857, 2.067638909187835, 1.4550353606008137, 8.602958102019793, 0.0378624880325269, 5.841086048983614, 4.035816726428498, 3.934600078170442, 6.569373163801551, 2.402805195096967, 0.49430109057573013, 2.561486510875035, 3.9551548640374, 5.037506844621662, 1.962447586230045, 1.8034515382790506, 1.5576361714111915, 5.482215584401295, 4.802430626079978, 4.2782037798003465, 5.025420722750628, 8.575907924591817, 1.583271311139427, 1.2808284471921318, 1.4947472125171508, 5.716768098337672, 0.6550294060545738, 0.7515651818092195]","12_lag_14_median_amo3, 12_lag_14_median_ginwSSTjfm, 18_lag_mhfIP30, 12_lag_20_median_solFORC, 12_lag_17_median_nhSICsep, 12_lag_19_median_atlSICsep, 12_lag_17_median_gyreSSTjfm, 12_lag_14_median_stratZ50ndj01, 12_lag_traDS, 12_lag_20_median_yrvPRjja, 17_lag_wnorPRjfm, 12_lag_16_median_traBO, 17_lag_amoSSTmjjaso, 12_lag_21_median_scpPSLjfm, 12_lag_15_median_tripol1, 21_lag_scpPSLjfm, 12_lag_16_median_atlSICjfm, 12_lag_13_median_solFORC, 14_lag_naoPSLjfm, 18_lag_tripol2, 12_lag_15_median_shSICmar, 19_lag_traEC, 12_lag_15_median_tripol2, 12_lag_17_median_AMOCann, 12_lag_15_median_stratZ50ndj04, 14_lag_traDS, 12_lag_13_median_nhSICsep, 13_lag_neurTSjfm, 15_lag_glomaSSTjfm, 13_lag_traWP_1235_12"
LRforcedPSO,8,30,wnorPRjfm,slow,1522.5,2005.5,0.6,23,13,13,37.011482586623,-0.16859628843046792,1235,"['13_lag_15_median_samPSLann', '13_lag_22_median_gyreSSTjfm', '16_lag_tripol3', '17_lag_stratZ50ndj04', '17_lag_traEC', '13_lag_21_median_nppc3SSTjfm', '13_lag_traIFC', '13_lag_16_median_amo2', '21_lag_traCA', '18_lag_yrvPRjja', '13_lag_22_median_nchinaPRjja', '13_lag_22_median_ginwSSTjfm', '13_lag_14_median_mhfATL30', '13_lag_15_median_glomaSSTjfm', '13_lag_21_median_eapPSLjfm', '18_lag_mhfATL60', '13_lag_18_median_labSSTjfm', '22_lag_shSICmar', '13_lag_15_median_traDP', '13_lag_15_median_stratZ50ndj01', '22_lag_eurPSLjfm', '13_lag_18_median_traWP', '13_lag_20_median_traEC', '17_lag_traCA', '19_lag_traTLS', '13_lag_18_median_glTSjfm', '17_lag_scpPSLjfm', '13_lag_15_median_nchinaPRjja', '13_lag_22_median_eapPSLjfm', '13_lag_amoSSTmjjaso']","[4.582239241774168, 1.8427364501307437, 7.456888064608744, 0.6792682608929184, 5.014047435963905, 0.12319063211197978, 1.4263941736896868, 4.564998517977482, 8.469155936741315, 2.8978556259227766, 8.961909221457013, 1.1162497069828436, 1.305104181063255, 5.652490860904447, 4.6321855394913936, 3.5839138730041284, 0.19511647743012617, 4.820485389223901, 2.01897902980678, 8.484393592965736, 3.382268646504361, 4.002369547884877, 2.7361641031932082, 9.287241665631512, 6.028233092816553, 3.341514722016319, 1.7390637849084811, 0.15738033617035896, 2.620246551718215, 7.539212490731422]","13_lag_15_median_samPSLann, 13_lag_22_median_gyreSSTjfm, 16_lag_tripol3, 17_lag_stratZ50ndj04, 17_lag_traEC, 13_lag_21_median_nppc3SSTjfm, 13_lag_traIFC, 13_lag_16_median_amo2, 21_lag_traCA, 18_lag_yrvPRjja, 13_lag_22_median_nchinaPRjja, 13_lag_22_median_ginwSSTjfm, 13_lag_14_median_mhfATL30, 13_lag_15_median_glomaSSTjfm, 13_lag_21_median_eapPSLjfm, 18_lag_mhfATL60, 13_lag_18_median_labSSTjfm, 22_lag_shSICmar, 13_lag_15_median_traDP, 13_lag_15_median_stratZ50ndj01, 22_lag_eurPSLjfm, 13_lag_18_median_traWP, 13_lag_20_median_traEC, 17_lag_traCA, 19_lag_traTLS, 13_lag_18_median_glTSjfm, 17_lag_scpPSLjfm, 13_lag_15_median_nchinaPRjja, 13_lag_22_median_eapPSLjfm, 13_lag_amoSSTmjjaso_1235_13"
LRforcedPSO,9,30,wnorPRjfm,slow,1523.5,2005.5,0.6,24,14,14,25.317840349215583,0.0787457762848877,1235,"['14_lag_21_median_arcTSjfm', '23_lag_samPSLann', '14_lag_19_median_mhfATL60', '14_lag_22_median_atlSICsep', '14_lag_17_median_arcTSjfm', '23_lag_shSICsep', '14_lag_18_median_arcTSjfm', '14_lag_18_median_traEU', '16_lag_neurTSjfm', '14_lag_15_median_glomaSSTjfm', '18_lag_amo1', '19_lag_shSICmar', '23_lag_traFS', '14_lag_18_median_stratZ50ndj02', '14_lag_22_median_atlSICjfm', '14_lag_20_median_traFB', '14_lag_mhfATL60', '20_lag_traDS', '14_lag_22_median_nhTSjfm', '20_lag_traFB', '17_lag_solFORC', '14_lag_18_median_scpPSLjfm', '14_lag_19_median_traIT', '14_lag_shTSjfm', '22_lag_amoSSTmjjaso', '14_lag_23_median_shTSjfm', '18_lag_nhSICjfm', '23_lag_neurTSjfm', '14_lag_20_median_mhfIP30', '14_lag_22_median_traIFC']","[1.3352737451159093, 0.20743572570306767, 6.911776648736208, 3.427116541817341, 1.3197608541787211, 3.699070938786755, 7.390016893439673, 6.2511340498444685, 0.37214736224719935, 4.858939762335625, 9.277356453960973, 2.271600094913704, 0.27142966833312343, 5.74744767801096, 0.6675756261168981, 7.544737424784175, 0.9163979111099803, 7.805494181797712, 0.37807853003472935, 2.363326836333963, 4.370802156827049, 9.91414412093283, 3.3659880873522496, 6.313282739818863, 2.990153028723137, 6.447024749920088, 8.752337330203739, 3.955807830571496, 5.7179221980467005, 5.063133370608844]","14_lag_21_median_arcTSjfm, 23_lag_samPSLann, 14_lag_19_median_mhfATL60, 14_lag_22_median_atlSICsep, 14_lag_17_median_arcTSjfm, 23_lag_shSICsep, 14_lag_18_median_arcTSjfm, 14_lag_18_median_traEU, 16_lag_neurTSjfm, 14_lag_15_median_glomaSSTjfm, 18_lag_amo1, 19_lag_shSICmar, 23_lag_traFS, 14_lag_18_median_stratZ50ndj02, 14_lag_22_median_atlSICjfm, 14_lag_20_median_traFB, 14_lag_mhfATL60, 20_lag_traDS, 14_lag_22_median_nhTSjfm, 20_lag_traFB, 17_lag_solFORC, 14_lag_18_median_scpPSLjfm, 14_lag_19_median_traIT, 14_lag_shTSjfm, 22_lag_amoSSTmjjaso, 14_lag_23_median_shTSjfm, 18_lag_nhSICjfm, 23_lag_neurTSjfm, 14_lag_20_median_mhfIP30, 14_lag_22_median_traIFC_1235_14"
