model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,selected_feature_list,feature_importances,selected_features
LinearRegression,0,6,wnorPRjfm,slow,1714.5,2005.5,0.6,15,1,1,14.453331651408694,0.13368422696960855,1755,"['14_lag_traEU', '13_lag_neurTSjfm', '1_lag_ginwSSTjfm', '4_lag_alpi', '6_lag_ismPRjja', '12_lag_neurTSjfm']","[0.12547912591077529, 0.1672760584750361, 0.010966094131514316, 0.00909826282642752, 0.1375094806651617, 0.18800969239125953]","14_lag_traEU, 13_lag_neurTSjfm, 1_lag_ginwSSTjfm, 4_lag_alpi, 6_lag_ismPRjja, 12_lag_neurTSjfm_1755_1"
LinearRegression,1,6,wnorPRjfm,slow,1715.5,2005.5,0.6,16,1,1,15.029410235113437,0.06020247061091586,1885,"['15_lag_traFSC', '3_lag_alpi', '1_lag_ginwSSTjfm', '15_lag_traEU', '6_lag_ismPRjja', '12_lag_neurTSjfm']","[0.285868925100976, 0.03887881117920799, 0.018268824958126, 0.16913166058257745, 0.1053100059374198, 0.16691528643258258]","15_lag_traFSC, 3_lag_alpi, 1_lag_ginwSSTjfm, 15_lag_traEU, 6_lag_ismPRjja, 12_lag_neurTSjfm_1885_1"
LinearRegression,2,6,wnorPRjfm,slow,1716.5,2005.5,0.6,17,1,5,15.114287488702372,0.08499166442070666,2015,"['5_lag_ensoSSTjfm', '13_lag_neurTSjfm', '6_lag_ismPRjja', '12_lag_neurTSjfm', '15_lag_traEU', '16_lag_traEC']","[0.08929175081981391, 0.1518444135086508, 0.15238446238715392, 0.17254173443833157, 0.15022432038968478, 0.12610160646644794]","5_lag_ensoSSTjfm, 13_lag_neurTSjfm, 6_lag_ismPRjja, 12_lag_neurTSjfm, 15_lag_traEU, 16_lag_traEC_2015_5"
LinearRegression,3,6,wnorPRjfm,slow,1717.5,2005.5,0.6,18,1,12,15.093710476731973,0.1200265821479535,2145,"['17_lag_scpPSLjfm', '15_lag_traFSC', '13_lag_neurTSjfm', '12_lag_neurTSjfm', '16_lag_traEC', '15_lag_traEU']","[0.1165296696296117, 0.29894722656743267, 0.16808188967156312, 0.1693123562711854, 0.02530014628896493, 0.1804123619309393]","17_lag_scpPSLjfm, 15_lag_traFSC, 13_lag_neurTSjfm, 12_lag_neurTSjfm, 16_lag_traEC, 15_lag_traEU_2145_12"
LinearRegression,4,6,wnorPRjfm,slow,1718.5,2005.5,0.6,19,1,11,16.202806048420417,-0.052928008797883355,2275,"['11_lag_naoPSLjfm', '13_lag_neurTSjfm', '12_lag_neurTSjfm', '17_lag_scpPSLjfm', '15_lag_traEU', '18_lag_stratZ50ndj02']","[0.24430687050032027, 0.15633458703555309, 0.18293381528019792, 0.08866718296802134, 0.15818166930934632, 0.20282177438682678]","11_lag_naoPSLjfm, 13_lag_neurTSjfm, 12_lag_neurTSjfm, 17_lag_scpPSLjfm, 15_lag_traEU, 18_lag_stratZ50ndj02_2275_11"
LinearRegression,5,6,wnorPRjfm,slow,1719.5,2005.5,0.6,20,1,11,14.609088885855167,0.10109625451691755,2405,"['18_lag_traIT', '11_lag_shSICsep', '15_lag_traEU', '13_lag_neurTSjfm', '17_lag_scpPSLjfm', '18_lag_stratZ50ndj02']","[0.1601591972171551, 0.10713190976470599, 0.1133098279456795, 0.13666220270131593, 0.15131080012360787, 0.14343764840702847]","18_lag_traIT, 11_lag_shSICsep, 15_lag_traEU, 13_lag_neurTSjfm, 17_lag_scpPSLjfm, 18_lag_stratZ50ndj02_2405_11"
LinearRegression,6,6,wnorPRjfm,slow,1720.5,2005.5,0.6,21,1,4,16.285783523497713,0.05257619460319462,2535,"['11_lag_alpi', '13_lag_neurTSjfm', '4_lag_stratZ50ndj02', '15_lag_traEU', '11_lag_shSICsep', '18_lag_stratZ50ndj02']","[0.1503315534140829, 0.1539431477063734, 0.16384204692938448, 0.15848289717491498, 0.11531334148292811, 0.14211119723559018]","11_lag_alpi, 13_lag_neurTSjfm, 4_lag_stratZ50ndj02, 15_lag_traEU, 11_lag_shSICsep, 18_lag_stratZ50ndj02_2535_4"
LinearRegression,7,6,wnorPRjfm,slow,1721.5,2005.5,0.6,22,2,4,15.97965922492279,-0.02207500441612591,2535,"['4_lag_stratZ50ndj02', '15_lag_traEU', '18_lag_stratZ50ndj02', '17_lag_scpPSLjfm', '11_lag_shSICsep', '21_lag_alpi']","[0.16102666671277446, 0.18451418406323367, 0.10140732140230398, 0.1441989074194171, 0.13848138461770665, 0.18964785026868766]","4_lag_stratZ50ndj02, 15_lag_traEU, 18_lag_stratZ50ndj02, 17_lag_scpPSLjfm, 11_lag_shSICsep, 21_lag_alpi_2535_4"
LinearRegression,8,6,wnorPRjfm,slow,1722.5,2005.5,0.6,23,3,11,15.954489824272855,-0.11397169079090815,2535,"['11_lag_shSICsep', '17_lag_scpPSLjfm', '15_lag_traEU', '18_lag_stratZ50ndj02', '22_lag_stratZ50ndj01', '21_lag_alpi']","[0.14580325896044882, 0.17071346390991388, 0.1747255355876313, 0.10912516845943225, 0.15498462723986678, 0.18023462768394335]","11_lag_shSICsep, 17_lag_scpPSLjfm, 15_lag_traEU, 18_lag_stratZ50ndj02, 22_lag_stratZ50ndj01, 21_lag_alpi_2535_11"
LinearRegression,9,6,wnorPRjfm,slow,1723.5,2005.5,0.6,24,4,9,15.551661686441353,0.0033597725074197907,2535,"['9_lag_alpi', '17_lag_scpPSLjfm', '15_lag_traEU', '22_lag_stratZ50ndj01', '13_lag_alpi', '21_lag_alpi']","[0.07042356373299427, 0.16556496176708585, 0.17701507371995592, 0.10792631650750135, 0.15685090213099323, 0.16784453599687965]","9_lag_alpi, 17_lag_scpPSLjfm, 15_lag_traEU, 22_lag_stratZ50ndj01, 13_lag_alpi, 21_lag_alpi_2535_9"
